Epoch: 001 | Train Loss 4.32 | Train Accuracy = 02.81% | Valid Loss 4.10 | Valid Accuracy = 02.59%
Epoch: 002 | Train Loss 4.26 | Train Accuracy = 04.69% | Valid Loss 4.00 | Valid Accuracy = 08.62%
Epoch: 003 | Train Loss 4.27 | Train Accuracy = 03.44% | Valid Loss 3.93 | Valid Accuracy = 06.90%
Epoch: 004 | Train Loss 4.18 | Train Accuracy = 03.12% | Valid Loss 3.95 | Valid Accuracy = 07.76%
Epoch: 005 | Train Loss 4.11 | Train Accuracy = 07.19% | Valid Loss 3.97 | Valid Accuracy = 06.90%
Epoch: 006 | Train Loss 4.09 | Train Accuracy = 05.94% | Valid Loss 3.97 | Valid Accuracy = 06.90%
Epoch: 007 | Train Loss 4.11 | Train Accuracy = 09.38% | Valid Loss 3.93 | Valid Accuracy = 04.31%
Epoch: 008 | Train Loss 4.07 | Train Accuracy = 07.19% | Valid Loss 3.91 | Valid Accuracy = 04.31%
Epoch: 009 | Train Loss 4.00 | Train Accuracy = 07.50% | Valid Loss 3.88 | Valid Accuracy = 05.17%
Epoch: 010 | Train Loss 3.98 | Train Accuracy = 05.62% | Valid Loss 3.91 | Valid Accuracy = 06.03%
Epoch: 011 | Train Loss 3.98 | Train Accuracy = 09.06% | Valid Loss 3.84 | Valid Accuracy = 06.90%
Epoch: 012 | Train Loss 3.93 | Train Accuracy = 09.06% | Valid Loss 3.85 | Valid Accuracy = 05.17%
Epoch: 013 | Train Loss 3.96 | Train Accuracy = 07.50% | Valid Loss 3.82 | Valid Accuracy = 06.90%
Epoch: 014 | Train Loss 3.93 | Train Accuracy = 09.06% | Valid Loss 3.80 | Valid Accuracy = 07.76%
Epoch: 015 | Train Loss 3.84 | Train Accuracy = 10.62% | Valid Loss 3.79 | Valid Accuracy = 08.62%
Epoch: 016 | Train Loss 3.93 | Train Accuracy = 07.50% | Valid Loss 3.80 | Valid Accuracy = 05.17%
Epoch: 017 | Train Loss 3.84 | Train Accuracy = 09.06% | Valid Loss 3.79 | Valid Accuracy = 06.90%
Epoch: 018 | Train Loss 3.85 | Train Accuracy = 10.00% | Valid Loss 3.75 | Valid Accuracy = 07.76%
Epoch: 019 | Train Loss 3.79 | Train Accuracy = 11.25% | Valid Loss 3.75 | Valid Accuracy = 05.17%
Epoch: 020 | Train Loss 3.84 | Train Accuracy = 11.88% | Valid Loss 3.73 | Valid Accuracy = 09.48%
Epoch: 021 | Train Loss 3.74 | Train Accuracy = 13.75% | Valid Loss 3.65 | Valid Accuracy = 10.34%
Epoch: 022 | Train Loss 3.77 | Train Accuracy = 11.25% | Valid Loss 3.62 | Valid Accuracy = 11.21%
Epoch: 023 | Train Loss 3.77 | Train Accuracy = 08.75% | Valid Loss 3.59 | Valid Accuracy = 12.07%
Epoch: 024 | Train Loss 3.66 | Train Accuracy = 14.69% | Valid Loss 3.65 | Valid Accuracy = 08.62%
Epoch: 025 | Train Loss 3.74 | Train Accuracy = 11.56% | Valid Loss 3.65 | Valid Accuracy = 07.76%
Epoch: 026 | Train Loss 3.75 | Train Accuracy = 11.25% | Valid Loss 3.68 | Valid Accuracy = 10.34%
Epoch: 027 | Train Loss 3.59 | Train Accuracy = 12.81% | Valid Loss 3.63 | Valid Accuracy = 08.62%
Epoch: 028 | Train Loss 3.65 | Train Accuracy = 12.50% | Valid Loss 3.60 | Valid Accuracy = 11.21%
Epoch: 029 | Train Loss 3.55 | Train Accuracy = 14.69% | Valid Loss 3.56 | Valid Accuracy = 11.21%
Epoch: 030 | Train Loss 3.63 | Train Accuracy = 14.06% | Valid Loss 3.58 | Valid Accuracy = 12.93%
Epoch: 031 | Train Loss 3.54 | Train Accuracy = 14.06% | Valid Loss 3.55 | Valid Accuracy = 12.07%
Epoch: 032 | Train Loss 3.67 | Train Accuracy = 13.44% | Valid Loss 3.62 | Valid Accuracy = 13.79%
