Epoch: 001 | Train Loss 2.45 | Train Accuracy = 49.69% | Valid Loss 2.93 | Valid Accuracy = 36.21%
Epoch: 002 | Train Loss 2.36 | Train Accuracy = 45.62% | Valid Loss 2.33 | Valid Accuracy = 48.28%
Epoch: 003 | Train Loss 2.23 | Train Accuracy = 46.88% | Valid Loss 2.33 | Valid Accuracy = 45.69%
Epoch: 004 | Train Loss 2.22 | Train Accuracy = 46.56% | Valid Loss 2.18 | Valid Accuracy = 57.76%
Epoch: 005 | Train Loss 2.12 | Train Accuracy = 50.00% | Valid Loss 2.21 | Valid Accuracy = 54.31%
Epoch: 006 | Train Loss 2.08 | Train Accuracy = 52.81% | Valid Loss 2.26 | Valid Accuracy = 49.14%
Epoch: 007 | Train Loss 1.88 | Train Accuracy = 60.62% | Valid Loss 2.17 | Valid Accuracy = 57.76%
Epoch: 008 | Train Loss 1.91 | Train Accuracy = 57.19% | Valid Loss 2.30 | Valid Accuracy = 50.86%
Epoch: 009 | Train Loss 1.83 | Train Accuracy = 59.06% | Valid Loss 2.14 | Valid Accuracy = 55.17%
Epoch: 010 | Train Loss 1.79 | Train Accuracy = 57.81% | Valid Loss 2.29 | Valid Accuracy = 55.17%
Epoch: 011 | Train Loss 1.68 | Train Accuracy = 64.38% | Valid Loss 2.25 | Valid Accuracy = 53.45%
Epoch: 012 | Train Loss 1.78 | Train Accuracy = 53.12% | Valid Loss 2.06 | Valid Accuracy = 60.34%
Epoch: 013 | Train Loss 1.79 | Train Accuracy = 58.13% | Valid Loss 2.21 | Valid Accuracy = 57.76%
Epoch: 014 | Train Loss 1.72 | Train Accuracy = 59.69% | Valid Loss 2.04 | Valid Accuracy = 56.90%
Epoch: 015 | Train Loss 1.88 | Train Accuracy = 57.50% | Valid Loss 2.21 | Valid Accuracy = 56.03%
Epoch: 016 | Train Loss 1.62 | Train Accuracy = 64.69% | Valid Loss 2.16 | Valid Accuracy = 52.59%
Epoch: 017 | Train Loss 1.63 | Train Accuracy = 62.81% | Valid Loss 2.38 | Valid Accuracy = 53.45%
Epoch: 018 | Train Loss 1.70 | Train Accuracy = 60.00% | Valid Loss 2.38 | Valid Accuracy = 52.59%
Epoch: 019 | Train Loss 1.71 | Train Accuracy = 59.69% | Valid Loss 2.39 | Valid Accuracy = 50.86%
Epoch: 020 | Train Loss 1.80 | Train Accuracy = 55.31% | Valid Loss 1.97 | Valid Accuracy = 61.21%
Epoch: 021 | Train Loss 1.63 | Train Accuracy = 61.88% | Valid Loss 1.96 | Valid Accuracy = 59.48%
Epoch: 022 | Train Loss 1.68 | Train Accuracy = 59.06% | Valid Loss 2.14 | Valid Accuracy = 54.31%
Epoch: 023 | Train Loss 1.71 | Train Accuracy = 60.62% | Valid Loss 2.11 | Valid Accuracy = 54.31%
Epoch: 024 | Train Loss 1.64 | Train Accuracy = 62.19% | Valid Loss 2.60 | Valid Accuracy = 55.17%
Epoch: 025 | Train Loss 1.58 | Train Accuracy = 65.31% | Valid Loss 2.10 | Valid Accuracy = 52.59%
Epoch: 026 | Train Loss 1.48 | Train Accuracy = 68.44% | Valid Loss 2.10 | Valid Accuracy = 54.31%
Epoch: 027 | Train Loss 1.50 | Train Accuracy = 65.31% | Valid Loss 2.15 | Valid Accuracy = 55.17%
Epoch: 028 | Train Loss 1.48 | Train Accuracy = 64.69% | Valid Loss 2.15 | Valid Accuracy = 56.03%
Epoch: 029 | Train Loss 1.42 | Train Accuracy = 67.50% | Valid Loss 2.15 | Valid Accuracy = 54.31%
Epoch: 030 | Train Loss 1.39 | Train Accuracy = 68.75% | Valid Loss 2.07 | Valid Accuracy = 55.17%
Epoch: 031 | Train Loss 1.45 | Train Accuracy = 67.81% | Valid Loss 1.95 | Valid Accuracy = 56.90%
Epoch: 032 | Train Loss 1.48 | Train Accuracy = 65.31% | Valid Loss 1.94 | Valid Accuracy = 58.62%
Epoch: 033 | Train Loss 1.30 | Train Accuracy = 71.88% | Valid Loss 1.94 | Valid Accuracy = 57.76%
Epoch: 034 | Train Loss 1.53 | Train Accuracy = 64.69% | Valid Loss 1.92 | Valid Accuracy = 57.76%
Epoch: 035 | Train Loss 1.31 | Train Accuracy = 70.62% | Valid Loss 1.93 | Valid Accuracy = 59.48%
Epoch: 036 | Train Loss 1.41 | Train Accuracy = 67.81% | Valid Loss 1.93 | Valid Accuracy = 59.48%
Epoch: 037 | Train Loss 1.38 | Train Accuracy = 64.69% | Valid Loss 2.00 | Valid Accuracy = 59.48%
Epoch: 038 | Train Loss 1.34 | Train Accuracy = 71.25% | Valid Loss 1.95 | Valid Accuracy = 60.34%
Epoch: 039 | Train Loss 1.42 | Train Accuracy = 66.25% | Valid Loss 1.94 | Valid Accuracy = 58.62%
Epoch: 040 | Train Loss 1.34 | Train Accuracy = 69.38% | Valid Loss 1.94 | Valid Accuracy = 59.48%
Epoch: 041 | Train Loss 1.34 | Train Accuracy = 71.25% | Valid Loss 1.99 | Valid Accuracy = 59.48%
Epoch: 042 | Train Loss 1.40 | Train Accuracy = 67.19% | Valid Loss 1.93 | Valid Accuracy = 60.34%
Epoch: 043 | Train Loss 1.36 | Train Accuracy = 68.12% | Valid Loss 1.91 | Valid Accuracy = 58.62%
Epoch: 044 | Train Loss 1.34 | Train Accuracy = 67.81% | Valid Loss 1.97 | Valid Accuracy = 58.62%
Epoch: 045 | Train Loss 1.23 | Train Accuracy = 72.50% | Valid Loss 1.96 | Valid Accuracy = 59.48%
Epoch: 046 | Train Loss 1.36 | Train Accuracy = 64.69% | Valid Loss 1.95 | Valid Accuracy = 59.48%
Epoch: 047 | Train Loss 1.32 | Train Accuracy = 66.88% | Valid Loss 1.97 | Valid Accuracy = 56.90%
Epoch: 048 | Train Loss 1.29 | Train Accuracy = 69.38% | Valid Loss 1.98 | Valid Accuracy = 57.76%
Epoch: 049 | Train Loss 1.27 | Train Accuracy = 73.75% | Valid Loss 1.92 | Valid Accuracy = 57.76%
Epoch: 050 | Train Loss 1.28 | Train Accuracy = 70.31% | Valid Loss 1.91 | Valid Accuracy = 55.17%
Epoch: 051 | Train Loss 1.30 | Train Accuracy = 72.50% | Valid Loss 1.94 | Valid Accuracy = 55.17%
Epoch: 052 | Train Loss 1.28 | Train Accuracy = 71.88% | Valid Loss 1.95 | Valid Accuracy = 57.76%
Epoch: 053 | Train Loss 1.35 | Train Accuracy = 68.12% | Valid Loss 1.91 | Valid Accuracy = 56.90%
Epoch: 054 | Train Loss 1.30 | Train Accuracy = 70.94% | Valid Loss 1.90 | Valid Accuracy = 57.76%
Epoch: 055 | Train Loss 1.28 | Train Accuracy = 70.31% | Valid Loss 1.91 | Valid Accuracy = 57.76%
Epoch: 056 | Train Loss 1.32 | Train Accuracy = 69.69% | Valid Loss 1.92 | Valid Accuracy = 58.62%
Epoch: 057 | Train Loss 1.18 | Train Accuracy = 75.00% | Valid Loss 1.96 | Valid Accuracy = 59.48%
Epoch: 058 | Train Loss 1.32 | Train Accuracy = 71.88% | Valid Loss 2.00 | Valid Accuracy = 55.17%
Epoch: 059 | Train Loss 1.33 | Train Accuracy = 68.12% | Valid Loss 1.96 | Valid Accuracy = 56.03%
Epoch: 060 | Train Loss 1.26 | Train Accuracy = 70.94% | Valid Loss 1.89 | Valid Accuracy = 59.48%
Epoch: 061 | Train Loss 1.27 | Train Accuracy = 69.06% | Valid Loss 1.86 | Valid Accuracy = 58.62%
Epoch: 062 | Train Loss 1.23 | Train Accuracy = 71.88% | Valid Loss 1.86 | Valid Accuracy = 57.76%
Epoch: 063 | Train Loss 1.46 | Train Accuracy = 64.06% | Valid Loss 1.86 | Valid Accuracy = 57.76%
Epoch: 064 | Train Loss 1.29 | Train Accuracy = 68.44% | Valid Loss 1.93 | Valid Accuracy = 55.17%
Epoch: 065 | Train Loss 1.19 | Train Accuracy = 71.88% | Valid Loss 1.91 | Valid Accuracy = 55.17%
Epoch: 066 | Train Loss 1.24 | Train Accuracy = 71.56% | Valid Loss 1.90 | Valid Accuracy = 56.03%
Epoch: 067 | Train Loss 1.15 | Train Accuracy = 72.50% | Valid Loss 1.86 | Valid Accuracy = 57.76%
Epoch: 068 | Train Loss 1.26 | Train Accuracy = 73.12% | Valid Loss 1.88 | Valid Accuracy = 58.62%
Epoch: 069 | Train Loss 1.19 | Train Accuracy = 72.19% | Valid Loss 1.95 | Valid Accuracy = 58.62%
Epoch: 070 | Train Loss 1.25 | Train Accuracy = 73.75% | Valid Loss 1.96 | Valid Accuracy = 58.62%
Epoch: 071 | Train Loss 1.19 | Train Accuracy = 72.50% | Valid Loss 1.96 | Valid Accuracy = 57.76%
Epoch: 072 | Train Loss 1.18 | Train Accuracy = 74.38% | Valid Loss 1.92 | Valid Accuracy = 58.62%
Epoch: 073 | Train Loss 1.23 | Train Accuracy = 72.50% | Valid Loss 1.90 | Valid Accuracy = 57.76%
Epoch: 074 | Train Loss 1.25 | Train Accuracy = 72.81% | Valid Loss 1.95 | Valid Accuracy = 58.62%
Epoch: 075 | Train Loss 1.29 | Train Accuracy = 68.75% | Valid Loss 1.94 | Valid Accuracy = 56.03%
Epoch: 076 | Train Loss 1.19 | Train Accuracy = 72.81% | Valid Loss 1.94 | Valid Accuracy = 56.03%
Epoch: 077 | Train Loss 1.19 | Train Accuracy = 73.44% | Valid Loss 1.93 | Valid Accuracy = 56.90%
Epoch: 078 | Train Loss 1.24 | Train Accuracy = 70.00% | Valid Loss 1.92 | Valid Accuracy = 56.03%
Epoch: 079 | Train Loss 1.16 | Train Accuracy = 74.06% | Valid Loss 1.91 | Valid Accuracy = 56.90%
Epoch: 080 | Train Loss 1.20 | Train Accuracy = 73.12% | Valid Loss 1.91 | Valid Accuracy = 56.90%
Epoch: 081 | Train Loss 1.28 | Train Accuracy = 70.62% | Valid Loss 1.90 | Valid Accuracy = 57.76%
Epoch: 082 | Train Loss 1.10 | Train Accuracy = 75.62% | Valid Loss 1.89 | Valid Accuracy = 56.90%
Epoch: 083 | Train Loss 1.13 | Train Accuracy = 73.75% | Valid Loss 1.88 | Valid Accuracy = 56.90%
Epoch: 084 | Train Loss 1.19 | Train Accuracy = 72.81% | Valid Loss 1.87 | Valid Accuracy = 56.90%
Epoch: 085 | Train Loss 1.25 | Train Accuracy = 71.25% | Valid Loss 1.87 | Valid Accuracy = 56.90%
Epoch: 086 | Train Loss 1.27 | Train Accuracy = 75.94% | Valid Loss 1.87 | Valid Accuracy = 56.90%
Epoch: 087 | Train Loss 1.12 | Train Accuracy = 75.62% | Valid Loss 1.87 | Valid Accuracy = 56.03%
Epoch: 088 | Train Loss 1.19 | Train Accuracy = 74.38% | Valid Loss 1.86 | Valid Accuracy = 56.03%
Epoch: 089 | Train Loss 1.12 | Train Accuracy = 73.75% | Valid Loss 1.87 | Valid Accuracy = 56.03%
Epoch: 090 | Train Loss 1.13 | Train Accuracy = 70.94% | Valid Loss 1.87 | Valid Accuracy = 56.03%
Epoch: 091 | Train Loss 1.16 | Train Accuracy = 75.62% | Valid Loss 1.87 | Valid Accuracy = 56.03%
Epoch: 092 | Train Loss 1.20 | Train Accuracy = 72.50% | Valid Loss 1.88 | Valid Accuracy = 56.03%
Epoch: 093 | Train Loss 1.10 | Train Accuracy = 75.31% | Valid Loss 1.87 | Valid Accuracy = 56.03%
Epoch: 094 | Train Loss 1.22 | Train Accuracy = 71.88% | Valid Loss 1.87 | Valid Accuracy = 56.03%
Epoch: 095 | Train Loss 1.22 | Train Accuracy = 73.44% | Valid Loss 1.88 | Valid Accuracy = 56.03%
Epoch: 096 | Train Loss 1.25 | Train Accuracy = 70.94% | Valid Loss 1.88 | Valid Accuracy = 56.03%
Epoch: 097 | Train Loss 1.14 | Train Accuracy = 77.50% | Valid Loss 1.89 | Valid Accuracy = 56.90%
Epoch: 098 | Train Loss 1.15 | Train Accuracy = 74.38% | Valid Loss 1.88 | Valid Accuracy = 57.76%
