Epoch: 001 | Train Loss 6.04 | Train Accuracy = 02.19% | Valid Loss 4.07 | Valid Accuracy = 09.48%
Epoch: 002 | Train Loss 4.14 | Train Accuracy = 02.19% | Valid Loss 4.02 | Valid Accuracy = 03.45%
Epoch: 003 | Train Loss 4.09 | Train Accuracy = 02.19% | Valid Loss 3.98 | Valid Accuracy = 06.03%
Epoch: 004 | Train Loss 4.06 | Train Accuracy = 02.50% | Valid Loss 3.95 | Valid Accuracy = 07.76%
Epoch: 005 | Train Loss 4.02 | Train Accuracy = 05.00% | Valid Loss 3.93 | Valid Accuracy = 09.48%
Epoch: 006 | Train Loss 3.97 | Train Accuracy = 06.56% | Valid Loss 3.88 | Valid Accuracy = 09.48%
Epoch: 007 | Train Loss 3.98 | Train Accuracy = 03.75% | Valid Loss 3.87 | Valid Accuracy = 09.48%
Epoch: 008 | Train Loss 3.96 | Train Accuracy = 04.06% | Valid Loss 3.84 | Valid Accuracy = 07.76%
Epoch: 009 | Train Loss 3.93 | Train Accuracy = 08.12% | Valid Loss 3.82 | Valid Accuracy = 09.48%
Epoch: 010 | Train Loss 3.93 | Train Accuracy = 06.25% | Valid Loss 3.81 | Valid Accuracy = 09.48%
Epoch: 011 | Train Loss 3.87 | Train Accuracy = 06.88% | Valid Loss 3.78 | Valid Accuracy = 08.62%
Epoch: 012 | Train Loss 3.83 | Train Accuracy = 07.81% | Valid Loss 3.74 | Valid Accuracy = 10.34%
Epoch: 013 | Train Loss 3.83 | Train Accuracy = 05.94% | Valid Loss 3.74 | Valid Accuracy = 08.62%
Epoch: 014 | Train Loss 3.84 | Train Accuracy = 06.56% | Valid Loss 3.68 | Valid Accuracy = 09.48%
Epoch: 015 | Train Loss 3.81 | Train Accuracy = 10.00% | Valid Loss 3.71 | Valid Accuracy = 06.90%
Epoch: 016 | Train Loss 3.80 | Train Accuracy = 07.81% | Valid Loss 3.66 | Valid Accuracy = 12.07%
Epoch: 017 | Train Loss 3.77 | Train Accuracy = 10.00% | Valid Loss 3.64 | Valid Accuracy = 11.21%
Epoch: 018 | Train Loss 3.67 | Train Accuracy = 09.06% | Valid Loss 3.62 | Valid Accuracy = 09.48%
Epoch: 019 | Train Loss 3.68 | Train Accuracy = 08.75% | Valid Loss 3.62 | Valid Accuracy = 09.48%
Epoch: 020 | Train Loss 3.68 | Train Accuracy = 10.31% | Valid Loss 3.57 | Valid Accuracy = 13.79%
Epoch: 021 | Train Loss 3.66 | Train Accuracy = 08.12% | Valid Loss 3.58 | Valid Accuracy = 10.34%
Epoch: 022 | Train Loss 3.68 | Train Accuracy = 07.81% | Valid Loss 3.56 | Valid Accuracy = 12.93%
Epoch: 023 | Train Loss 3.63 | Train Accuracy = 10.62% | Valid Loss 3.46 | Valid Accuracy = 16.38%
Epoch: 024 | Train Loss 3.57 | Train Accuracy = 10.94% | Valid Loss 3.45 | Valid Accuracy = 14.66%
Epoch: 025 | Train Loss 3.49 | Train Accuracy = 09.38% | Valid Loss 3.50 | Valid Accuracy = 11.21%
Epoch: 026 | Train Loss 3.48 | Train Accuracy = 14.06% | Valid Loss 3.47 | Valid Accuracy = 12.93%
Epoch: 027 | Train Loss 3.47 | Train Accuracy = 14.69% | Valid Loss 3.33 | Valid Accuracy = 12.93%
Epoch: 028 | Train Loss 3.44 | Train Accuracy = 13.75% | Valid Loss 3.42 | Valid Accuracy = 12.07%
Epoch: 029 | Train Loss 3.46 | Train Accuracy = 11.25% | Valid Loss 3.42 | Valid Accuracy = 14.66%
Epoch: 030 | Train Loss 3.47 | Train Accuracy = 13.75% | Valid Loss 3.31 | Valid Accuracy = 13.79%
Epoch: 031 | Train Loss 3.41 | Train Accuracy = 14.69% | Valid Loss 3.37 | Valid Accuracy = 09.48%
Epoch: 032 | Train Loss 3.36 | Train Accuracy = 12.50% | Valid Loss 3.20 | Valid Accuracy = 18.97%
