Epoch: 001 | Train Loss 4.14 | Train Accuracy = 02.50% | Valid Loss 4.04 | Valid Accuracy = 05.17%
Epoch: 002 | Train Loss 4.06 | Train Accuracy = 04.06% | Valid Loss 3.92 | Valid Accuracy = 07.76%
Epoch: 003 | Train Loss 3.99 | Train Accuracy = 06.88% | Valid Loss 3.87 | Valid Accuracy = 05.17%
Epoch: 004 | Train Loss 3.95 | Train Accuracy = 08.12% | Valid Loss 3.82 | Valid Accuracy = 11.21%
Epoch: 005 | Train Loss 3.80 | Train Accuracy = 11.25% | Valid Loss 3.68 | Valid Accuracy = 09.48%
Epoch: 006 | Train Loss 3.74 | Train Accuracy = 09.69% | Valid Loss 3.58 | Valid Accuracy = 10.34%
Epoch: 007 | Train Loss 3.69 | Train Accuracy = 09.69% | Valid Loss 3.57 | Valid Accuracy = 11.21%
Epoch: 008 | Train Loss 3.69 | Train Accuracy = 10.62% | Valid Loss 3.54 | Valid Accuracy = 12.93%
Epoch: 009 | Train Loss 3.65 | Train Accuracy = 13.12% | Valid Loss 3.63 | Valid Accuracy = 11.21%
Epoch: 010 | Train Loss 3.61 | Train Accuracy = 11.88% | Valid Loss 3.35 | Valid Accuracy = 14.66%
Epoch: 011 | Train Loss 3.51 | Train Accuracy = 11.25% | Valid Loss 3.36 | Valid Accuracy = 19.83%
Epoch: 012 | Train Loss 3.44 | Train Accuracy = 14.37% | Valid Loss 3.07 | Valid Accuracy = 20.69%
Epoch: 013 | Train Loss 3.36 | Train Accuracy = 13.44% | Valid Loss 3.05 | Valid Accuracy = 15.52%
Epoch: 014 | Train Loss 3.26 | Train Accuracy = 14.37% | Valid Loss 3.16 | Valid Accuracy = 22.41%
Epoch: 015 | Train Loss 3.26 | Train Accuracy = 15.94% | Valid Loss 3.04 | Valid Accuracy = 20.69%
Epoch: 016 | Train Loss 3.28 | Train Accuracy = 16.25% | Valid Loss 3.05 | Valid Accuracy = 23.28%
Epoch: 017 | Train Loss 3.13 | Train Accuracy = 19.06% | Valid Loss 2.90 | Valid Accuracy = 21.55%
Epoch: 018 | Train Loss 3.14 | Train Accuracy = 21.56% | Valid Loss 2.85 | Valid Accuracy = 27.59%
Epoch: 019 | Train Loss 2.98 | Train Accuracy = 17.81% | Valid Loss 2.88 | Valid Accuracy = 21.55%
Epoch: 020 | Train Loss 2.97 | Train Accuracy = 24.69% | Valid Loss 2.73 | Valid Accuracy = 35.34%
Epoch: 021 | Train Loss 2.99 | Train Accuracy = 18.75% | Valid Loss 2.89 | Valid Accuracy = 27.59%
Epoch: 022 | Train Loss 2.95 | Train Accuracy = 23.75% | Valid Loss 2.93 | Valid Accuracy = 24.14%
Epoch: 023 | Train Loss 2.93 | Train Accuracy = 21.88% | Valid Loss 2.68 | Valid Accuracy = 34.48%
Epoch: 024 | Train Loss 2.75 | Train Accuracy = 28.12% | Valid Loss 2.81 | Valid Accuracy = 31.03%
Epoch: 025 | Train Loss 2.79 | Train Accuracy = 26.56% | Valid Loss 2.53 | Valid Accuracy = 37.93%
Epoch: 026 | Train Loss 2.67 | Train Accuracy = 28.12% | Valid Loss 2.56 | Valid Accuracy = 32.76%
Epoch: 027 | Train Loss 2.71 | Train Accuracy = 28.44% | Valid Loss 2.55 | Valid Accuracy = 33.62%
Epoch: 028 | Train Loss 2.67 | Train Accuracy = 28.12% | Valid Loss 2.55 | Valid Accuracy = 31.03%
Epoch: 029 | Train Loss 2.65 | Train Accuracy = 29.69% | Valid Loss 2.60 | Valid Accuracy = 32.76%
Epoch: 030 | Train Loss 2.61 | Train Accuracy = 25.31% | Valid Loss 2.49 | Valid Accuracy = 37.93%
Epoch: 031 | Train Loss 2.49 | Train Accuracy = 34.06% | Valid Loss 2.21 | Valid Accuracy = 39.66%
Epoch: 032 | Train Loss 2.31 | Train Accuracy = 35.00% | Valid Loss 2.32 | Valid Accuracy = 37.93%
Epoch: 033 | Train Loss 2.53 | Train Accuracy = 29.69% | Valid Loss 2.34 | Valid Accuracy = 37.07%
Epoch: 034 | Train Loss 2.31 | Train Accuracy = 37.19% | Valid Loss 2.49 | Valid Accuracy = 41.38%
Epoch: 035 | Train Loss 2.52 | Train Accuracy = 31.25% | Valid Loss 2.40 | Valid Accuracy = 45.69%
Epoch: 036 | Train Loss 2.22 | Train Accuracy = 40.94% | Valid Loss 2.41 | Valid Accuracy = 40.52%
Epoch: 037 | Train Loss 2.29 | Train Accuracy = 36.25% | Valid Loss 2.28 | Valid Accuracy = 41.38%
Epoch: 038 | Train Loss 2.26 | Train Accuracy = 35.31% | Valid Loss 2.25 | Valid Accuracy = 32.76%
Epoch: 039 | Train Loss 2.28 | Train Accuracy = 35.62% | Valid Loss 2.23 | Valid Accuracy = 41.38%
