Epoch: 001 | Train Loss 5.01 | Train Accuracy = 03.75% | Valid Loss 4.00 | Valid Accuracy = 06.90%
Epoch: 002 | Train Loss 4.07 | Train Accuracy = 03.75% | Valid Loss 3.96 | Valid Accuracy = 07.76%
Epoch: 003 | Train Loss 4.05 | Train Accuracy = 04.38% | Valid Loss 3.95 | Valid Accuracy = 06.90%
Epoch: 004 | Train Loss 4.00 | Train Accuracy = 06.88% | Valid Loss 3.89 | Valid Accuracy = 07.76%
Epoch: 005 | Train Loss 3.98 | Train Accuracy = 05.94% | Valid Loss 3.84 | Valid Accuracy = 07.76%
Epoch: 006 | Train Loss 3.92 | Train Accuracy = 05.94% | Valid Loss 3.83 | Valid Accuracy = 07.76%
Epoch: 007 | Train Loss 3.93 | Train Accuracy = 06.25% | Valid Loss 3.84 | Valid Accuracy = 07.76%
Epoch: 008 | Train Loss 3.88 | Train Accuracy = 09.06% | Valid Loss 3.77 | Valid Accuracy = 12.07%
Epoch: 009 | Train Loss 3.91 | Train Accuracy = 05.94% | Valid Loss 3.75 | Valid Accuracy = 10.34%
Epoch: 010 | Train Loss 3.87 | Train Accuracy = 06.88% | Valid Loss 3.73 | Valid Accuracy = 09.48%
Epoch: 011 | Train Loss 3.80 | Train Accuracy = 08.44% | Valid Loss 3.70 | Valid Accuracy = 08.62%
Epoch: 012 | Train Loss 3.79 | Train Accuracy = 07.81% | Valid Loss 3.67 | Valid Accuracy = 11.21%
Epoch: 013 | Train Loss 3.75 | Train Accuracy = 07.50% | Valid Loss 3.63 | Valid Accuracy = 10.34%
Epoch: 014 | Train Loss 3.71 | Train Accuracy = 13.75% | Valid Loss 3.57 | Valid Accuracy = 09.48%
Epoch: 015 | Train Loss 3.66 | Train Accuracy = 10.00% | Valid Loss 3.51 | Valid Accuracy = 12.93%
Epoch: 016 | Train Loss 3.65 | Train Accuracy = 09.69% | Valid Loss 3.52 | Valid Accuracy = 11.21%
Epoch: 017 | Train Loss 3.59 | Train Accuracy = 08.44% | Valid Loss 3.50 | Valid Accuracy = 11.21%
Epoch: 018 | Train Loss 3.58 | Train Accuracy = 12.19% | Valid Loss 3.50 | Valid Accuracy = 13.79%
Epoch: 019 | Train Loss 3.61 | Train Accuracy = 10.62% | Valid Loss 3.44 | Valid Accuracy = 12.07%
Epoch: 020 | Train Loss 3.53 | Train Accuracy = 13.44% | Valid Loss 3.42 | Valid Accuracy = 12.07%
Epoch: 021 | Train Loss 3.48 | Train Accuracy = 14.69% | Valid Loss 3.31 | Valid Accuracy = 15.52%
Epoch: 022 | Train Loss 3.40 | Train Accuracy = 12.19% | Valid Loss 3.33 | Valid Accuracy = 14.66%
Epoch: 023 | Train Loss 3.46 | Train Accuracy = 11.25% | Valid Loss 3.30 | Valid Accuracy = 14.66%
Epoch: 024 | Train Loss 3.39 | Train Accuracy = 13.75% | Valid Loss 3.23 | Valid Accuracy = 19.83%
Epoch: 025 | Train Loss 3.31 | Train Accuracy = 16.88% | Valid Loss 3.22 | Valid Accuracy = 18.97%
Epoch: 026 | Train Loss 3.31 | Train Accuracy = 14.06% | Valid Loss 3.23 | Valid Accuracy = 12.07%
Epoch: 027 | Train Loss 3.29 | Train Accuracy = 17.19% | Valid Loss 3.21 | Valid Accuracy = 13.79%
Epoch: 028 | Train Loss 3.26 | Train Accuracy = 17.81% | Valid Loss 3.11 | Valid Accuracy = 18.10%
Epoch: 029 | Train Loss 3.29 | Train Accuracy = 14.37% | Valid Loss 3.12 | Valid Accuracy = 21.55%
Epoch: 030 | Train Loss 3.15 | Train Accuracy = 16.56% | Valid Loss 3.04 | Valid Accuracy = 16.38%
Epoch: 031 | Train Loss 3.22 | Train Accuracy = 17.81% | Valid Loss 3.10 | Valid Accuracy = 21.55%
Epoch: 032 | Train Loss 3.09 | Train Accuracy = 18.44% | Valid Loss 3.14 | Valid Accuracy = 18.97%
Epoch: 033 | Train Loss 3.16 | Train Accuracy = 17.50% | Valid Loss 3.17 | Valid Accuracy = 14.66%
Epoch: 034 | Train Loss 3.12 | Train Accuracy = 19.38% | Valid Loss 3.14 | Valid Accuracy = 12.93%
Epoch: 035 | Train Loss 2.96 | Train Accuracy = 20.00% | Valid Loss 2.90 | Valid Accuracy = 24.14%
Epoch: 036 | Train Loss 3.04 | Train Accuracy = 18.75% | Valid Loss 2.88 | Valid Accuracy = 25.86%
Epoch: 037 | Train Loss 3.01 | Train Accuracy = 20.00% | Valid Loss 2.85 | Valid Accuracy = 21.55%
Epoch: 038 | Train Loss 2.94 | Train Accuracy = 19.06% | Valid Loss 2.79 | Valid Accuracy = 20.69%
Epoch: 039 | Train Loss 2.92 | Train Accuracy = 18.75% | Valid Loss 2.89 | Valid Accuracy = 24.14%
Epoch: 040 | Train Loss 2.87 | Train Accuracy = 20.62% | Valid Loss 2.75 | Valid Accuracy = 27.59%
Epoch: 041 | Train Loss 2.95 | Train Accuracy = 20.00% | Valid Loss 2.77 | Valid Accuracy = 25.86%
Epoch: 042 | Train Loss 2.85 | Train Accuracy = 21.56% | Valid Loss 2.87 | Valid Accuracy = 20.69%
Epoch: 043 | Train Loss 2.79 | Train Accuracy = 24.38% | Valid Loss 2.72 | Valid Accuracy = 30.17%
Epoch: 044 | Train Loss 2.80 | Train Accuracy = 25.00% | Valid Loss 2.86 | Valid Accuracy = 23.28%
Epoch: 045 | Train Loss 2.81 | Train Accuracy = 25.94% | Valid Loss 2.71 | Valid Accuracy = 30.17%
Epoch: 046 | Train Loss 2.79 | Train Accuracy = 23.44% | Valid Loss 2.74 | Valid Accuracy = 28.45%
Epoch: 047 | Train Loss 2.76 | Train Accuracy = 25.94% | Valid Loss 2.72 | Valid Accuracy = 25.86%
Epoch: 048 | Train Loss 2.70 | Train Accuracy = 25.62% | Valid Loss 2.71 | Valid Accuracy = 27.59%
Epoch: 049 | Train Loss 2.74 | Train Accuracy = 24.69% | Valid Loss 2.51 | Valid Accuracy = 27.59%
Epoch: 050 | Train Loss 2.63 | Train Accuracy = 28.12% | Valid Loss 2.50 | Valid Accuracy = 26.72%
Epoch: 051 | Train Loss 2.68 | Train Accuracy = 24.06% | Valid Loss 2.47 | Valid Accuracy = 27.59%
Epoch: 052 | Train Loss 2.56 | Train Accuracy = 28.12% | Valid Loss 2.48 | Valid Accuracy = 30.17%
Epoch: 053 | Train Loss 2.59 | Train Accuracy = 26.88% | Valid Loss 2.48 | Valid Accuracy = 30.17%
Epoch: 054 | Train Loss 2.52 | Train Accuracy = 26.88% | Valid Loss 2.43 | Valid Accuracy = 32.76%
Epoch: 055 | Train Loss 2.45 | Train Accuracy = 28.12% | Valid Loss 2.42 | Valid Accuracy = 33.62%
Epoch: 056 | Train Loss 2.47 | Train Accuracy = 29.69% | Valid Loss 2.40 | Valid Accuracy = 33.62%
Epoch: 057 | Train Loss 2.49 | Train Accuracy = 29.69% | Valid Loss 2.43 | Valid Accuracy = 31.90%
Epoch: 058 | Train Loss 2.47 | Train Accuracy = 27.50% | Valid Loss 2.37 | Valid Accuracy = 33.62%
Epoch: 059 | Train Loss 2.49 | Train Accuracy = 27.19% | Valid Loss 2.38 | Valid Accuracy = 32.76%
Epoch: 060 | Train Loss 2.46 | Train Accuracy = 32.19% | Valid Loss 2.43 | Valid Accuracy = 31.90%
Epoch: 061 | Train Loss 2.35 | Train Accuracy = 29.69% | Valid Loss 2.40 | Valid Accuracy = 31.03%
Epoch: 062 | Train Loss 2.43 | Train Accuracy = 29.06% | Valid Loss 2.38 | Valid Accuracy = 31.90%
Epoch: 063 | Train Loss 2.45 | Train Accuracy = 32.19% | Valid Loss 2.37 | Valid Accuracy = 32.76%
Epoch: 064 | Train Loss 2.45 | Train Accuracy = 30.31% | Valid Loss 2.36 | Valid Accuracy = 33.62%
Epoch: 065 | Train Loss 2.39 | Train Accuracy = 34.06% | Valid Loss 2.33 | Valid Accuracy = 37.07%
Epoch: 066 | Train Loss 2.50 | Train Accuracy = 30.31% | Valid Loss 2.33 | Valid Accuracy = 36.21%
Epoch: 067 | Train Loss 2.40 | Train Accuracy = 33.12% | Valid Loss 2.37 | Valid Accuracy = 33.62%
Epoch: 068 | Train Loss 2.45 | Train Accuracy = 30.00% | Valid Loss 2.35 | Valid Accuracy = 33.62%
Epoch: 069 | Train Loss 2.35 | Train Accuracy = 33.12% | Valid Loss 2.35 | Valid Accuracy = 33.62%
Epoch: 070 | Train Loss 2.48 | Train Accuracy = 27.50% | Valid Loss 2.38 | Valid Accuracy = 31.90%
Epoch: 071 | Train Loss 2.40 | Train Accuracy = 30.31% | Valid Loss 2.33 | Valid Accuracy = 32.76%
Epoch: 072 | Train Loss 2.49 | Train Accuracy = 27.81% | Valid Loss 2.35 | Valid Accuracy = 32.76%
Epoch: 073 | Train Loss 2.37 | Train Accuracy = 30.00% | Valid Loss 2.32 | Valid Accuracy = 32.76%
Epoch: 074 | Train Loss 2.32 | Train Accuracy = 34.69% | Valid Loss 2.33 | Valid Accuracy = 32.76%
