Epoch: 001 | Train Loss 4.11 | Train Accuracy = 04.38% | Valid Loss 3.99 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.08 | Train Accuracy = 05.31% | Valid Loss 4.46 | Valid Accuracy = 00.86%
Epoch: 003 | Train Loss 4.04 | Train Accuracy = 05.94% | Valid Loss 3.83 | Valid Accuracy = 08.62%
Epoch: 004 | Train Loss 3.93 | Train Accuracy = 08.12% | Valid Loss 3.77 | Valid Accuracy = 09.48%
Epoch: 005 | Train Loss 3.81 | Train Accuracy = 10.31% | Valid Loss 3.73 | Valid Accuracy = 09.48%
Epoch: 006 | Train Loss 3.71 | Train Accuracy = 11.88% | Valid Loss 3.66 | Valid Accuracy = 08.62%
Epoch: 007 | Train Loss 3.71 | Train Accuracy = 10.62% | Valid Loss 3.74 | Valid Accuracy = 09.48%
Epoch: 008 | Train Loss 3.68 | Train Accuracy = 10.31% | Valid Loss 3.62 | Valid Accuracy = 12.07%
Epoch: 009 | Train Loss 3.59 | Train Accuracy = 12.81% | Valid Loss 3.52 | Valid Accuracy = 14.66%
Epoch: 010 | Train Loss 3.50 | Train Accuracy = 14.06% | Valid Loss 3.41 | Valid Accuracy = 18.10%
Epoch: 011 | Train Loss 3.42 | Train Accuracy = 14.06% | Valid Loss 3.39 | Valid Accuracy = 18.10%
Epoch: 012 | Train Loss 3.33 | Train Accuracy = 15.62% | Valid Loss 3.33 | Valid Accuracy = 12.07%
Epoch: 013 | Train Loss 3.35 | Train Accuracy = 13.12% | Valid Loss 3.55 | Valid Accuracy = 08.62%
Epoch: 014 | Train Loss 3.26 | Train Accuracy = 20.00% | Valid Loss 3.20 | Valid Accuracy = 20.69%
Epoch: 015 | Train Loss 3.20 | Train Accuracy = 20.62% | Valid Loss 3.18 | Valid Accuracy = 23.28%
Epoch: 016 | Train Loss 3.11 | Train Accuracy = 21.88% | Valid Loss 2.98 | Valid Accuracy = 25.86%
Epoch: 017 | Train Loss 3.05 | Train Accuracy = 21.56% | Valid Loss 2.92 | Valid Accuracy = 24.14%
Epoch: 018 | Train Loss 2.95 | Train Accuracy = 22.50% | Valid Loss 2.86 | Valid Accuracy = 26.72%
