Epoch: 001 | Train Loss 5.36 | Train Accuracy = 02.50% | Valid Loss 4.05 | Valid Accuracy = 03.45%
Epoch: 002 | Train Loss 4.10 | Train Accuracy = 03.44% | Valid Loss 4.00 | Valid Accuracy = 02.59%
Epoch: 003 | Train Loss 4.07 | Train Accuracy = 04.06% | Valid Loss 3.94 | Valid Accuracy = 09.48%
Epoch: 004 | Train Loss 4.01 | Train Accuracy = 04.69% | Valid Loss 3.91 | Valid Accuracy = 06.90%
Epoch: 005 | Train Loss 3.97 | Train Accuracy = 06.25% | Valid Loss 3.88 | Valid Accuracy = 06.03%
Epoch: 006 | Train Loss 3.93 | Train Accuracy = 05.62% | Valid Loss 3.83 | Valid Accuracy = 09.48%
Epoch: 007 | Train Loss 3.90 | Train Accuracy = 05.94% | Valid Loss 3.81 | Valid Accuracy = 07.76%
Epoch: 008 | Train Loss 3.93 | Train Accuracy = 07.50% | Valid Loss 3.78 | Valid Accuracy = 06.03%
Epoch: 009 | Train Loss 3.89 | Train Accuracy = 06.25% | Valid Loss 3.80 | Valid Accuracy = 09.48%
Epoch: 010 | Train Loss 3.89 | Train Accuracy = 09.38% | Valid Loss 3.76 | Valid Accuracy = 11.21%
Epoch: 011 | Train Loss 3.85 | Train Accuracy = 10.31% | Valid Loss 3.71 | Valid Accuracy = 08.62%
Epoch: 012 | Train Loss 3.82 | Train Accuracy = 09.06% | Valid Loss 3.68 | Valid Accuracy = 10.34%
Epoch: 013 | Train Loss 3.76 | Train Accuracy = 10.62% | Valid Loss 3.61 | Valid Accuracy = 10.34%
Epoch: 014 | Train Loss 3.70 | Train Accuracy = 07.81% | Valid Loss 3.60 | Valid Accuracy = 10.34%
Epoch: 015 | Train Loss 3.68 | Train Accuracy = 09.69% | Valid Loss 3.53 | Valid Accuracy = 12.93%
Epoch: 016 | Train Loss 3.67 | Train Accuracy = 08.44% | Valid Loss 3.52 | Valid Accuracy = 09.48%
Epoch: 017 | Train Loss 3.65 | Train Accuracy = 10.31% | Valid Loss 3.50 | Valid Accuracy = 08.62%
Epoch: 018 | Train Loss 3.69 | Train Accuracy = 10.62% | Valid Loss 3.49 | Valid Accuracy = 14.66%
Epoch: 019 | Train Loss 3.61 | Train Accuracy = 12.19% | Valid Loss 3.37 | Valid Accuracy = 17.24%
Epoch: 020 | Train Loss 3.53 | Train Accuracy = 10.94% | Valid Loss 3.29 | Valid Accuracy = 12.93%
Epoch: 021 | Train Loss 3.49 | Train Accuracy = 14.69% | Valid Loss 3.32 | Valid Accuracy = 13.79%
Epoch: 022 | Train Loss 3.46 | Train Accuracy = 15.31% | Valid Loss 3.26 | Valid Accuracy = 16.38%
