Epoch: 001 | Train Loss 2.62 | Train Accuracy = 43.12% | Valid Loss 3.14 | Valid Accuracy = 32.76%
Epoch: 002 | Train Loss 2.63 | Train Accuracy = 40.00% | Valid Loss 3.25 | Valid Accuracy = 31.03%
Epoch: 003 | Train Loss 2.30 | Train Accuracy = 47.81% | Valid Loss 2.43 | Valid Accuracy = 43.97%
Epoch: 004 | Train Loss 2.17 | Train Accuracy = 50.62% | Valid Loss 2.78 | Valid Accuracy = 38.79%
Epoch: 005 | Train Loss 2.25 | Train Accuracy = 46.88% | Valid Loss 2.70 | Valid Accuracy = 40.52%
Epoch: 006 | Train Loss 2.03 | Train Accuracy = 51.88% | Valid Loss 2.68 | Valid Accuracy = 43.10%
Epoch: 007 | Train Loss 2.12 | Train Accuracy = 50.62% | Valid Loss 2.37 | Valid Accuracy = 43.97%
Epoch: 008 | Train Loss 1.91 | Train Accuracy = 53.75% | Valid Loss 2.75 | Valid Accuracy = 42.24%
Epoch: 009 | Train Loss 1.88 | Train Accuracy = 55.94% | Valid Loss 2.60 | Valid Accuracy = 44.83%
Epoch: 010 | Train Loss 1.97 | Train Accuracy = 54.06% | Valid Loss 2.77 | Valid Accuracy = 40.52%
Epoch: 011 | Train Loss 1.94 | Train Accuracy = 56.88% | Valid Loss 2.63 | Valid Accuracy = 43.10%
Epoch: 012 | Train Loss 1.86 | Train Accuracy = 56.25% | Valid Loss 2.30 | Valid Accuracy = 48.28%
Epoch: 013 | Train Loss 1.78 | Train Accuracy = 58.75% | Valid Loss 2.58 | Valid Accuracy = 38.79%
Epoch: 014 | Train Loss 1.77 | Train Accuracy = 56.56% | Valid Loss 2.39 | Valid Accuracy = 43.10%
Epoch: 015 | Train Loss 1.87 | Train Accuracy = 59.38% | Valid Loss 2.42 | Valid Accuracy = 42.24%
Epoch: 016 | Train Loss 1.92 | Train Accuracy = 52.19% | Valid Loss 2.55 | Valid Accuracy = 40.52%
Epoch: 017 | Train Loss 1.85 | Train Accuracy = 56.25% | Valid Loss 2.60 | Valid Accuracy = 43.10%
Epoch: 018 | Train Loss 1.84 | Train Accuracy = 59.38% | Valid Loss 2.42 | Valid Accuracy = 50.00%
Epoch: 019 | Train Loss 1.68 | Train Accuracy = 62.19% | Valid Loss 2.43 | Valid Accuracy = 47.41%
Epoch: 020 | Train Loss 1.67 | Train Accuracy = 60.00% | Valid Loss 2.27 | Valid Accuracy = 45.69%
Epoch: 021 | Train Loss 1.76 | Train Accuracy = 58.13% | Valid Loss 2.33 | Valid Accuracy = 50.00%
Epoch: 022 | Train Loss 1.66 | Train Accuracy = 60.62% | Valid Loss 2.20 | Valid Accuracy = 54.31%
Epoch: 023 | Train Loss 1.70 | Train Accuracy = 58.13% | Valid Loss 2.15 | Valid Accuracy = 53.45%
Epoch: 024 | Train Loss 1.74 | Train Accuracy = 60.00% | Valid Loss 2.23 | Valid Accuracy = 51.72%
Epoch: 025 | Train Loss 1.78 | Train Accuracy = 61.25% | Valid Loss 2.47 | Valid Accuracy = 48.28%
Epoch: 026 | Train Loss 1.73 | Train Accuracy = 59.38% | Valid Loss 2.37 | Valid Accuracy = 49.14%
Epoch: 027 | Train Loss 1.68 | Train Accuracy = 60.94% | Valid Loss 2.30 | Valid Accuracy = 43.97%
Epoch: 028 | Train Loss 1.55 | Train Accuracy = 62.81% | Valid Loss 2.20 | Valid Accuracy = 49.14%
Epoch: 029 | Train Loss 1.46 | Train Accuracy = 67.50% | Valid Loss 2.11 | Valid Accuracy = 50.86%
Epoch: 030 | Train Loss 1.29 | Train Accuracy = 71.56% | Valid Loss 2.12 | Valid Accuracy = 50.00%
Epoch: 031 | Train Loss 1.47 | Train Accuracy = 65.94% | Valid Loss 2.14 | Valid Accuracy = 51.72%
Epoch: 032 | Train Loss 1.39 | Train Accuracy = 66.25% | Valid Loss 2.12 | Valid Accuracy = 50.00%
Epoch: 033 | Train Loss 1.40 | Train Accuracy = 68.44% | Valid Loss 2.14 | Valid Accuracy = 50.00%
Epoch: 034 | Train Loss 1.48 | Train Accuracy = 64.69% | Valid Loss 2.15 | Valid Accuracy = 50.86%
Epoch: 035 | Train Loss 1.45 | Train Accuracy = 68.12% | Valid Loss 2.20 | Valid Accuracy = 49.14%
Epoch: 036 | Train Loss 1.45 | Train Accuracy = 67.50% | Valid Loss 2.21 | Valid Accuracy = 50.00%
Epoch: 037 | Train Loss 1.39 | Train Accuracy = 69.38% | Valid Loss 2.19 | Valid Accuracy = 50.86%
Epoch: 038 | Train Loss 1.39 | Train Accuracy = 66.25% | Valid Loss 2.14 | Valid Accuracy = 50.86%
Epoch: 039 | Train Loss 1.56 | Train Accuracy = 62.19% | Valid Loss 2.07 | Valid Accuracy = 52.59%
Epoch: 040 | Train Loss 1.45 | Train Accuracy = 64.06% | Valid Loss 2.13 | Valid Accuracy = 51.72%
Epoch: 041 | Train Loss 1.36 | Train Accuracy = 68.12% | Valid Loss 2.12 | Valid Accuracy = 52.59%
