Epoch: 001 | Train Loss 4.86 | Train Accuracy = 45.00% | Valid Loss 5.42 | Valid Accuracy = 38.79%
Epoch: 002 | Train Loss 4.14 | Train Accuracy = 50.00% | Valid Loss 5.21 | Valid Accuracy = 42.24%
Epoch: 003 | Train Loss 3.95 | Train Accuracy = 48.12% | Valid Loss 5.28 | Valid Accuracy = 33.62%
Epoch: 004 | Train Loss 3.86 | Train Accuracy = 48.75% | Valid Loss 4.83 | Valid Accuracy = 36.21%
Epoch: 005 | Train Loss 3.64 | Train Accuracy = 52.50% | Valid Loss 4.44 | Valid Accuracy = 50.00%
Epoch: 006 | Train Loss 3.60 | Train Accuracy = 50.31% | Valid Loss 4.46 | Valid Accuracy = 49.14%
Epoch: 007 | Train Loss 3.45 | Train Accuracy = 51.88% | Valid Loss 4.22 | Valid Accuracy = 46.55%
Epoch: 008 | Train Loss 3.58 | Train Accuracy = 50.31% | Valid Loss 4.28 | Valid Accuracy = 50.00%
Epoch: 009 | Train Loss 3.40 | Train Accuracy = 53.75% | Valid Loss 4.44 | Valid Accuracy = 44.83%
Epoch: 010 | Train Loss 3.40 | Train Accuracy = 55.94% | Valid Loss 4.42 | Valid Accuracy = 43.10%
Epoch: 011 | Train Loss 3.32 | Train Accuracy = 57.50% | Valid Loss 4.25 | Valid Accuracy = 49.14%
Epoch: 012 | Train Loss 3.21 | Train Accuracy = 55.94% | Valid Loss 4.36 | Valid Accuracy = 50.00%
Epoch: 013 | Train Loss 3.04 | Train Accuracy = 57.19% | Valid Loss 4.77 | Valid Accuracy = 47.41%
Epoch: 014 | Train Loss 3.17 | Train Accuracy = 58.44% | Valid Loss 4.08 | Valid Accuracy = 57.76%
Epoch: 015 | Train Loss 3.15 | Train Accuracy = 56.88% | Valid Loss 4.15 | Valid Accuracy = 50.00%
Epoch: 016 | Train Loss 3.09 | Train Accuracy = 57.81% | Valid Loss 4.59 | Valid Accuracy = 48.28%
Epoch: 017 | Train Loss 3.15 | Train Accuracy = 56.25% | Valid Loss 3.94 | Valid Accuracy = 49.14%
Epoch: 018 | Train Loss 3.07 | Train Accuracy = 55.62% | Valid Loss 4.10 | Valid Accuracy = 49.14%
Epoch: 019 | Train Loss 3.05 | Train Accuracy = 60.94% | Valid Loss 4.16 | Valid Accuracy = 45.69%
Epoch: 020 | Train Loss 3.26 | Train Accuracy = 53.12% | Valid Loss 4.43 | Valid Accuracy = 48.28%
Epoch: 021 | Train Loss 3.04 | Train Accuracy = 58.44% | Valid Loss 4.08 | Valid Accuracy = 52.59%
Epoch: 022 | Train Loss 2.99 | Train Accuracy = 60.00% | Valid Loss 4.31 | Valid Accuracy = 49.14%
