Epoch: 001 | Train Loss 2.01 | Train Accuracy = 49.06% | Valid Loss 2.97 | Valid Accuracy = 34.48%
Epoch: 002 | Train Loss 2.09 | Train Accuracy = 47.50% | Valid Loss 2.49 | Valid Accuracy = 38.79%
Epoch: 003 | Train Loss 2.12 | Train Accuracy = 45.00% | Valid Loss 2.35 | Valid Accuracy = 44.83%
Epoch: 004 | Train Loss 2.03 | Train Accuracy = 45.31% | Valid Loss 2.21 | Valid Accuracy = 42.24%
Epoch: 005 | Train Loss 1.97 | Train Accuracy = 50.62% | Valid Loss 2.18 | Valid Accuracy = 44.83%
Epoch: 006 | Train Loss 1.96 | Train Accuracy = 49.69% | Valid Loss 2.12 | Valid Accuracy = 42.24%
Epoch: 007 | Train Loss 1.75 | Train Accuracy = 53.75% | Valid Loss 2.29 | Valid Accuracy = 49.14%
Epoch: 008 | Train Loss 1.88 | Train Accuracy = 51.25% | Valid Loss 2.21 | Valid Accuracy = 43.10%
Epoch: 009 | Train Loss 1.78 | Train Accuracy = 54.69% | Valid Loss 2.02 | Valid Accuracy = 50.00%
Epoch: 010 | Train Loss 1.74 | Train Accuracy = 54.69% | Valid Loss 2.31 | Valid Accuracy = 43.97%
Epoch: 011 | Train Loss 1.66 | Train Accuracy = 55.31% | Valid Loss 2.33 | Valid Accuracy = 41.38%
Epoch: 012 | Train Loss 1.75 | Train Accuracy = 54.69% | Valid Loss 2.24 | Valid Accuracy = 43.10%
Epoch: 013 | Train Loss 1.82 | Train Accuracy = 52.19% | Valid Loss 1.99 | Valid Accuracy = 48.28%
Epoch: 014 | Train Loss 1.67 | Train Accuracy = 56.25% | Valid Loss 1.94 | Valid Accuracy = 51.72%
Epoch: 015 | Train Loss 1.75 | Train Accuracy = 52.19% | Valid Loss 2.02 | Valid Accuracy = 48.28%
Epoch: 016 | Train Loss 1.63 | Train Accuracy = 57.81% | Valid Loss 1.97 | Valid Accuracy = 50.00%
Epoch: 017 | Train Loss 1.58 | Train Accuracy = 60.62% | Valid Loss 2.13 | Valid Accuracy = 45.69%
Epoch: 018 | Train Loss 1.61 | Train Accuracy = 58.44% | Valid Loss 1.95 | Valid Accuracy = 52.59%
Epoch: 019 | Train Loss 1.65 | Train Accuracy = 56.56% | Valid Loss 2.08 | Valid Accuracy = 48.28%
Epoch: 020 | Train Loss 1.60 | Train Accuracy = 56.88% | Valid Loss 2.36 | Valid Accuracy = 49.14%
Epoch: 021 | Train Loss 1.72 | Train Accuracy = 56.88% | Valid Loss 1.99 | Valid Accuracy = 52.59%
Epoch: 022 | Train Loss 1.55 | Train Accuracy = 57.81% | Valid Loss 2.18 | Valid Accuracy = 52.59%
Epoch: 023 | Train Loss 1.61 | Train Accuracy = 56.88% | Valid Loss 2.09 | Valid Accuracy = 50.86%
Epoch: 024 | Train Loss 1.53 | Train Accuracy = 58.75% | Valid Loss 1.96 | Valid Accuracy = 53.45%
Epoch: 025 | Train Loss 1.36 | Train Accuracy = 66.25% | Valid Loss 1.98 | Valid Accuracy = 51.72%
Epoch: 026 | Train Loss 1.38 | Train Accuracy = 64.69% | Valid Loss 1.95 | Valid Accuracy = 50.86%
Epoch: 027 | Train Loss 1.35 | Train Accuracy = 65.31% | Valid Loss 1.97 | Valid Accuracy = 53.45%
Epoch: 028 | Train Loss 1.32 | Train Accuracy = 67.50% | Valid Loss 1.97 | Valid Accuracy = 53.45%
Epoch: 029 | Train Loss 1.28 | Train Accuracy = 68.44% | Valid Loss 1.95 | Valid Accuracy = 53.45%
Epoch: 030 | Train Loss 1.38 | Train Accuracy = 64.38% | Valid Loss 1.92 | Valid Accuracy = 54.31%
Epoch: 031 | Train Loss 1.28 | Train Accuracy = 68.44% | Valid Loss 1.93 | Valid Accuracy = 53.45%
Epoch: 032 | Train Loss 1.34 | Train Accuracy = 64.38% | Valid Loss 1.99 | Valid Accuracy = 53.45%
Epoch: 033 | Train Loss 1.14 | Train Accuracy = 72.50% | Valid Loss 1.96 | Valid Accuracy = 51.72%
Epoch: 034 | Train Loss 1.27 | Train Accuracy = 67.81% | Valid Loss 1.91 | Valid Accuracy = 54.31%
Epoch: 035 | Train Loss 1.32 | Train Accuracy = 65.31% | Valid Loss 1.86 | Valid Accuracy = 50.86%
Epoch: 036 | Train Loss 1.31 | Train Accuracy = 63.12% | Valid Loss 1.84 | Valid Accuracy = 52.59%
Epoch: 037 | Train Loss 1.24 | Train Accuracy = 68.12% | Valid Loss 1.87 | Valid Accuracy = 55.17%
Epoch: 038 | Train Loss 1.19 | Train Accuracy = 69.69% | Valid Loss 1.88 | Valid Accuracy = 55.17%
Epoch: 039 | Train Loss 1.28 | Train Accuracy = 66.88% | Valid Loss 1.91 | Valid Accuracy = 52.59%
Epoch: 040 | Train Loss 1.22 | Train Accuracy = 67.50% | Valid Loss 1.91 | Valid Accuracy = 52.59%
Epoch: 041 | Train Loss 1.28 | Train Accuracy = 65.62% | Valid Loss 1.92 | Valid Accuracy = 52.59%
Epoch: 042 | Train Loss 1.32 | Train Accuracy = 63.44% | Valid Loss 1.90 | Valid Accuracy = 53.45%
Epoch: 043 | Train Loss 1.28 | Train Accuracy = 64.69% | Valid Loss 1.90 | Valid Accuracy = 53.45%
Epoch: 044 | Train Loss 1.22 | Train Accuracy = 67.19% | Valid Loss 1.92 | Valid Accuracy = 53.45%
Epoch: 045 | Train Loss 1.23 | Train Accuracy = 69.38% | Valid Loss 1.95 | Valid Accuracy = 54.31%
Epoch: 046 | Train Loss 1.31 | Train Accuracy = 66.56% | Valid Loss 1.92 | Valid Accuracy = 54.31%
Epoch: 047 | Train Loss 1.20 | Train Accuracy = 67.81% | Valid Loss 1.90 | Valid Accuracy = 54.31%
Epoch: 048 | Train Loss 1.27 | Train Accuracy = 66.56% | Valid Loss 1.89 | Valid Accuracy = 50.86%
Epoch: 049 | Train Loss 1.19 | Train Accuracy = 68.44% | Valid Loss 1.85 | Valid Accuracy = 54.31%
Epoch: 050 | Train Loss 1.09 | Train Accuracy = 71.56% | Valid Loss 1.86 | Valid Accuracy = 55.17%
Epoch: 051 | Train Loss 1.12 | Train Accuracy = 70.31% | Valid Loss 1.85 | Valid Accuracy = 56.03%
