Epoch: 001 | Train Loss 18.40 | Train Accuracy = 43.75% | Valid Loss 10.83 | Valid Accuracy = 23.28%
Epoch: 002 | Train Loss 6.67 | Train Accuracy = 18.12% | Valid Loss 4.71 | Valid Accuracy = 18.97%
Epoch: 003 | Train Loss 4.27 | Train Accuracy = 19.69% | Valid Loss 4.05 | Valid Accuracy = 17.24%
Epoch: 004 | Train Loss 3.55 | Train Accuracy = 23.75% | Valid Loss 3.57 | Valid Accuracy = 25.00%
Epoch: 005 | Train Loss 2.87 | Train Accuracy = 36.88% | Valid Loss 3.28 | Valid Accuracy = 24.14%
Epoch: 006 | Train Loss 2.71 | Train Accuracy = 36.25% | Valid Loss 3.47 | Valid Accuracy = 20.69%
Epoch: 007 | Train Loss 2.62 | Train Accuracy = 43.44% | Valid Loss 3.46 | Valid Accuracy = 28.45%
Epoch: 008 | Train Loss 2.54 | Train Accuracy = 45.31% | Valid Loss 3.07 | Valid Accuracy = 35.34%
Epoch: 009 | Train Loss 2.47 | Train Accuracy = 42.81% | Valid Loss 3.10 | Valid Accuracy = 37.07%
Epoch: 010 | Train Loss 2.33 | Train Accuracy = 49.06% | Valid Loss 2.97 | Valid Accuracy = 36.21%
Epoch: 011 | Train Loss 2.25 | Train Accuracy = 48.12% | Valid Loss 2.73 | Valid Accuracy = 39.66%
Epoch: 012 | Train Loss 2.29 | Train Accuracy = 45.00% | Valid Loss 3.14 | Valid Accuracy = 32.76%
Epoch: 013 | Train Loss 2.20 | Train Accuracy = 47.81% | Valid Loss 3.00 | Valid Accuracy = 35.34%
Epoch: 014 | Train Loss 2.33 | Train Accuracy = 45.62% | Valid Loss 2.83 | Valid Accuracy = 44.83%
Epoch: 015 | Train Loss 2.30 | Train Accuracy = 48.75% | Valid Loss 2.76 | Valid Accuracy = 42.24%
Epoch: 016 | Train Loss 2.14 | Train Accuracy = 49.38% | Valid Loss 2.68 | Valid Accuracy = 48.28%
Epoch: 017 | Train Loss 2.04 | Train Accuracy = 54.37% | Valid Loss 2.64 | Valid Accuracy = 45.69%
Epoch: 018 | Train Loss 1.94 | Train Accuracy = 57.50% | Valid Loss 2.59 | Valid Accuracy = 46.55%
Epoch: 019 | Train Loss 1.91 | Train Accuracy = 55.00% | Valid Loss 2.80 | Valid Accuracy = 44.83%
Epoch: 020 | Train Loss 1.99 | Train Accuracy = 52.81% | Valid Loss 2.87 | Valid Accuracy = 40.52%
Epoch: 021 | Train Loss 1.91 | Train Accuracy = 54.37% | Valid Loss 2.77 | Valid Accuracy = 47.41%
Epoch: 022 | Train Loss 1.88 | Train Accuracy = 56.25% | Valid Loss 2.74 | Valid Accuracy = 48.28%
Epoch: 023 | Train Loss 1.98 | Train Accuracy = 56.25% | Valid Loss 2.79 | Valid Accuracy = 43.10%
Epoch: 024 | Train Loss 1.82 | Train Accuracy = 57.19% | Valid Loss 2.65 | Valid Accuracy = 50.86%
Epoch: 025 | Train Loss 1.89 | Train Accuracy = 57.19% | Valid Loss 2.73 | Valid Accuracy = 44.83%
Epoch: 026 | Train Loss 1.79 | Train Accuracy = 56.25% | Valid Loss 2.54 | Valid Accuracy = 51.72%
Epoch: 027 | Train Loss 1.58 | Train Accuracy = 60.62% | Valid Loss 2.38 | Valid Accuracy = 54.31%
