Epoch: 001 | Train Loss 77.02 | Train Accuracy = 36.56% | Valid Loss 29.62 | Valid Accuracy = 17.24%
Epoch: 002 | Train Loss 16.78 | Train Accuracy = 18.75% | Valid Loss 9.14 | Valid Accuracy = 12.93%
Epoch: 003 | Train Loss 7.57 | Train Accuracy = 10.31% | Valid Loss 7.25 | Valid Accuracy = 12.07%
Epoch: 004 | Train Loss 6.39 | Train Accuracy = 10.00% | Valid Loss 6.62 | Valid Accuracy = 12.07%
Epoch: 005 | Train Loss 6.01 | Train Accuracy = 10.31% | Valid Loss 6.35 | Valid Accuracy = 16.38%
Epoch: 006 | Train Loss 5.55 | Train Accuracy = 17.81% | Valid Loss 6.07 | Valid Accuracy = 19.83%
Epoch: 007 | Train Loss 5.12 | Train Accuracy = 22.50% | Valid Loss 6.03 | Valid Accuracy = 18.10%
Epoch: 008 | Train Loss 5.00 | Train Accuracy = 24.38% | Valid Loss 5.70 | Valid Accuracy = 26.72%
Epoch: 009 | Train Loss 4.76 | Train Accuracy = 26.56% | Valid Loss 5.53 | Valid Accuracy = 24.14%
Epoch: 010 | Train Loss 4.54 | Train Accuracy = 29.38% | Valid Loss 5.26 | Valid Accuracy = 29.31%
Epoch: 011 | Train Loss 4.45 | Train Accuracy = 33.44% | Valid Loss 5.25 | Valid Accuracy = 26.72%
Epoch: 012 | Train Loss 4.15 | Train Accuracy = 35.62% | Valid Loss 5.37 | Valid Accuracy = 24.14%
Epoch: 013 | Train Loss 4.45 | Train Accuracy = 34.38% | Valid Loss 5.25 | Valid Accuracy = 25.00%
Epoch: 014 | Train Loss 4.46 | Train Accuracy = 30.63% | Valid Loss 5.43 | Valid Accuracy = 26.72%
Epoch: 015 | Train Loss 4.15 | Train Accuracy = 37.19% | Valid Loss 4.94 | Valid Accuracy = 27.59%
Epoch: 016 | Train Loss 4.09 | Train Accuracy = 43.12% | Valid Loss 5.27 | Valid Accuracy = 31.90%
Epoch: 017 | Train Loss 4.09 | Train Accuracy = 40.00% | Valid Loss 4.81 | Valid Accuracy = 34.48%
Epoch: 018 | Train Loss 4.14 | Train Accuracy = 40.94% | Valid Loss 4.99 | Valid Accuracy = 31.90%
Epoch: 019 | Train Loss 4.09 | Train Accuracy = 44.06% | Valid Loss 5.07 | Valid Accuracy = 31.90%
Epoch: 020 | Train Loss 3.88 | Train Accuracy = 46.25% | Valid Loss 4.75 | Valid Accuracy = 35.34%
Epoch: 021 | Train Loss 3.92 | Train Accuracy = 41.56% | Valid Loss 4.58 | Valid Accuracy = 37.07%
Epoch: 022 | Train Loss 3.60 | Train Accuracy = 47.50% | Valid Loss 4.76 | Valid Accuracy = 38.79%
Epoch: 023 | Train Loss 3.52 | Train Accuracy = 47.19% | Valid Loss 4.58 | Valid Accuracy = 37.93%
