Epoch: 001 | Train Loss 33.03 | Train Accuracy = 39.69% | Valid Loss 13.96 | Valid Accuracy = 22.41%
Epoch: 002 | Train Loss 10.02 | Train Accuracy = 27.50% | Valid Loss 8.22 | Valid Accuracy = 20.69%
Epoch: 003 | Train Loss 6.14 | Train Accuracy = 23.75% | Valid Loss 6.33 | Valid Accuracy = 19.83%
Epoch: 004 | Train Loss 5.14 | Train Accuracy = 25.00% | Valid Loss 6.05 | Valid Accuracy = 20.69%
Epoch: 005 | Train Loss 4.52 | Train Accuracy = 36.56% | Valid Loss 5.25 | Valid Accuracy = 29.31%
Epoch: 006 | Train Loss 4.42 | Train Accuracy = 35.94% | Valid Loss 5.16 | Valid Accuracy = 34.48%
Epoch: 007 | Train Loss 4.46 | Train Accuracy = 38.12% | Valid Loss 5.14 | Valid Accuracy = 32.76%
Epoch: 008 | Train Loss 4.19 | Train Accuracy = 38.12% | Valid Loss 4.97 | Valid Accuracy = 31.03%
Epoch: 009 | Train Loss 4.21 | Train Accuracy = 43.75% | Valid Loss 5.50 | Valid Accuracy = 31.03%
Epoch: 010 | Train Loss 4.08 | Train Accuracy = 46.25% | Valid Loss 4.86 | Valid Accuracy = 34.48%
Epoch: 011 | Train Loss 3.84 | Train Accuracy = 47.19% | Valid Loss 5.15 | Valid Accuracy = 34.48%
Epoch: 012 | Train Loss 3.88 | Train Accuracy = 43.12% | Valid Loss 4.74 | Valid Accuracy = 34.48%
Epoch: 013 | Train Loss 3.68 | Train Accuracy = 50.00% | Valid Loss 4.66 | Valid Accuracy = 41.38%
Epoch: 014 | Train Loss 3.65 | Train Accuracy = 50.94% | Valid Loss 4.37 | Valid Accuracy = 43.10%
Epoch: 015 | Train Loss 3.63 | Train Accuracy = 49.69% | Valid Loss 4.44 | Valid Accuracy = 41.38%
Epoch: 016 | Train Loss 3.58 | Train Accuracy = 48.44% | Valid Loss 4.76 | Valid Accuracy = 42.24%
Epoch: 017 | Train Loss 3.57 | Train Accuracy = 50.00% | Valid Loss 4.59 | Valid Accuracy = 45.69%
Epoch: 018 | Train Loss 3.62 | Train Accuracy = 50.62% | Valid Loss 4.61 | Valid Accuracy = 38.79%
Epoch: 019 | Train Loss 3.48 | Train Accuracy = 50.00% | Valid Loss 4.68 | Valid Accuracy = 45.69%
Epoch: 020 | Train Loss 3.44 | Train Accuracy = 50.31% | Valid Loss 5.04 | Valid Accuracy = 38.79%
Epoch: 021 | Train Loss 3.28 | Train Accuracy = 57.19% | Valid Loss 4.82 | Valid Accuracy = 47.41%
Epoch: 022 | Train Loss 3.31 | Train Accuracy = 55.94% | Valid Loss 4.49 | Valid Accuracy = 50.86%
Epoch: 023 | Train Loss 3.28 | Train Accuracy = 56.56% | Valid Loss 4.77 | Valid Accuracy = 48.28%
Epoch: 024 | Train Loss 3.39 | Train Accuracy = 53.44% | Valid Loss 4.73 | Valid Accuracy = 48.28%
Epoch: 025 | Train Loss 3.35 | Train Accuracy = 55.31% | Valid Loss 4.73 | Valid Accuracy = 44.83%
Epoch: 026 | Train Loss 3.20 | Train Accuracy = 57.81% | Valid Loss 4.49 | Valid Accuracy = 44.83%
Epoch: 027 | Train Loss 3.04 | Train Accuracy = 61.88% | Valid Loss 4.32 | Valid Accuracy = 44.83%
Epoch: 028 | Train Loss 3.04 | Train Accuracy = 58.75% | Valid Loss 4.27 | Valid Accuracy = 45.69%
Epoch: 029 | Train Loss 2.95 | Train Accuracy = 61.25% | Valid Loss 4.26 | Valid Accuracy = 45.69%
Epoch: 030 | Train Loss 3.04 | Train Accuracy = 60.94% | Valid Loss 4.27 | Valid Accuracy = 44.83%
Epoch: 031 | Train Loss 3.04 | Train Accuracy = 57.50% | Valid Loss 4.28 | Valid Accuracy = 44.83%
Epoch: 032 | Train Loss 2.92 | Train Accuracy = 58.13% | Valid Loss 4.31 | Valid Accuracy = 46.55%
