Epoch: 001 | Train Loss 34.51 | Train Accuracy = 39.38% | Valid Loss 16.65 | Valid Accuracy = 24.14%
Epoch: 002 | Train Loss 10.05 | Train Accuracy = 26.25% | Valid Loss 8.79 | Valid Accuracy = 22.41%
Epoch: 003 | Train Loss 6.31 | Train Accuracy = 25.00% | Valid Loss 6.29 | Valid Accuracy = 20.69%
Epoch: 004 | Train Loss 5.34 | Train Accuracy = 28.75% | Valid Loss 6.05 | Valid Accuracy = 25.00%
Epoch: 005 | Train Loss 4.84 | Train Accuracy = 29.38% | Valid Loss 5.61 | Valid Accuracy = 28.45%
Epoch: 006 | Train Loss 4.53 | Train Accuracy = 30.94% | Valid Loss 5.45 | Valid Accuracy = 26.72%
Epoch: 007 | Train Loss 4.34 | Train Accuracy = 35.31% | Valid Loss 5.49 | Valid Accuracy = 29.31%
Epoch: 008 | Train Loss 4.25 | Train Accuracy = 41.88% | Valid Loss 5.38 | Valid Accuracy = 33.62%
Epoch: 009 | Train Loss 4.11 | Train Accuracy = 40.94% | Valid Loss 5.13 | Valid Accuracy = 31.03%
Epoch: 010 | Train Loss 4.02 | Train Accuracy = 42.81% | Valid Loss 4.83 | Valid Accuracy = 40.52%
Epoch: 011 | Train Loss 3.95 | Train Accuracy = 42.81% | Valid Loss 4.51 | Valid Accuracy = 37.93%
Epoch: 012 | Train Loss 3.88 | Train Accuracy = 48.75% | Valid Loss 4.56 | Valid Accuracy = 43.10%
Epoch: 013 | Train Loss 3.77 | Train Accuracy = 45.00% | Valid Loss 4.81 | Valid Accuracy = 43.97%
Epoch: 014 | Train Loss 3.79 | Train Accuracy = 47.81% | Valid Loss 4.47 | Valid Accuracy = 43.10%
Epoch: 015 | Train Loss 3.66 | Train Accuracy = 55.62% | Valid Loss 4.65 | Valid Accuracy = 41.38%
Epoch: 016 | Train Loss 3.84 | Train Accuracy = 46.25% | Valid Loss 4.59 | Valid Accuracy = 37.07%
Epoch: 017 | Train Loss 3.85 | Train Accuracy = 48.75% | Valid Loss 4.80 | Valid Accuracy = 43.10%
Epoch: 018 | Train Loss 3.76 | Train Accuracy = 46.25% | Valid Loss 4.62 | Valid Accuracy = 37.07%
Epoch: 019 | Train Loss 3.60 | Train Accuracy = 49.06% | Valid Loss 4.46 | Valid Accuracy = 43.97%
Epoch: 020 | Train Loss 3.49 | Train Accuracy = 49.69% | Valid Loss 4.43 | Valid Accuracy = 46.55%
Epoch: 021 | Train Loss 3.52 | Train Accuracy = 51.56% | Valid Loss 4.38 | Valid Accuracy = 47.41%
Epoch: 022 | Train Loss 3.34 | Train Accuracy = 54.37% | Valid Loss 4.41 | Valid Accuracy = 48.28%
Epoch: 023 | Train Loss 3.42 | Train Accuracy = 50.62% | Valid Loss 4.55 | Valid Accuracy = 47.41%
Epoch: 024 | Train Loss 3.32 | Train Accuracy = 51.56% | Valid Loss 4.33 | Valid Accuracy = 49.14%
Epoch: 025 | Train Loss 3.24 | Train Accuracy = 57.50% | Valid Loss 4.33 | Valid Accuracy = 50.00%
Epoch: 026 | Train Loss 3.27 | Train Accuracy = 54.69% | Valid Loss 4.24 | Valid Accuracy = 50.86%
Epoch: 027 | Train Loss 3.27 | Train Accuracy = 52.81% | Valid Loss 4.13 | Valid Accuracy = 50.00%
Epoch: 028 | Train Loss 3.14 | Train Accuracy = 55.00% | Valid Loss 4.12 | Valid Accuracy = 49.14%
Epoch: 029 | Train Loss 3.06 | Train Accuracy = 57.19% | Valid Loss 4.09 | Valid Accuracy = 50.86%
Epoch: 030 | Train Loss 2.99 | Train Accuracy = 57.50% | Valid Loss 4.10 | Valid Accuracy = 50.00%
Epoch: 031 | Train Loss 3.00 | Train Accuracy = 61.25% | Valid Loss 4.09 | Valid Accuracy = 47.41%
Epoch: 032 | Train Loss 3.08 | Train Accuracy = 57.19% | Valid Loss 4.17 | Valid Accuracy = 50.00%
Epoch: 033 | Train Loss 2.99 | Train Accuracy = 60.31% | Valid Loss 4.13 | Valid Accuracy = 48.28%
Epoch: 034 | Train Loss 2.98 | Train Accuracy = 58.13% | Valid Loss 4.16 | Valid Accuracy = 49.14%
Epoch: 035 | Train Loss 3.04 | Train Accuracy = 61.88% | Valid Loss 4.14 | Valid Accuracy = 48.28%
Epoch: 036 | Train Loss 3.13 | Train Accuracy = 57.50% | Valid Loss 4.11 | Valid Accuracy = 49.14%
Epoch: 037 | Train Loss 2.95 | Train Accuracy = 59.06% | Valid Loss 4.18 | Valid Accuracy = 47.41%
Epoch: 038 | Train Loss 3.03 | Train Accuracy = 58.44% | Valid Loss 4.11 | Valid Accuracy = 47.41%
Epoch: 039 | Train Loss 3.02 | Train Accuracy = 56.88% | Valid Loss 4.11 | Valid Accuracy = 51.72%
Epoch: 040 | Train Loss 2.93 | Train Accuracy = 60.00% | Valid Loss 4.15 | Valid Accuracy = 50.86%
Epoch: 041 | Train Loss 3.03 | Train Accuracy = 59.38% | Valid Loss 4.10 | Valid Accuracy = 52.59%
Epoch: 042 | Train Loss 2.92 | Train Accuracy = 58.44% | Valid Loss 4.07 | Valid Accuracy = 50.86%
Epoch: 043 | Train Loss 2.97 | Train Accuracy = 60.31% | Valid Loss 4.10 | Valid Accuracy = 50.86%
Epoch: 044 | Train Loss 2.90 | Train Accuracy = 59.06% | Valid Loss 4.04 | Valid Accuracy = 51.72%
Epoch: 045 | Train Loss 2.85 | Train Accuracy = 59.38% | Valid Loss 4.02 | Valid Accuracy = 52.59%
Epoch: 046 | Train Loss 2.93 | Train Accuracy = 59.38% | Valid Loss 4.08 | Valid Accuracy = 54.31%
Epoch: 047 | Train Loss 3.00 | Train Accuracy = 56.56% | Valid Loss 4.06 | Valid Accuracy = 54.31%
Epoch: 048 | Train Loss 2.95 | Train Accuracy = 59.06% | Valid Loss 4.15 | Valid Accuracy = 52.59%
Epoch: 049 | Train Loss 2.87 | Train Accuracy = 62.19% | Valid Loss 4.14 | Valid Accuracy = 51.72%
Epoch: 050 | Train Loss 2.99 | Train Accuracy = 55.62% | Valid Loss 4.09 | Valid Accuracy = 51.72%
Epoch: 051 | Train Loss 2.96 | Train Accuracy = 61.25% | Valid Loss 4.09 | Valid Accuracy = 51.72%
Epoch: 052 | Train Loss 2.86 | Train Accuracy = 62.81% | Valid Loss 4.09 | Valid Accuracy = 52.59%
Epoch: 053 | Train Loss 2.79 | Train Accuracy = 65.94% | Valid Loss 4.07 | Valid Accuracy = 53.45%
Epoch: 054 | Train Loss 2.86 | Train Accuracy = 61.88% | Valid Loss 4.06 | Valid Accuracy = 52.59%
Epoch: 055 | Train Loss 3.00 | Train Accuracy = 59.38% | Valid Loss 4.06 | Valid Accuracy = 51.72%
Epoch: 056 | Train Loss 2.81 | Train Accuracy = 60.94% | Valid Loss 4.09 | Valid Accuracy = 51.72%
Epoch: 057 | Train Loss 2.83 | Train Accuracy = 56.88% | Valid Loss 4.05 | Valid Accuracy = 51.72%
Epoch: 058 | Train Loss 2.70 | Train Accuracy = 60.94% | Valid Loss 4.05 | Valid Accuracy = 50.00%
Epoch: 059 | Train Loss 2.80 | Train Accuracy = 63.12% | Valid Loss 4.10 | Valid Accuracy = 50.00%
Epoch: 060 | Train Loss 2.84 | Train Accuracy = 61.56% | Valid Loss 4.07 | Valid Accuracy = 51.72%
Epoch: 061 | Train Loss 2.72 | Train Accuracy = 65.31% | Valid Loss 4.05 | Valid Accuracy = 51.72%
Epoch: 062 | Train Loss 2.73 | Train Accuracy = 65.62% | Valid Loss 4.09 | Valid Accuracy = 52.59%
Epoch: 063 | Train Loss 2.84 | Train Accuracy = 61.88% | Valid Loss 4.09 | Valid Accuracy = 52.59%
Epoch: 064 | Train Loss 2.80 | Train Accuracy = 63.44% | Valid Loss 4.02 | Valid Accuracy = 53.45%
Epoch: 065 | Train Loss 2.96 | Train Accuracy = 58.75% | Valid Loss 3.98 | Valid Accuracy = 53.45%
Epoch: 066 | Train Loss 2.78 | Train Accuracy = 62.19% | Valid Loss 4.03 | Valid Accuracy = 50.86%
Epoch: 067 | Train Loss 2.72 | Train Accuracy = 63.12% | Valid Loss 4.01 | Valid Accuracy = 51.72%
Epoch: 068 | Train Loss 2.84 | Train Accuracy = 59.06% | Valid Loss 4.01 | Valid Accuracy = 52.59%
Epoch: 069 | Train Loss 2.86 | Train Accuracy = 58.75% | Valid Loss 4.05 | Valid Accuracy = 51.72%
Epoch: 070 | Train Loss 2.79 | Train Accuracy = 62.50% | Valid Loss 4.05 | Valid Accuracy = 51.72%
Epoch: 071 | Train Loss 2.86 | Train Accuracy = 62.81% | Valid Loss 4.06 | Valid Accuracy = 54.31%
Epoch: 072 | Train Loss 2.73 | Train Accuracy = 64.69% | Valid Loss 4.14 | Valid Accuracy = 54.31%
Epoch: 073 | Train Loss 2.71 | Train Accuracy = 65.00% | Valid Loss 4.03 | Valid Accuracy = 56.03%
Epoch: 074 | Train Loss 2.71 | Train Accuracy = 61.25% | Valid Loss 4.03 | Valid Accuracy = 55.17%
Epoch: 075 | Train Loss 2.72 | Train Accuracy = 68.44% | Valid Loss 4.04 | Valid Accuracy = 55.17%
Epoch: 076 | Train Loss 2.76 | Train Accuracy = 60.94% | Valid Loss 4.05 | Valid Accuracy = 54.31%
Epoch: 077 | Train Loss 2.59 | Train Accuracy = 65.31% | Valid Loss 4.06 | Valid Accuracy = 54.31%
Epoch: 078 | Train Loss 2.74 | Train Accuracy = 63.75% | Valid Loss 4.04 | Valid Accuracy = 54.31%
Epoch: 079 | Train Loss 2.77 | Train Accuracy = 61.25% | Valid Loss 4.04 | Valid Accuracy = 54.31%
Epoch: 080 | Train Loss 2.71 | Train Accuracy = 62.19% | Valid Loss 4.03 | Valid Accuracy = 55.17%
Epoch: 081 | Train Loss 2.69 | Train Accuracy = 66.25% | Valid Loss 4.03 | Valid Accuracy = 55.17%
Epoch: 082 | Train Loss 2.78 | Train Accuracy = 62.50% | Valid Loss 4.02 | Valid Accuracy = 55.17%
Epoch: 083 | Train Loss 2.57 | Train Accuracy = 69.38% | Valid Loss 4.02 | Valid Accuracy = 54.31%
Epoch: 084 | Train Loss 2.65 | Train Accuracy = 69.06% | Valid Loss 4.03 | Valid Accuracy = 54.31%
Epoch: 085 | Train Loss 2.60 | Train Accuracy = 65.31% | Valid Loss 4.03 | Valid Accuracy = 55.17%
Epoch: 086 | Train Loss 2.72 | Train Accuracy = 64.38% | Valid Loss 4.03 | Valid Accuracy = 55.17%
Epoch: 087 | Train Loss 2.75 | Train Accuracy = 63.75% | Valid Loss 4.02 | Valid Accuracy = 55.17%
Epoch: 088 | Train Loss 2.57 | Train Accuracy = 67.81% | Valid Loss 4.02 | Valid Accuracy = 55.17%
Epoch: 089 | Train Loss 2.70 | Train Accuracy = 66.56% | Valid Loss 4.01 | Valid Accuracy = 55.17%
Epoch: 090 | Train Loss 2.74 | Train Accuracy = 63.12% | Valid Loss 4.02 | Valid Accuracy = 56.03%
Epoch: 091 | Train Loss 2.77 | Train Accuracy = 62.19% | Valid Loss 4.02 | Valid Accuracy = 55.17%
