Epoch: 001 | Train Loss 88.84 | Train Accuracy = 37.19% | Valid Loss 47.06 | Valid Accuracy = 17.24%
Epoch: 002 | Train Loss 16.62 | Train Accuracy = 10.62% | Valid Loss 12.71 | Valid Accuracy = 13.79%
Epoch: 003 | Train Loss 8.11 | Train Accuracy = 07.50% | Valid Loss 7.24 | Valid Accuracy = 07.76%
Epoch: 004 | Train Loss 6.75 | Train Accuracy = 08.44% | Valid Loss 6.81 | Valid Accuracy = 10.34%
Epoch: 005 | Train Loss 6.38 | Train Accuracy = 10.00% | Valid Loss 6.62 | Valid Accuracy = 08.62%
Epoch: 006 | Train Loss 6.09 | Train Accuracy = 07.81% | Valid Loss 6.09 | Valid Accuracy = 14.66%
Epoch: 007 | Train Loss 5.71 | Train Accuracy = 13.75% | Valid Loss 5.85 | Valid Accuracy = 18.10%
Epoch: 008 | Train Loss 5.31 | Train Accuracy = 20.62% | Valid Loss 5.51 | Valid Accuracy = 21.55%
Epoch: 009 | Train Loss 5.02 | Train Accuracy = 25.31% | Valid Loss 5.59 | Valid Accuracy = 26.72%
Epoch: 010 | Train Loss 4.85 | Train Accuracy = 24.06% | Valid Loss 5.44 | Valid Accuracy = 25.86%
Epoch: 011 | Train Loss 4.66 | Train Accuracy = 30.63% | Valid Loss 5.40 | Valid Accuracy = 24.14%
Epoch: 012 | Train Loss 4.46 | Train Accuracy = 31.25% | Valid Loss 5.21 | Valid Accuracy = 28.45%
Epoch: 013 | Train Loss 4.47 | Train Accuracy = 30.00% | Valid Loss 5.25 | Valid Accuracy = 27.59%
Epoch: 014 | Train Loss 4.55 | Train Accuracy = 30.63% | Valid Loss 5.45 | Valid Accuracy = 32.76%
Epoch: 015 | Train Loss 4.35 | Train Accuracy = 37.81% | Valid Loss 5.25 | Valid Accuracy = 25.86%
Epoch: 016 | Train Loss 4.07 | Train Accuracy = 39.69% | Valid Loss 5.19 | Valid Accuracy = 35.34%
Epoch: 017 | Train Loss 4.09 | Train Accuracy = 39.06% | Valid Loss 4.87 | Valid Accuracy = 36.21%
Epoch: 018 | Train Loss 3.77 | Train Accuracy = 45.31% | Valid Loss 5.05 | Valid Accuracy = 32.76%
Epoch: 019 | Train Loss 3.92 | Train Accuracy = 44.38% | Valid Loss 4.82 | Valid Accuracy = 37.93%
Epoch: 020 | Train Loss 4.12 | Train Accuracy = 38.12% | Valid Loss 4.93 | Valid Accuracy = 34.48%
Epoch: 021 | Train Loss 4.04 | Train Accuracy = 37.50% | Valid Loss 4.87 | Valid Accuracy = 37.93%
Epoch: 022 | Train Loss 3.80 | Train Accuracy = 45.31% | Valid Loss 5.14 | Valid Accuracy = 37.93%
Epoch: 023 | Train Loss 3.87 | Train Accuracy = 40.31% | Valid Loss 4.85 | Valid Accuracy = 38.79%
Epoch: 024 | Train Loss 3.82 | Train Accuracy = 43.75% | Valid Loss 4.56 | Valid Accuracy = 37.07%
Epoch: 025 | Train Loss 3.70 | Train Accuracy = 44.69% | Valid Loss 4.58 | Valid Accuracy = 43.10%
Epoch: 026 | Train Loss 3.52 | Train Accuracy = 48.12% | Valid Loss 4.44 | Valid Accuracy = 43.10%
Epoch: 027 | Train Loss 3.42 | Train Accuracy = 52.81% | Valid Loss 4.52 | Valid Accuracy = 38.79%
Epoch: 028 | Train Loss 3.52 | Train Accuracy = 45.31% | Valid Loss 4.53 | Valid Accuracy = 40.52%
Epoch: 029 | Train Loss 3.48 | Train Accuracy = 45.62% | Valid Loss 4.52 | Valid Accuracy = 42.24%
Epoch: 030 | Train Loss 3.43 | Train Accuracy = 46.56% | Valid Loss 4.45 | Valid Accuracy = 43.97%
Epoch: 031 | Train Loss 3.39 | Train Accuracy = 51.25% | Valid Loss 4.42 | Valid Accuracy = 43.10%
Epoch: 032 | Train Loss 3.38 | Train Accuracy = 48.44% | Valid Loss 4.43 | Valid Accuracy = 43.97%
Epoch: 033 | Train Loss 3.43 | Train Accuracy = 50.94% | Valid Loss 4.48 | Valid Accuracy = 43.97%
Epoch: 034 | Train Loss 3.38 | Train Accuracy = 50.62% | Valid Loss 4.48 | Valid Accuracy = 43.97%
Epoch: 035 | Train Loss 3.38 | Train Accuracy = 50.31% | Valid Loss 4.47 | Valid Accuracy = 42.24%
Epoch: 036 | Train Loss 3.41 | Train Accuracy = 47.81% | Valid Loss 4.44 | Valid Accuracy = 41.38%
Epoch: 037 | Train Loss 3.26 | Train Accuracy = 53.12% | Valid Loss 4.46 | Valid Accuracy = 42.24%
Epoch: 038 | Train Loss 3.33 | Train Accuracy = 48.44% | Valid Loss 4.47 | Valid Accuracy = 42.24%
