Epoch: 001 | Train Loss 4.85 | Train Accuracy = 46.25% | Valid Loss 5.34 | Valid Accuracy = 38.79%
Epoch: 002 | Train Loss 5.49 | Train Accuracy = 48.12% | Valid Loss 5.39 | Valid Accuracy = 41.38%
Epoch: 003 | Train Loss 5.37 | Train Accuracy = 48.44% | Valid Loss 5.21 | Valid Accuracy = 43.10%
Epoch: 004 | Train Loss 5.35 | Train Accuracy = 46.88% | Valid Loss 5.42 | Valid Accuracy = 41.38%
Epoch: 005 | Train Loss 5.42 | Train Accuracy = 47.81% | Valid Loss 5.29 | Valid Accuracy = 48.28%
Epoch: 006 | Train Loss 5.20 | Train Accuracy = 51.88% | Valid Loss 5.42 | Valid Accuracy = 46.55%
Epoch: 007 | Train Loss 5.17 | Train Accuracy = 52.81% | Valid Loss 5.04 | Valid Accuracy = 45.69%
Epoch: 008 | Train Loss 5.24 | Train Accuracy = 54.37% | Valid Loss 4.98 | Valid Accuracy = 45.69%
Epoch: 009 | Train Loss 5.27 | Train Accuracy = 53.75% | Valid Loss 5.06 | Valid Accuracy = 49.14%
Epoch: 010 | Train Loss 5.24 | Train Accuracy = 51.88% | Valid Loss 5.01 | Valid Accuracy = 50.00%
Epoch: 011 | Train Loss 5.18 | Train Accuracy = 57.81% | Valid Loss 4.96 | Valid Accuracy = 50.86%
Epoch: 012 | Train Loss 5.13 | Train Accuracy = 56.56% | Valid Loss 5.14 | Valid Accuracy = 43.10%
Epoch: 013 | Train Loss 5.19 | Train Accuracy = 55.00% | Valid Loss 4.98 | Valid Accuracy = 56.03%
Epoch: 014 | Train Loss 5.01 | Train Accuracy = 58.13% | Valid Loss 4.91 | Valid Accuracy = 55.17%
Epoch: 015 | Train Loss 4.95 | Train Accuracy = 58.13% | Valid Loss 4.79 | Valid Accuracy = 55.17%
Epoch: 016 | Train Loss 5.10 | Train Accuracy = 55.31% | Valid Loss 5.34 | Valid Accuracy = 44.83%
Epoch: 017 | Train Loss 5.09 | Train Accuracy = 55.94% | Valid Loss 5.07 | Valid Accuracy = 50.00%
Epoch: 018 | Train Loss 5.10 | Train Accuracy = 60.31% | Valid Loss 5.09 | Valid Accuracy = 43.10%
Epoch: 019 | Train Loss 5.12 | Train Accuracy = 54.69% | Valid Loss 4.89 | Valid Accuracy = 50.00%
Epoch: 020 | Train Loss 5.22 | Train Accuracy = 51.56% | Valid Loss 4.73 | Valid Accuracy = 56.03%
Epoch: 021 | Train Loss 5.05 | Train Accuracy = 57.81% | Valid Loss 4.72 | Valid Accuracy = 57.76%
Epoch: 022 | Train Loss 4.86 | Train Accuracy = 62.50% | Valid Loss 4.68 | Valid Accuracy = 53.45%
Epoch: 023 | Train Loss 4.92 | Train Accuracy = 63.12% | Valid Loss 4.69 | Valid Accuracy = 56.90%
Epoch: 024 | Train Loss 5.07 | Train Accuracy = 55.94% | Valid Loss 4.90 | Valid Accuracy = 51.72%
Epoch: 025 | Train Loss 5.00 | Train Accuracy = 58.13% | Valid Loss 4.77 | Valid Accuracy = 56.03%
Epoch: 026 | Train Loss 4.91 | Train Accuracy = 62.50% | Valid Loss 4.68 | Valid Accuracy = 56.90%
Epoch: 027 | Train Loss 4.79 | Train Accuracy = 66.56% | Valid Loss 4.62 | Valid Accuracy = 56.90%
Epoch: 028 | Train Loss 4.84 | Train Accuracy = 65.94% | Valid Loss 4.56 | Valid Accuracy = 58.62%
Epoch: 029 | Train Loss 4.89 | Train Accuracy = 62.19% | Valid Loss 4.55 | Valid Accuracy = 58.62%
Epoch: 030 | Train Loss 4.69 | Train Accuracy = 66.56% | Valid Loss 4.57 | Valid Accuracy = 58.62%
Epoch: 031 | Train Loss 4.94 | Train Accuracy = 61.25% | Valid Loss 4.59 | Valid Accuracy = 57.76%
Epoch: 032 | Train Loss 4.50 | Train Accuracy = 69.38% | Valid Loss 4.58 | Valid Accuracy = 59.48%
Epoch: 033 | Train Loss 4.70 | Train Accuracy = 66.25% | Valid Loss 4.52 | Valid Accuracy = 56.03%
Epoch: 034 | Train Loss 4.78 | Train Accuracy = 66.25% | Valid Loss 4.53 | Valid Accuracy = 57.76%
Epoch: 035 | Train Loss 4.71 | Train Accuracy = 67.19% | Valid Loss 4.59 | Valid Accuracy = 56.03%
Epoch: 036 | Train Loss 4.56 | Train Accuracy = 69.06% | Valid Loss 4.63 | Valid Accuracy = 56.03%
Epoch: 037 | Train Loss 4.63 | Train Accuracy = 69.06% | Valid Loss 4.66 | Valid Accuracy = 56.03%
Epoch: 038 | Train Loss 4.69 | Train Accuracy = 65.62% | Valid Loss 4.68 | Valid Accuracy = 56.90%
Epoch: 039 | Train Loss 4.71 | Train Accuracy = 69.69% | Valid Loss 4.69 | Valid Accuracy = 53.45%
Epoch: 040 | Train Loss 4.66 | Train Accuracy = 70.31% | Valid Loss 4.66 | Valid Accuracy = 54.31%
Epoch: 041 | Train Loss 4.74 | Train Accuracy = 67.50% | Valid Loss 4.68 | Valid Accuracy = 54.31%
Epoch: 042 | Train Loss 4.52 | Train Accuracy = 71.56% | Valid Loss 4.68 | Valid Accuracy = 53.45%
Epoch: 043 | Train Loss 4.79 | Train Accuracy = 65.62% | Valid Loss 4.67 | Valid Accuracy = 54.31%
Epoch: 044 | Train Loss 4.51 | Train Accuracy = 73.75% | Valid Loss 4.67 | Valid Accuracy = 55.17%
Epoch: 045 | Train Loss 4.56 | Train Accuracy = 71.25% | Valid Loss 4.69 | Valid Accuracy = 55.17%
Epoch: 046 | Train Loss 4.68 | Train Accuracy = 68.12% | Valid Loss 4.67 | Valid Accuracy = 52.59%
Epoch: 047 | Train Loss 4.67 | Train Accuracy = 66.56% | Valid Loss 4.66 | Valid Accuracy = 53.45%
Epoch: 048 | Train Loss 4.76 | Train Accuracy = 71.56% | Valid Loss 4.67 | Valid Accuracy = 53.45%
Epoch: 049 | Train Loss 4.65 | Train Accuracy = 70.00% | Valid Loss 4.67 | Valid Accuracy = 55.17%
Epoch: 050 | Train Loss 4.66 | Train Accuracy = 67.50% | Valid Loss 4.68 | Valid Accuracy = 56.03%
Epoch: 051 | Train Loss 4.56 | Train Accuracy = 72.19% | Valid Loss 4.69 | Valid Accuracy = 53.45%
Epoch: 052 | Train Loss 4.59 | Train Accuracy = 70.94% | Valid Loss 4.69 | Valid Accuracy = 51.72%
Epoch: 053 | Train Loss 4.52 | Train Accuracy = 74.06% | Valid Loss 4.72 | Valid Accuracy = 50.86%
Epoch: 054 | Train Loss 4.62 | Train Accuracy = 70.31% | Valid Loss 4.70 | Valid Accuracy = 51.72%
Epoch: 055 | Train Loss 4.58 | Train Accuracy = 72.50% | Valid Loss 4.72 | Valid Accuracy = 50.86%
Epoch: 056 | Train Loss 4.50 | Train Accuracy = 72.81% | Valid Loss 4.70 | Valid Accuracy = 51.72%
Epoch: 057 | Train Loss 4.39 | Train Accuracy = 74.06% | Valid Loss 4.63 | Valid Accuracy = 53.45%
Epoch: 058 | Train Loss 4.56 | Train Accuracy = 74.06% | Valid Loss 4.58 | Valid Accuracy = 56.03%
Epoch: 059 | Train Loss 4.75 | Train Accuracy = 66.88% | Valid Loss 4.62 | Valid Accuracy = 56.03%
