Epoch: 001 | Train Loss 3.49 | Train Accuracy = 41.25% | Valid Loss 4.29 | Valid Accuracy = 34.48%
Epoch: 002 | Train Loss 3.24 | Train Accuracy = 44.69% | Valid Loss 4.46 | Valid Accuracy = 37.93%
Epoch: 003 | Train Loss 3.32 | Train Accuracy = 45.94% | Valid Loss 3.73 | Valid Accuracy = 43.97%
Epoch: 004 | Train Loss 3.31 | Train Accuracy = 47.19% | Valid Loss 3.88 | Valid Accuracy = 44.83%
Epoch: 005 | Train Loss 3.26 | Train Accuracy = 47.81% | Valid Loss 4.14 | Valid Accuracy = 38.79%
Epoch: 006 | Train Loss 3.12 | Train Accuracy = 47.50% | Valid Loss 3.75 | Valid Accuracy = 50.00%
Epoch: 007 | Train Loss 2.96 | Train Accuracy = 49.69% | Valid Loss 3.75 | Valid Accuracy = 48.28%
Epoch: 008 | Train Loss 2.73 | Train Accuracy = 60.31% | Valid Loss 3.80 | Valid Accuracy = 45.69%
Epoch: 009 | Train Loss 2.88 | Train Accuracy = 54.06% | Valid Loss 3.73 | Valid Accuracy = 43.97%
Epoch: 010 | Train Loss 2.96 | Train Accuracy = 54.06% | Valid Loss 3.89 | Valid Accuracy = 43.97%
Epoch: 011 | Train Loss 2.73 | Train Accuracy = 55.94% | Valid Loss 3.78 | Valid Accuracy = 50.00%
Epoch: 012 | Train Loss 2.86 | Train Accuracy = 59.06% | Valid Loss 3.83 | Valid Accuracy = 42.24%
Epoch: 013 | Train Loss 2.86 | Train Accuracy = 57.50% | Valid Loss 3.68 | Valid Accuracy = 50.00%
Epoch: 014 | Train Loss 2.78 | Train Accuracy = 60.00% | Valid Loss 3.53 | Valid Accuracy = 54.31%
Epoch: 015 | Train Loss 2.92 | Train Accuracy = 55.31% | Valid Loss 3.43 | Valid Accuracy = 51.72%
Epoch: 016 | Train Loss 2.79 | Train Accuracy = 57.50% | Valid Loss 3.37 | Valid Accuracy = 49.14%
Epoch: 017 | Train Loss 2.73 | Train Accuracy = 61.25% | Valid Loss 3.56 | Valid Accuracy = 52.59%
Epoch: 018 | Train Loss 2.76 | Train Accuracy = 61.56% | Valid Loss 3.61 | Valid Accuracy = 50.86%
Epoch: 019 | Train Loss 2.72 | Train Accuracy = 61.88% | Valid Loss 3.56 | Valid Accuracy = 50.86%
Epoch: 020 | Train Loss 2.81 | Train Accuracy = 62.19% | Valid Loss 3.45 | Valid Accuracy = 51.72%
Epoch: 021 | Train Loss 2.77 | Train Accuracy = 60.00% | Valid Loss 3.57 | Valid Accuracy = 51.72%
Epoch: 022 | Train Loss 2.76 | Train Accuracy = 59.38% | Valid Loss 3.90 | Valid Accuracy = 47.41%
Epoch: 023 | Train Loss 2.76 | Train Accuracy = 61.25% | Valid Loss 3.74 | Valid Accuracy = 48.28%
Epoch: 024 | Train Loss 2.61 | Train Accuracy = 62.81% | Valid Loss 3.55 | Valid Accuracy = 50.00%
Epoch: 025 | Train Loss 2.61 | Train Accuracy = 63.12% | Valid Loss 3.46 | Valid Accuracy = 54.31%
Epoch: 026 | Train Loss 2.76 | Train Accuracy = 59.38% | Valid Loss 3.47 | Valid Accuracy = 54.31%
Epoch: 027 | Train Loss 2.57 | Train Accuracy = 62.19% | Valid Loss 3.55 | Valid Accuracy = 55.17%
Epoch: 028 | Train Loss 2.50 | Train Accuracy = 68.75% | Valid Loss 3.58 | Valid Accuracy = 52.59%
Epoch: 029 | Train Loss 2.59 | Train Accuracy = 64.06% | Valid Loss 3.59 | Valid Accuracy = 51.72%
Epoch: 030 | Train Loss 2.44 | Train Accuracy = 73.12% | Valid Loss 3.54 | Valid Accuracy = 51.72%
Epoch: 031 | Train Loss 2.52 | Train Accuracy = 64.38% | Valid Loss 3.53 | Valid Accuracy = 53.45%
Epoch: 032 | Train Loss 2.43 | Train Accuracy = 69.38% | Valid Loss 3.56 | Valid Accuracy = 55.17%
Epoch: 033 | Train Loss 2.45 | Train Accuracy = 68.12% | Valid Loss 3.59 | Valid Accuracy = 52.59%
Epoch: 034 | Train Loss 2.39 | Train Accuracy = 68.44% | Valid Loss 3.59 | Valid Accuracy = 53.45%
Epoch: 035 | Train Loss 2.42 | Train Accuracy = 70.94% | Valid Loss 3.61 | Valid Accuracy = 53.45%
Epoch: 036 | Train Loss 2.39 | Train Accuracy = 69.06% | Valid Loss 3.58 | Valid Accuracy = 55.17%
Epoch: 037 | Train Loss 2.39 | Train Accuracy = 69.06% | Valid Loss 3.57 | Valid Accuracy = 53.45%
Epoch: 038 | Train Loss 2.46 | Train Accuracy = 66.25% | Valid Loss 3.58 | Valid Accuracy = 54.31%
Epoch: 039 | Train Loss 2.47 | Train Accuracy = 69.06% | Valid Loss 3.55 | Valid Accuracy = 55.17%
Epoch: 040 | Train Loss 2.47 | Train Accuracy = 71.25% | Valid Loss 3.53 | Valid Accuracy = 54.31%
Epoch: 041 | Train Loss 2.49 | Train Accuracy = 66.88% | Valid Loss 3.57 | Valid Accuracy = 56.90%
Epoch: 042 | Train Loss 2.47 | Train Accuracy = 64.38% | Valid Loss 3.57 | Valid Accuracy = 55.17%
Epoch: 043 | Train Loss 2.48 | Train Accuracy = 69.38% | Valid Loss 3.55 | Valid Accuracy = 53.45%
Epoch: 044 | Train Loss 2.45 | Train Accuracy = 69.69% | Valid Loss 3.56 | Valid Accuracy = 54.31%
Epoch: 045 | Train Loss 2.44 | Train Accuracy = 69.06% | Valid Loss 3.58 | Valid Accuracy = 56.90%
Epoch: 046 | Train Loss 2.39 | Train Accuracy = 70.31% | Valid Loss 3.56 | Valid Accuracy = 55.17%
Epoch: 047 | Train Loss 2.29 | Train Accuracy = 72.19% | Valid Loss 3.54 | Valid Accuracy = 52.59%
Epoch: 048 | Train Loss 2.42 | Train Accuracy = 68.12% | Valid Loss 3.55 | Valid Accuracy = 51.72%
Epoch: 049 | Train Loss 2.38 | Train Accuracy = 69.38% | Valid Loss 3.54 | Valid Accuracy = 55.17%
Epoch: 050 | Train Loss 2.45 | Train Accuracy = 68.75% | Valid Loss 3.55 | Valid Accuracy = 56.03%
Epoch: 051 | Train Loss 2.21 | Train Accuracy = 72.19% | Valid Loss 3.53 | Valid Accuracy = 54.31%
Epoch: 052 | Train Loss 2.40 | Train Accuracy = 67.50% | Valid Loss 3.49 | Valid Accuracy = 53.45%
Epoch: 053 | Train Loss 2.39 | Train Accuracy = 67.81% | Valid Loss 3.48 | Valid Accuracy = 52.59%
Epoch: 054 | Train Loss 2.46 | Train Accuracy = 73.12% | Valid Loss 3.48 | Valid Accuracy = 52.59%
Epoch: 055 | Train Loss 2.37 | Train Accuracy = 71.88% | Valid Loss 3.48 | Valid Accuracy = 52.59%
Epoch: 056 | Train Loss 2.39 | Train Accuracy = 69.06% | Valid Loss 3.51 | Valid Accuracy = 53.45%
Epoch: 057 | Train Loss 2.44 | Train Accuracy = 71.88% | Valid Loss 3.48 | Valid Accuracy = 52.59%
Epoch: 058 | Train Loss 2.30 | Train Accuracy = 68.12% | Valid Loss 3.45 | Valid Accuracy = 54.31%
Epoch: 059 | Train Loss 2.38 | Train Accuracy = 70.00% | Valid Loss 3.50 | Valid Accuracy = 55.17%
Epoch: 060 | Train Loss 2.40 | Train Accuracy = 71.56% | Valid Loss 3.51 | Valid Accuracy = 52.59%
Epoch: 061 | Train Loss 2.41 | Train Accuracy = 68.44% | Valid Loss 3.52 | Valid Accuracy = 54.31%
Epoch: 062 | Train Loss 2.37 | Train Accuracy = 70.00% | Valid Loss 3.47 | Valid Accuracy = 55.17%
Epoch: 063 | Train Loss 2.31 | Train Accuracy = 69.69% | Valid Loss 3.46 | Valid Accuracy = 54.31%
Epoch: 064 | Train Loss 2.32 | Train Accuracy = 71.56% | Valid Loss 3.49 | Valid Accuracy = 53.45%
Epoch: 065 | Train Loss 2.30 | Train Accuracy = 77.50% | Valid Loss 3.51 | Valid Accuracy = 55.17%
Epoch: 066 | Train Loss 2.34 | Train Accuracy = 74.69% | Valid Loss 3.50 | Valid Accuracy = 56.03%
Epoch: 067 | Train Loss 2.33 | Train Accuracy = 71.88% | Valid Loss 3.47 | Valid Accuracy = 56.90%
Epoch: 068 | Train Loss 2.32 | Train Accuracy = 74.06% | Valid Loss 3.46 | Valid Accuracy = 58.62%
Epoch: 069 | Train Loss 2.28 | Train Accuracy = 74.38% | Valid Loss 3.52 | Valid Accuracy = 58.62%
Epoch: 070 | Train Loss 2.33 | Train Accuracy = 73.75% | Valid Loss 3.52 | Valid Accuracy = 58.62%
Epoch: 071 | Train Loss 2.26 | Train Accuracy = 71.25% | Valid Loss 3.52 | Valid Accuracy = 57.76%
Epoch: 072 | Train Loss 2.18 | Train Accuracy = 72.19% | Valid Loss 3.53 | Valid Accuracy = 54.31%
Epoch: 073 | Train Loss 2.27 | Train Accuracy = 72.19% | Valid Loss 3.55 | Valid Accuracy = 52.59%
Epoch: 074 | Train Loss 2.34 | Train Accuracy = 74.38% | Valid Loss 3.55 | Valid Accuracy = 55.17%
Epoch: 075 | Train Loss 2.33 | Train Accuracy = 72.19% | Valid Loss 3.53 | Valid Accuracy = 56.03%
Epoch: 076 | Train Loss 2.28 | Train Accuracy = 74.06% | Valid Loss 3.52 | Valid Accuracy = 56.03%
Epoch: 077 | Train Loss 2.29 | Train Accuracy = 71.88% | Valid Loss 3.53 | Valid Accuracy = 55.17%
Epoch: 078 | Train Loss 2.23 | Train Accuracy = 74.06% | Valid Loss 3.53 | Valid Accuracy = 56.03%
Epoch: 079 | Train Loss 2.26 | Train Accuracy = 75.00% | Valid Loss 3.53 | Valid Accuracy = 56.90%
Epoch: 080 | Train Loss 2.19 | Train Accuracy = 75.94% | Valid Loss 3.53 | Valid Accuracy = 56.90%
Epoch: 081 | Train Loss 2.25 | Train Accuracy = 74.38% | Valid Loss 3.53 | Valid Accuracy = 56.03%
Epoch: 082 | Train Loss 2.34 | Train Accuracy = 68.75% | Valid Loss 3.52 | Valid Accuracy = 56.03%
Epoch: 083 | Train Loss 2.29 | Train Accuracy = 74.69% | Valid Loss 3.52 | Valid Accuracy = 55.17%
Epoch: 084 | Train Loss 2.34 | Train Accuracy = 73.44% | Valid Loss 3.52 | Valid Accuracy = 56.03%
Epoch: 085 | Train Loss 2.20 | Train Accuracy = 75.31% | Valid Loss 3.52 | Valid Accuracy = 55.17%
Epoch: 086 | Train Loss 2.34 | Train Accuracy = 71.25% | Valid Loss 3.52 | Valid Accuracy = 55.17%
Epoch: 087 | Train Loss 2.31 | Train Accuracy = 72.50% | Valid Loss 3.52 | Valid Accuracy = 55.17%
Epoch: 088 | Train Loss 2.20 | Train Accuracy = 75.00% | Valid Loss 3.52 | Valid Accuracy = 55.17%
Epoch: 089 | Train Loss 2.29 | Train Accuracy = 73.75% | Valid Loss 3.52 | Valid Accuracy = 55.17%
Epoch: 090 | Train Loss 2.31 | Train Accuracy = 74.69% | Valid Loss 3.52 | Valid Accuracy = 55.17%
Epoch: 091 | Train Loss 2.31 | Train Accuracy = 72.50% | Valid Loss 3.52 | Valid Accuracy = 55.17%
Epoch: 092 | Train Loss 2.24 | Train Accuracy = 73.75% | Valid Loss 3.53 | Valid Accuracy = 55.17%
Epoch: 093 | Train Loss 2.31 | Train Accuracy = 73.12% | Valid Loss 3.53 | Valid Accuracy = 55.17%
Epoch: 094 | Train Loss 2.23 | Train Accuracy = 76.88% | Valid Loss 3.54 | Valid Accuracy = 55.17%
Epoch: 095 | Train Loss 2.14 | Train Accuracy = 75.31% | Valid Loss 3.54 | Valid Accuracy = 55.17%
Epoch: 096 | Train Loss 2.36 | Train Accuracy = 72.19% | Valid Loss 3.54 | Valid Accuracy = 55.17%
Epoch: 097 | Train Loss 2.35 | Train Accuracy = 71.25% | Valid Loss 3.55 | Valid Accuracy = 55.17%
Epoch: 098 | Train Loss 2.32 | Train Accuracy = 73.75% | Valid Loss 3.55 | Valid Accuracy = 55.17%
Epoch: 099 | Train Loss 2.27 | Train Accuracy = 73.75% | Valid Loss 3.55 | Valid Accuracy = 55.17%
Epoch: 100 | Train Loss 2.31 | Train Accuracy = 70.00% | Valid Loss 3.56 | Valid Accuracy = 55.17%
Epoch: 101 | Train Loss 2.29 | Train Accuracy = 73.44% | Valid Loss 3.56 | Valid Accuracy = 55.17%
Epoch: 102 | Train Loss 2.38 | Train Accuracy = 71.56% | Valid Loss 3.55 | Valid Accuracy = 55.17%
Epoch: 103 | Train Loss 2.23 | Train Accuracy = 75.94% | Valid Loss 3.55 | Valid Accuracy = 54.31%
Epoch: 104 | Train Loss 2.25 | Train Accuracy = 72.50% | Valid Loss 3.55 | Valid Accuracy = 54.31%
Epoch: 105 | Train Loss 2.21 | Train Accuracy = 75.00% | Valid Loss 3.55 | Valid Accuracy = 54.31%
Epoch: 106 | Train Loss 2.24 | Train Accuracy = 76.56% | Valid Loss 3.55 | Valid Accuracy = 54.31%
