Epoch: 001 | Train Loss 2.05 | Train Accuracy = 47.19% | Valid Loss 2.76 | Valid Accuracy = 31.03%
Epoch: 002 | Train Loss 2.07 | Train Accuracy = 46.56% | Valid Loss 2.47 | Valid Accuracy = 38.79%
Epoch: 003 | Train Loss 1.94 | Train Accuracy = 48.12% | Valid Loss 2.71 | Valid Accuracy = 39.66%
Epoch: 004 | Train Loss 1.89 | Train Accuracy = 48.44% | Valid Loss 2.75 | Valid Accuracy = 40.52%
Epoch: 005 | Train Loss 1.85 | Train Accuracy = 50.62% | Valid Loss 2.35 | Valid Accuracy = 45.69%
Epoch: 006 | Train Loss 1.81 | Train Accuracy = 55.00% | Valid Loss 2.43 | Valid Accuracy = 42.24%
Epoch: 007 | Train Loss 1.78 | Train Accuracy = 51.88% | Valid Loss 2.24 | Valid Accuracy = 46.55%
Epoch: 008 | Train Loss 1.87 | Train Accuracy = 48.44% | Valid Loss 2.01 | Valid Accuracy = 45.69%
Epoch: 009 | Train Loss 1.74 | Train Accuracy = 53.44% | Valid Loss 2.20 | Valid Accuracy = 41.38%
Epoch: 010 | Train Loss 1.71 | Train Accuracy = 53.12% | Valid Loss 2.24 | Valid Accuracy = 46.55%
Epoch: 011 | Train Loss 1.65 | Train Accuracy = 55.31% | Valid Loss 2.47 | Valid Accuracy = 38.79%
Epoch: 012 | Train Loss 1.62 | Train Accuracy = 55.62% | Valid Loss 2.22 | Valid Accuracy = 47.41%
Epoch: 013 | Train Loss 1.68 | Train Accuracy = 52.81% | Valid Loss 2.02 | Valid Accuracy = 53.45%
Epoch: 014 | Train Loss 1.54 | Train Accuracy = 57.50% | Valid Loss 1.89 | Valid Accuracy = 50.86%
Epoch: 015 | Train Loss 1.71 | Train Accuracy = 53.44% | Valid Loss 2.10 | Valid Accuracy = 47.41%
Epoch: 016 | Train Loss 1.57 | Train Accuracy = 59.38% | Valid Loss 2.41 | Valid Accuracy = 37.07%
Epoch: 017 | Train Loss 1.66 | Train Accuracy = 55.31% | Valid Loss 2.02 | Valid Accuracy = 52.59%
Epoch: 018 | Train Loss 1.59 | Train Accuracy = 54.69% | Valid Loss 2.16 | Valid Accuracy = 48.28%
Epoch: 019 | Train Loss 1.68 | Train Accuracy = 54.37% | Valid Loss 2.69 | Valid Accuracy = 42.24%
