Epoch: 001 | Train Loss 3.40 | Train Accuracy = 40.00% | Valid Loss 4.42 | Valid Accuracy = 38.79%
Epoch: 002 | Train Loss 3.39 | Train Accuracy = 41.56% | Valid Loss 4.24 | Valid Accuracy = 40.52%
Epoch: 003 | Train Loss 3.17 | Train Accuracy = 47.19% | Valid Loss 4.07 | Valid Accuracy = 43.97%
Epoch: 004 | Train Loss 3.20 | Train Accuracy = 48.75% | Valid Loss 3.91 | Valid Accuracy = 44.83%
Epoch: 005 | Train Loss 2.85 | Train Accuracy = 52.81% | Valid Loss 3.79 | Valid Accuracy = 49.14%
Epoch: 006 | Train Loss 2.96 | Train Accuracy = 49.69% | Valid Loss 3.71 | Valid Accuracy = 50.86%
Epoch: 007 | Train Loss 2.99 | Train Accuracy = 53.12% | Valid Loss 3.81 | Valid Accuracy = 46.55%
Epoch: 008 | Train Loss 3.02 | Train Accuracy = 55.00% | Valid Loss 3.65 | Valid Accuracy = 47.41%
Epoch: 009 | Train Loss 2.84 | Train Accuracy = 58.75% | Valid Loss 3.71 | Valid Accuracy = 48.28%
Epoch: 010 | Train Loss 2.96 | Train Accuracy = 56.25% | Valid Loss 3.66 | Valid Accuracy = 51.72%
Epoch: 011 | Train Loss 2.83 | Train Accuracy = 60.31% | Valid Loss 3.80 | Valid Accuracy = 49.14%
Epoch: 012 | Train Loss 3.02 | Train Accuracy = 55.00% | Valid Loss 3.92 | Valid Accuracy = 49.14%
Epoch: 013 | Train Loss 2.97 | Train Accuracy = 56.25% | Valid Loss 3.79 | Valid Accuracy = 47.41%
Epoch: 014 | Train Loss 2.91 | Train Accuracy = 57.50% | Valid Loss 3.89 | Valid Accuracy = 48.28%
Epoch: 015 | Train Loss 2.92 | Train Accuracy = 55.00% | Valid Loss 3.91 | Valid Accuracy = 43.10%
Epoch: 016 | Train Loss 2.75 | Train Accuracy = 59.69% | Valid Loss 3.80 | Valid Accuracy = 49.14%
Epoch: 017 | Train Loss 2.66 | Train Accuracy = 66.25% | Valid Loss 3.80 | Valid Accuracy = 50.00%
Epoch: 018 | Train Loss 2.87 | Train Accuracy = 60.31% | Valid Loss 3.81 | Valid Accuracy = 48.28%
Epoch: 019 | Train Loss 2.91 | Train Accuracy = 58.75% | Valid Loss 3.81 | Valid Accuracy = 47.41%
Epoch: 020 | Train Loss 3.00 | Train Accuracy = 53.44% | Valid Loss 3.59 | Valid Accuracy = 50.00%
Epoch: 021 | Train Loss 2.93 | Train Accuracy = 56.25% | Valid Loss 3.71 | Valid Accuracy = 54.31%
Epoch: 022 | Train Loss 2.77 | Train Accuracy = 60.00% | Valid Loss 3.61 | Valid Accuracy = 49.14%
Epoch: 023 | Train Loss 2.87 | Train Accuracy = 56.25% | Valid Loss 3.62 | Valid Accuracy = 48.28%
Epoch: 024 | Train Loss 2.76 | Train Accuracy = 60.00% | Valid Loss 3.64 | Valid Accuracy = 49.14%
Epoch: 025 | Train Loss 2.68 | Train Accuracy = 64.38% | Valid Loss 3.21 | Valid Accuracy = 56.03%
Epoch: 026 | Train Loss 2.61 | Train Accuracy = 60.94% | Valid Loss 3.21 | Valid Accuracy = 54.31%
Epoch: 027 | Train Loss 2.65 | Train Accuracy = 66.88% | Valid Loss 3.23 | Valid Accuracy = 52.59%
Epoch: 028 | Train Loss 2.54 | Train Accuracy = 72.81% | Valid Loss 3.21 | Valid Accuracy = 52.59%
Epoch: 029 | Train Loss 2.69 | Train Accuracy = 62.50% | Valid Loss 3.19 | Valid Accuracy = 53.45%
Epoch: 030 | Train Loss 2.58 | Train Accuracy = 67.19% | Valid Loss 3.18 | Valid Accuracy = 57.76%
Epoch: 031 | Train Loss 2.40 | Train Accuracy = 69.69% | Valid Loss 3.16 | Valid Accuracy = 57.76%
Epoch: 032 | Train Loss 2.43 | Train Accuracy = 69.06% | Valid Loss 3.14 | Valid Accuracy = 58.62%
Epoch: 033 | Train Loss 2.36 | Train Accuracy = 70.62% | Valid Loss 3.18 | Valid Accuracy = 58.62%
Epoch: 034 | Train Loss 2.33 | Train Accuracy = 71.25% | Valid Loss 3.20 | Valid Accuracy = 57.76%
Epoch: 035 | Train Loss 2.37 | Train Accuracy = 73.44% | Valid Loss 3.18 | Valid Accuracy = 56.03%
Epoch: 036 | Train Loss 2.57 | Train Accuracy = 62.81% | Valid Loss 3.21 | Valid Accuracy = 56.90%
Epoch: 037 | Train Loss 2.39 | Train Accuracy = 70.94% | Valid Loss 3.21 | Valid Accuracy = 60.34%
Epoch: 038 | Train Loss 2.41 | Train Accuracy = 70.31% | Valid Loss 3.21 | Valid Accuracy = 60.34%
Epoch: 039 | Train Loss 2.45 | Train Accuracy = 68.75% | Valid Loss 3.23 | Valid Accuracy = 60.34%
Epoch: 040 | Train Loss 2.42 | Train Accuracy = 71.56% | Valid Loss 3.24 | Valid Accuracy = 58.62%
Epoch: 041 | Train Loss 2.43 | Train Accuracy = 69.38% | Valid Loss 3.23 | Valid Accuracy = 55.17%
Epoch: 042 | Train Loss 2.48 | Train Accuracy = 68.75% | Valid Loss 3.23 | Valid Accuracy = 56.90%
Epoch: 043 | Train Loss 2.33 | Train Accuracy = 70.00% | Valid Loss 3.21 | Valid Accuracy = 54.31%
Epoch: 044 | Train Loss 2.47 | Train Accuracy = 66.88% | Valid Loss 3.23 | Valid Accuracy = 56.03%
Epoch: 045 | Train Loss 2.45 | Train Accuracy = 73.12% | Valid Loss 3.28 | Valid Accuracy = 55.17%
Epoch: 046 | Train Loss 2.51 | Train Accuracy = 69.06% | Valid Loss 3.34 | Valid Accuracy = 56.03%
Epoch: 047 | Train Loss 2.48 | Train Accuracy = 67.81% | Valid Loss 3.36 | Valid Accuracy = 55.17%
Epoch: 048 | Train Loss 2.35 | Train Accuracy = 73.12% | Valid Loss 3.27 | Valid Accuracy = 54.31%
Epoch: 049 | Train Loss 2.45 | Train Accuracy = 67.50% | Valid Loss 3.27 | Valid Accuracy = 54.31%
Epoch: 050 | Train Loss 2.45 | Train Accuracy = 66.25% | Valid Loss 3.29 | Valid Accuracy = 54.31%
Epoch: 051 | Train Loss 2.40 | Train Accuracy = 69.38% | Valid Loss 3.25 | Valid Accuracy = 57.76%
Epoch: 052 | Train Loss 2.25 | Train Accuracy = 75.62% | Valid Loss 3.27 | Valid Accuracy = 59.48%
Epoch: 053 | Train Loss 2.43 | Train Accuracy = 71.88% | Valid Loss 3.28 | Valid Accuracy = 57.76%
Epoch: 054 | Train Loss 2.48 | Train Accuracy = 68.12% | Valid Loss 3.30 | Valid Accuracy = 55.17%
Epoch: 055 | Train Loss 2.44 | Train Accuracy = 66.88% | Valid Loss 3.32 | Valid Accuracy = 55.17%
Epoch: 056 | Train Loss 2.34 | Train Accuracy = 70.00% | Valid Loss 3.34 | Valid Accuracy = 53.45%
Epoch: 057 | Train Loss 2.33 | Train Accuracy = 73.12% | Valid Loss 3.33 | Valid Accuracy = 50.00%
Epoch: 058 | Train Loss 2.24 | Train Accuracy = 73.12% | Valid Loss 3.33 | Valid Accuracy = 54.31%
Epoch: 059 | Train Loss 2.34 | Train Accuracy = 70.00% | Valid Loss 3.33 | Valid Accuracy = 54.31%
Epoch: 060 | Train Loss 2.33 | Train Accuracy = 74.69% | Valid Loss 3.33 | Valid Accuracy = 54.31%
Epoch: 061 | Train Loss 2.30 | Train Accuracy = 76.25% | Valid Loss 3.33 | Valid Accuracy = 56.90%
Epoch: 062 | Train Loss 2.48 | Train Accuracy = 72.19% | Valid Loss 3.31 | Valid Accuracy = 56.03%
Epoch: 063 | Train Loss 2.32 | Train Accuracy = 74.38% | Valid Loss 3.22 | Valid Accuracy = 58.62%
Epoch: 064 | Train Loss 2.32 | Train Accuracy = 72.19% | Valid Loss 3.21 | Valid Accuracy = 60.34%
Epoch: 065 | Train Loss 2.39 | Train Accuracy = 68.75% | Valid Loss 3.22 | Valid Accuracy = 57.76%
Epoch: 066 | Train Loss 2.38 | Train Accuracy = 67.50% | Valid Loss 3.26 | Valid Accuracy = 57.76%
Epoch: 067 | Train Loss 2.35 | Train Accuracy = 70.62% | Valid Loss 3.26 | Valid Accuracy = 56.90%
Epoch: 068 | Train Loss 2.28 | Train Accuracy = 73.12% | Valid Loss 3.23 | Valid Accuracy = 56.90%
Epoch: 069 | Train Loss 2.37 | Train Accuracy = 70.00% | Valid Loss 3.22 | Valid Accuracy = 57.76%
Epoch: 070 | Train Loss 2.29 | Train Accuracy = 71.88% | Valid Loss 3.25 | Valid Accuracy = 57.76%
Epoch: 071 | Train Loss 2.34 | Train Accuracy = 63.75% | Valid Loss 3.28 | Valid Accuracy = 56.90%
Epoch: 072 | Train Loss 2.13 | Train Accuracy = 79.69% | Valid Loss 3.24 | Valid Accuracy = 55.17%
Epoch: 073 | Train Loss 2.34 | Train Accuracy = 69.38% | Valid Loss 3.23 | Valid Accuracy = 56.90%
Epoch: 074 | Train Loss 2.30 | Train Accuracy = 73.44% | Valid Loss 3.30 | Valid Accuracy = 56.03%
Epoch: 075 | Train Loss 2.30 | Train Accuracy = 73.12% | Valid Loss 3.31 | Valid Accuracy = 51.72%
Epoch: 076 | Train Loss 2.25 | Train Accuracy = 76.56% | Valid Loss 3.30 | Valid Accuracy = 51.72%
Epoch: 077 | Train Loss 2.22 | Train Accuracy = 77.50% | Valid Loss 3.29 | Valid Accuracy = 52.59%
Epoch: 078 | Train Loss 2.29 | Train Accuracy = 75.94% | Valid Loss 3.27 | Valid Accuracy = 56.03%
Epoch: 079 | Train Loss 2.32 | Train Accuracy = 71.88% | Valid Loss 3.25 | Valid Accuracy = 55.17%
Epoch: 080 | Train Loss 2.36 | Train Accuracy = 72.19% | Valid Loss 3.25 | Valid Accuracy = 56.03%
Epoch: 081 | Train Loss 2.38 | Train Accuracy = 72.19% | Valid Loss 3.25 | Valid Accuracy = 56.03%
Epoch: 082 | Train Loss 2.31 | Train Accuracy = 73.75% | Valid Loss 3.25 | Valid Accuracy = 56.03%
Epoch: 083 | Train Loss 2.33 | Train Accuracy = 68.75% | Valid Loss 3.26 | Valid Accuracy = 56.03%
Epoch: 084 | Train Loss 2.24 | Train Accuracy = 75.94% | Valid Loss 3.27 | Valid Accuracy = 55.17%
Epoch: 085 | Train Loss 2.33 | Train Accuracy = 71.88% | Valid Loss 3.27 | Valid Accuracy = 55.17%
Epoch: 086 | Train Loss 2.31 | Train Accuracy = 73.12% | Valid Loss 3.27 | Valid Accuracy = 55.17%
Epoch: 087 | Train Loss 2.26 | Train Accuracy = 75.00% | Valid Loss 3.27 | Valid Accuracy = 54.31%
Epoch: 088 | Train Loss 2.35 | Train Accuracy = 73.75% | Valid Loss 3.26 | Valid Accuracy = 54.31%
Epoch: 089 | Train Loss 2.30 | Train Accuracy = 72.81% | Valid Loss 3.26 | Valid Accuracy = 55.17%
Epoch: 090 | Train Loss 2.24 | Train Accuracy = 74.38% | Valid Loss 3.28 | Valid Accuracy = 54.31%
Epoch: 091 | Train Loss 2.34 | Train Accuracy = 70.94% | Valid Loss 3.28 | Valid Accuracy = 54.31%
Epoch: 092 | Train Loss 2.36 | Train Accuracy = 71.88% | Valid Loss 3.27 | Valid Accuracy = 53.45%
Epoch: 093 | Train Loss 2.27 | Train Accuracy = 70.62% | Valid Loss 3.28 | Valid Accuracy = 53.45%
Epoch: 094 | Train Loss 2.28 | Train Accuracy = 74.06% | Valid Loss 3.28 | Valid Accuracy = 53.45%
Epoch: 095 | Train Loss 2.28 | Train Accuracy = 77.19% | Valid Loss 3.27 | Valid Accuracy = 53.45%
Epoch: 096 | Train Loss 2.32 | Train Accuracy = 74.06% | Valid Loss 3.27 | Valid Accuracy = 53.45%
Epoch: 097 | Train Loss 2.20 | Train Accuracy = 75.31% | Valid Loss 3.27 | Valid Accuracy = 53.45%
Epoch: 098 | Train Loss 2.25 | Train Accuracy = 73.12% | Valid Loss 3.27 | Valid Accuracy = 53.45%
Epoch: 099 | Train Loss 2.24 | Train Accuracy = 72.81% | Valid Loss 3.28 | Valid Accuracy = 54.31%
Epoch: 100 | Train Loss 2.30 | Train Accuracy = 72.81% | Valid Loss 3.28 | Valid Accuracy = 55.17%
Epoch: 101 | Train Loss 2.20 | Train Accuracy = 76.88% | Valid Loss 3.28 | Valid Accuracy = 55.17%
Epoch: 102 | Train Loss 2.32 | Train Accuracy = 75.31% | Valid Loss 3.27 | Valid Accuracy = 56.03%
Epoch: 103 | Train Loss 2.33 | Train Accuracy = 74.38% | Valid Loss 3.27 | Valid Accuracy = 55.17%
Epoch: 104 | Train Loss 2.42 | Train Accuracy = 66.56% | Valid Loss 3.27 | Valid Accuracy = 55.17%
Epoch: 105 | Train Loss 2.31 | Train Accuracy = 70.94% | Valid Loss 3.27 | Valid Accuracy = 54.31%
Epoch: 106 | Train Loss 2.30 | Train Accuracy = 75.00% | Valid Loss 3.28 | Valid Accuracy = 56.03%
Epoch: 107 | Train Loss 2.31 | Train Accuracy = 72.19% | Valid Loss 3.28 | Valid Accuracy = 56.03%
Epoch: 108 | Train Loss 2.25 | Train Accuracy = 75.31% | Valid Loss 3.28 | Valid Accuracy = 55.17%
Epoch: 109 | Train Loss 2.34 | Train Accuracy = 72.81% | Valid Loss 3.28 | Valid Accuracy = 55.17%
Epoch: 110 | Train Loss 2.29 | Train Accuracy = 75.00% | Valid Loss 3.28 | Valid Accuracy = 56.90%
Epoch: 111 | Train Loss 2.37 | Train Accuracy = 72.81% | Valid Loss 3.27 | Valid Accuracy = 55.17%
Epoch: 112 | Train Loss 2.27 | Train Accuracy = 75.00% | Valid Loss 3.27 | Valid Accuracy = 55.17%
Epoch: 113 | Train Loss 2.38 | Train Accuracy = 70.62% | Valid Loss 3.27 | Valid Accuracy = 55.17%
Epoch: 114 | Train Loss 2.38 | Train Accuracy = 73.12% | Valid Loss 3.26 | Valid Accuracy = 56.03%
Epoch: 115 | Train Loss 2.22 | Train Accuracy = 76.25% | Valid Loss 3.27 | Valid Accuracy = 56.90%
Epoch: 116 | Train Loss 2.18 | Train Accuracy = 72.19% | Valid Loss 3.27 | Valid Accuracy = 56.03%
Epoch: 117 | Train Loss 2.39 | Train Accuracy = 71.88% | Valid Loss 3.27 | Valid Accuracy = 55.17%
Epoch: 118 | Train Loss 2.23 | Train Accuracy = 76.56% | Valid Loss 3.26 | Valid Accuracy = 54.31%
Epoch: 119 | Train Loss 2.26 | Train Accuracy = 72.19% | Valid Loss 3.27 | Valid Accuracy = 54.31%
Epoch: 120 | Train Loss 2.21 | Train Accuracy = 75.62% | Valid Loss 3.27 | Valid Accuracy = 56.03%
Epoch: 121 | Train Loss 2.22 | Train Accuracy = 73.75% | Valid Loss 3.28 | Valid Accuracy = 56.03%
Epoch: 122 | Train Loss 2.30 | Train Accuracy = 74.69% | Valid Loss 3.28 | Valid Accuracy = 55.17%
Epoch: 123 | Train Loss 2.35 | Train Accuracy = 69.69% | Valid Loss 3.28 | Valid Accuracy = 55.17%
Epoch: 124 | Train Loss 2.26 | Train Accuracy = 75.94% | Valid Loss 3.28 | Valid Accuracy = 55.17%
Epoch: 125 | Train Loss 2.18 | Train Accuracy = 75.62% | Valid Loss 3.28 | Valid Accuracy = 56.03%
Epoch: 126 | Train Loss 2.29 | Train Accuracy = 76.56% | Valid Loss 3.28 | Valid Accuracy = 55.17%
