Epoch: 001 | Train Loss 2.51 | Train Accuracy = 45.31% | Valid Loss 2.59 | Valid Accuracy = 46.55%
Epoch: 002 | Train Loss 2.52 | Train Accuracy = 46.25% | Valid Loss 2.55 | Valid Accuracy = 46.55%
Epoch: 003 | Train Loss 2.45 | Train Accuracy = 54.06% | Valid Loss 2.75 | Valid Accuracy = 43.97%
Epoch: 004 | Train Loss 2.55 | Train Accuracy = 50.94% | Valid Loss 2.65 | Valid Accuracy = 41.38%
Epoch: 005 | Train Loss 2.48 | Train Accuracy = 50.62% | Valid Loss 2.58 | Valid Accuracy = 43.10%
Epoch: 006 | Train Loss 2.38 | Train Accuracy = 54.37% | Valid Loss 2.59 | Valid Accuracy = 47.41%
Epoch: 007 | Train Loss 2.47 | Train Accuracy = 50.94% | Valid Loss 2.53 | Valid Accuracy = 48.28%
Epoch: 008 | Train Loss 2.35 | Train Accuracy = 48.12% | Valid Loss 2.29 | Valid Accuracy = 53.45%
Epoch: 009 | Train Loss 2.18 | Train Accuracy = 56.88% | Valid Loss 2.56 | Valid Accuracy = 44.83%
Epoch: 010 | Train Loss 2.19 | Train Accuracy = 55.94% | Valid Loss 2.39 | Valid Accuracy = 48.28%
Epoch: 011 | Train Loss 2.31 | Train Accuracy = 55.00% | Valid Loss 2.21 | Valid Accuracy = 54.31%
Epoch: 012 | Train Loss 2.23 | Train Accuracy = 54.69% | Valid Loss 2.69 | Valid Accuracy = 47.41%
Epoch: 013 | Train Loss 2.19 | Train Accuracy = 57.50% | Valid Loss 2.31 | Valid Accuracy = 53.45%
Epoch: 014 | Train Loss 2.27 | Train Accuracy = 55.31% | Valid Loss 2.26 | Valid Accuracy = 58.62%
Epoch: 015 | Train Loss 2.11 | Train Accuracy = 58.44% | Valid Loss 2.53 | Valid Accuracy = 48.28%
Epoch: 016 | Train Loss 2.27 | Train Accuracy = 53.44% | Valid Loss 2.36 | Valid Accuracy = 54.31%
Epoch: 017 | Train Loss 2.12 | Train Accuracy = 59.06% | Valid Loss 2.61 | Valid Accuracy = 49.14%
Epoch: 018 | Train Loss 2.17 | Train Accuracy = 59.69% | Valid Loss 2.36 | Valid Accuracy = 51.72%
Epoch: 019 | Train Loss 2.04 | Train Accuracy = 59.69% | Valid Loss 2.37 | Valid Accuracy = 50.00%
Epoch: 020 | Train Loss 2.29 | Train Accuracy = 59.69% | Valid Loss 2.22 | Valid Accuracy = 53.45%
Epoch: 021 | Train Loss 2.13 | Train Accuracy = 60.31% | Valid Loss 2.43 | Valid Accuracy = 52.59%
