Epoch: 001 | Train Loss 3.27 | Train Accuracy = 20.31% | Valid Loss 3.08 | Valid Accuracy = 17.24%
Epoch: 002 | Train Loss 2.53 | Train Accuracy = 31.56% | Valid Loss 2.55 | Valid Accuracy = 25.00%
Epoch: 003 | Train Loss 2.48 | Train Accuracy = 30.94% | Valid Loss 2.46 | Valid Accuracy = 32.76%
Epoch: 004 | Train Loss 2.23 | Train Accuracy = 34.06% | Valid Loss 2.28 | Valid Accuracy = 37.93%
Epoch: 005 | Train Loss 2.23 | Train Accuracy = 34.69% | Valid Loss 2.22 | Valid Accuracy = 41.38%
Epoch: 006 | Train Loss 2.22 | Train Accuracy = 35.94% | Valid Loss 2.28 | Valid Accuracy = 40.52%
Epoch: 007 | Train Loss 2.05 | Train Accuracy = 41.88% | Valid Loss 2.24 | Valid Accuracy = 42.24%
Epoch: 008 | Train Loss 2.14 | Train Accuracy = 34.06% | Valid Loss 2.24 | Valid Accuracy = 39.66%
Epoch: 009 | Train Loss 2.10 | Train Accuracy = 34.69% | Valid Loss 2.39 | Valid Accuracy = 32.76%
Epoch: 010 | Train Loss 2.07 | Train Accuracy = 40.62% | Valid Loss 2.19 | Valid Accuracy = 42.24%
Epoch: 011 | Train Loss 2.09 | Train Accuracy = 37.81% | Valid Loss 2.31 | Valid Accuracy = 38.79%
Epoch: 012 | Train Loss 2.02 | Train Accuracy = 39.38% | Valid Loss 2.17 | Valid Accuracy = 43.10%
Epoch: 013 | Train Loss 1.97 | Train Accuracy = 43.44% | Valid Loss 2.11 | Valid Accuracy = 40.52%
Epoch: 014 | Train Loss 1.91 | Train Accuracy = 44.06% | Valid Loss 2.08 | Valid Accuracy = 38.79%
Epoch: 015 | Train Loss 1.94 | Train Accuracy = 39.38% | Valid Loss 2.10 | Valid Accuracy = 41.38%
Epoch: 016 | Train Loss 1.92 | Train Accuracy = 44.06% | Valid Loss 2.25 | Valid Accuracy = 37.07%
Epoch: 017 | Train Loss 1.86 | Train Accuracy = 46.56% | Valid Loss 2.24 | Valid Accuracy = 36.21%
