Epoch: 001 | Train Loss 4.09 | Train Accuracy = 04.69% | Valid Loss 3.98 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.05 | Train Accuracy = 06.56% | Valid Loss 3.92 | Valid Accuracy = 06.90%
Epoch: 003 | Train Loss 3.95 | Train Accuracy = 06.88% | Valid Loss 3.87 | Valid Accuracy = 05.17%
Epoch: 004 | Train Loss 3.95 | Train Accuracy = 08.75% | Valid Loss 3.91 | Valid Accuracy = 08.62%
Epoch: 005 | Train Loss 3.80 | Train Accuracy = 06.88% | Valid Loss 3.76 | Valid Accuracy = 10.34%
Epoch: 006 | Train Loss 3.71 | Train Accuracy = 08.44% | Valid Loss 3.67 | Valid Accuracy = 09.48%
Epoch: 007 | Train Loss 3.63 | Train Accuracy = 10.00% | Valid Loss 3.45 | Valid Accuracy = 11.21%
Epoch: 008 | Train Loss 3.58 | Train Accuracy = 13.12% | Valid Loss 3.52 | Valid Accuracy = 13.79%
Epoch: 009 | Train Loss 3.53 | Train Accuracy = 11.88% | Valid Loss 3.41 | Valid Accuracy = 15.52%
Epoch: 010 | Train Loss 3.49 | Train Accuracy = 13.12% | Valid Loss 3.38 | Valid Accuracy = 10.34%
Epoch: 011 | Train Loss 3.35 | Train Accuracy = 13.75% | Valid Loss 3.27 | Valid Accuracy = 15.52%
Epoch: 012 | Train Loss 3.29 | Train Accuracy = 15.31% | Valid Loss 3.46 | Valid Accuracy = 11.21%
Epoch: 013 | Train Loss 3.26 | Train Accuracy = 13.12% | Valid Loss 3.09 | Valid Accuracy = 18.10%
Epoch: 014 | Train Loss 3.20 | Train Accuracy = 18.75% | Valid Loss 3.13 | Valid Accuracy = 19.83%
Epoch: 015 | Train Loss 3.11 | Train Accuracy = 16.25% | Valid Loss 3.06 | Valid Accuracy = 18.97%
Epoch: 016 | Train Loss 3.20 | Train Accuracy = 16.25% | Valid Loss 3.01 | Valid Accuracy = 18.97%
Epoch: 017 | Train Loss 3.12 | Train Accuracy = 17.19% | Valid Loss 2.90 | Valid Accuracy = 22.41%
Epoch: 018 | Train Loss 3.08 | Train Accuracy = 17.50% | Valid Loss 2.91 | Valid Accuracy = 20.69%
Epoch: 019 | Train Loss 2.96 | Train Accuracy = 20.31% | Valid Loss 3.15 | Valid Accuracy = 17.24%
Epoch: 020 | Train Loss 3.00 | Train Accuracy = 19.38% | Valid Loss 2.85 | Valid Accuracy = 26.72%
Epoch: 021 | Train Loss 2.86 | Train Accuracy = 23.44% | Valid Loss 3.01 | Valid Accuracy = 23.28%
Epoch: 022 | Train Loss 2.87 | Train Accuracy = 22.19% | Valid Loss 2.88 | Valid Accuracy = 22.41%
Epoch: 023 | Train Loss 2.88 | Train Accuracy = 24.06% | Valid Loss 2.99 | Valid Accuracy = 19.83%
Epoch: 024 | Train Loss 2.64 | Train Accuracy = 29.06% | Valid Loss 2.92 | Valid Accuracy = 24.14%
Epoch: 025 | Train Loss 2.77 | Train Accuracy = 23.12% | Valid Loss 2.80 | Valid Accuracy = 26.72%
Epoch: 026 | Train Loss 2.65 | Train Accuracy = 25.94% | Valid Loss 2.59 | Valid Accuracy = 29.31%
Epoch: 027 | Train Loss 2.59 | Train Accuracy = 28.12% | Valid Loss 2.74 | Valid Accuracy = 24.14%
Epoch: 028 | Train Loss 2.66 | Train Accuracy = 26.25% | Valid Loss 2.80 | Valid Accuracy = 25.00%
Epoch: 029 | Train Loss 2.62 | Train Accuracy = 28.75% | Valid Loss 2.70 | Valid Accuracy = 29.31%
Epoch: 030 | Train Loss 2.60 | Train Accuracy = 26.56% | Valid Loss 2.69 | Valid Accuracy = 31.03%
Epoch: 031 | Train Loss 2.52 | Train Accuracy = 29.69% | Valid Loss 2.56 | Valid Accuracy = 31.90%
Epoch: 032 | Train Loss 2.42 | Train Accuracy = 31.25% | Valid Loss 2.64 | Valid Accuracy = 29.31%
Epoch: 033 | Train Loss 2.36 | Train Accuracy = 32.81% | Valid Loss 2.50 | Valid Accuracy = 31.03%
Epoch: 034 | Train Loss 2.19 | Train Accuracy = 35.94% | Valid Loss 2.47 | Valid Accuracy = 26.72%
Epoch: 035 | Train Loss 2.46 | Train Accuracy = 32.81% | Valid Loss 2.53 | Valid Accuracy = 33.62%
Epoch: 036 | Train Loss 2.13 | Train Accuracy = 38.75% | Valid Loss 2.44 | Valid Accuracy = 31.03%
Epoch: 037 | Train Loss 2.33 | Train Accuracy = 29.38% | Valid Loss 2.53 | Valid Accuracy = 28.45%
Epoch: 038 | Train Loss 2.39 | Train Accuracy = 34.38% | Valid Loss 2.54 | Valid Accuracy = 30.17%
Epoch: 039 | Train Loss 2.33 | Train Accuracy = 35.94% | Valid Loss 2.50 | Valid Accuracy = 31.90%
Epoch: 040 | Train Loss 2.29 | Train Accuracy = 35.00% | Valid Loss 2.57 | Valid Accuracy = 29.31%
Epoch: 041 | Train Loss 2.16 | Train Accuracy = 37.81% | Valid Loss 2.64 | Valid Accuracy = 30.17%
Epoch: 042 | Train Loss 2.27 | Train Accuracy = 35.62% | Valid Loss 2.52 | Valid Accuracy = 27.59%
