Epoch: 001 | Train Loss 3.79 | Train Accuracy = 15.62% | Valid Loss 2.61 | Valid Accuracy = 32.76%
Epoch: 002 | Train Loss 2.36 | Train Accuracy = 39.38% | Valid Loss 2.19 | Valid Accuracy = 44.83%
Epoch: 003 | Train Loss 1.85 | Train Accuracy = 49.38% | Valid Loss 2.16 | Valid Accuracy = 48.28%
Epoch: 004 | Train Loss 1.77 | Train Accuracy = 46.56% | Valid Loss 2.11 | Valid Accuracy = 44.83%
Epoch: 005 | Train Loss 1.53 | Train Accuracy = 55.62% | Valid Loss 2.23 | Valid Accuracy = 34.48%
Epoch: 006 | Train Loss 1.60 | Train Accuracy = 55.62% | Valid Loss 2.26 | Valid Accuracy = 37.07%
Epoch: 007 | Train Loss 1.55 | Train Accuracy = 54.37% | Valid Loss 1.83 | Valid Accuracy = 45.69%
Epoch: 008 | Train Loss 1.48 | Train Accuracy = 55.31% | Valid Loss 1.78 | Valid Accuracy = 55.17%
Epoch: 009 | Train Loss 1.35 | Train Accuracy = 65.00% | Valid Loss 1.83 | Valid Accuracy = 49.14%
Epoch: 010 | Train Loss 1.37 | Train Accuracy = 59.38% | Valid Loss 2.07 | Valid Accuracy = 43.97%
Epoch: 011 | Train Loss 1.27 | Train Accuracy = 61.25% | Valid Loss 1.94 | Valid Accuracy = 48.28%
Epoch: 012 | Train Loss 1.22 | Train Accuracy = 61.25% | Valid Loss 1.82 | Valid Accuracy = 52.59%
Epoch: 013 | Train Loss 1.24 | Train Accuracy = 66.25% | Valid Loss 1.83 | Valid Accuracy = 53.45%
Epoch: 014 | Train Loss 1.32 | Train Accuracy = 62.81% | Valid Loss 2.33 | Valid Accuracy = 33.62%
Epoch: 015 | Train Loss 1.37 | Train Accuracy = 57.50% | Valid Loss 1.86 | Valid Accuracy = 54.31%
Epoch: 016 | Train Loss 1.31 | Train Accuracy = 62.50% | Valid Loss 1.66 | Valid Accuracy = 53.45%
Epoch: 017 | Train Loss 1.26 | Train Accuracy = 62.19% | Valid Loss 2.07 | Valid Accuracy = 46.55%
Epoch: 018 | Train Loss 1.12 | Train Accuracy = 68.44% | Valid Loss 2.12 | Valid Accuracy = 47.41%
Epoch: 019 | Train Loss 1.39 | Train Accuracy = 59.38% | Valid Loss 2.25 | Valid Accuracy = 48.28%
Epoch: 020 | Train Loss 1.35 | Train Accuracy = 63.44% | Valid Loss 2.06 | Valid Accuracy = 47.41%
Epoch: 021 | Train Loss 1.37 | Train Accuracy = 61.25% | Valid Loss 2.26 | Valid Accuracy = 41.38%
Epoch: 022 | Train Loss 1.34 | Train Accuracy = 59.06% | Valid Loss 1.93 | Valid Accuracy = 54.31%
Epoch: 023 | Train Loss 1.25 | Train Accuracy = 61.25% | Valid Loss 1.71 | Valid Accuracy = 50.86%
Epoch: 024 | Train Loss 1.29 | Train Accuracy = 63.75% | Valid Loss 1.91 | Valid Accuracy = 47.41%
Epoch: 025 | Train Loss 1.11 | Train Accuracy = 67.81% | Valid Loss 1.82 | Valid Accuracy = 52.59%
Epoch: 026 | Train Loss 1.11 | Train Accuracy = 67.19% | Valid Loss 1.63 | Valid Accuracy = 54.31%
Epoch: 027 | Train Loss 1.17 | Train Accuracy = 65.62% | Valid Loss 1.60 | Valid Accuracy = 57.76%
Epoch: 028 | Train Loss 0.94 | Train Accuracy = 73.75% | Valid Loss 1.56 | Valid Accuracy = 57.76%
Epoch: 029 | Train Loss 1.12 | Train Accuracy = 66.88% | Valid Loss 1.63 | Valid Accuracy = 55.17%
Epoch: 030 | Train Loss 1.04 | Train Accuracy = 70.31% | Valid Loss 1.77 | Valid Accuracy = 56.03%
Epoch: 031 | Train Loss 1.13 | Train Accuracy = 67.81% | Valid Loss 1.96 | Valid Accuracy = 50.00%
