Epoch: 001 | Train Loss 4.94 | Train Accuracy = 05.65% | Valid Loss 4.22 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.46 | Train Accuracy = 02.98% | Valid Loss 4.17 | Valid Accuracy = 06.90%
Epoch: 003 | Train Loss 4.40 | Train Accuracy = 03.87% | Valid Loss 4.17 | Valid Accuracy = 03.45%
Epoch: 004 | Train Loss 4.30 | Train Accuracy = 04.46% | Valid Loss 4.07 | Valid Accuracy = 07.76%
Epoch: 005 | Train Loss 4.27 | Train Accuracy = 06.55% | Valid Loss 3.98 | Valid Accuracy = 04.31%
Epoch: 006 | Train Loss 4.24 | Train Accuracy = 04.46% | Valid Loss 4.06 | Valid Accuracy = 06.03%
Epoch: 007 | Train Loss 4.18 | Train Accuracy = 05.65% | Valid Loss 3.99 | Valid Accuracy = 09.48%
Epoch: 008 | Train Loss 4.23 | Train Accuracy = 07.44% | Valid Loss 4.03 | Valid Accuracy = 07.76%
Epoch: 009 | Train Loss 4.28 | Train Accuracy = 07.14% | Valid Loss 3.91 | Valid Accuracy = 06.90%
Epoch: 010 | Train Loss 4.19 | Train Accuracy = 05.36% | Valid Loss 3.89 | Valid Accuracy = 08.62%
Epoch: 011 | Train Loss 4.21 | Train Accuracy = 03.87% | Valid Loss 3.93 | Valid Accuracy = 07.76%
Epoch: 012 | Train Loss 4.12 | Train Accuracy = 07.44% | Valid Loss 3.92 | Valid Accuracy = 04.31%
Epoch: 013 | Train Loss 4.13 | Train Accuracy = 04.76% | Valid Loss 3.90 | Valid Accuracy = 05.17%
Epoch: 014 | Train Loss 4.08 | Train Accuracy = 05.06% | Valid Loss 3.85 | Valid Accuracy = 07.76%
Epoch: 015 | Train Loss 4.01 | Train Accuracy = 05.95% | Valid Loss 3.94 | Valid Accuracy = 07.76%
Epoch: 016 | Train Loss 4.14 | Train Accuracy = 08.63% | Valid Loss 3.89 | Valid Accuracy = 09.48%
Epoch: 017 | Train Loss 4.01 | Train Accuracy = 08.04% | Valid Loss 3.88 | Valid Accuracy = 09.48%
Epoch: 018 | Train Loss 4.06 | Train Accuracy = 08.93% | Valid Loss 3.85 | Valid Accuracy = 09.48%
Epoch: 019 | Train Loss 3.96 | Train Accuracy = 09.52% | Valid Loss 3.80 | Valid Accuracy = 08.62%
Epoch: 020 | Train Loss 3.84 | Train Accuracy = 10.71% | Valid Loss 3.83 | Valid Accuracy = 12.93%
Epoch: 021 | Train Loss 3.93 | Train Accuracy = 11.01% | Valid Loss 3.89 | Valid Accuracy = 12.07%
Epoch: 022 | Train Loss 3.99 | Train Accuracy = 08.63% | Valid Loss 3.91 | Valid Accuracy = 07.76%
Epoch: 023 | Train Loss 4.04 | Train Accuracy = 08.63% | Valid Loss 3.90 | Valid Accuracy = 08.62%
Epoch: 024 | Train Loss 3.97 | Train Accuracy = 08.04% | Valid Loss 3.97 | Valid Accuracy = 07.76%
Epoch: 025 | Train Loss 3.88 | Train Accuracy = 09.82% | Valid Loss 3.85 | Valid Accuracy = 09.48%
Epoch: 026 | Train Loss 3.94 | Train Accuracy = 07.74% | Valid Loss 3.89 | Valid Accuracy = 12.07%
Epoch: 027 | Train Loss 3.84 | Train Accuracy = 09.23% | Valid Loss 3.86 | Valid Accuracy = 07.76%
Epoch: 028 | Train Loss 3.88 | Train Accuracy = 08.33% | Valid Loss 3.89 | Valid Accuracy = 12.07%
Epoch: 029 | Train Loss 3.85 | Train Accuracy = 09.52% | Valid Loss 3.78 | Valid Accuracy = 08.62%
Epoch: 030 | Train Loss 3.79 | Train Accuracy = 10.71% | Valid Loss 3.92 | Valid Accuracy = 10.34%
Epoch: 031 | Train Loss 3.79 | Train Accuracy = 11.61% | Valid Loss 3.81 | Valid Accuracy = 14.66%
Epoch: 032 | Train Loss 3.82 | Train Accuracy = 10.42% | Valid Loss 3.72 | Valid Accuracy = 10.34%
Epoch: 033 | Train Loss 3.77 | Train Accuracy = 10.71% | Valid Loss 3.76 | Valid Accuracy = 09.48%
Epoch: 034 | Train Loss 3.70 | Train Accuracy = 11.61% | Valid Loss 3.80 | Valid Accuracy = 11.21%
Epoch: 035 | Train Loss 3.59 | Train Accuracy = 13.69% | Valid Loss 3.70 | Valid Accuracy = 12.07%
Epoch: 036 | Train Loss 3.73 | Train Accuracy = 12.20% | Valid Loss 3.81 | Valid Accuracy = 12.93%
Epoch: 037 | Train Loss 3.63 | Train Accuracy = 14.88% | Valid Loss 3.68 | Valid Accuracy = 10.34%
Epoch: 038 | Train Loss 3.67 | Train Accuracy = 12.20% | Valid Loss 3.80 | Valid Accuracy = 12.93%
Epoch: 039 | Train Loss 3.54 | Train Accuracy = 17.26% | Valid Loss 3.85 | Valid Accuracy = 10.34%
