Epoch: 001 | Train Loss 4.66 | Train Accuracy = 05.31% | Valid Loss 4.02 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.08 | Train Accuracy = 03.44% | Valid Loss 3.95 | Valid Accuracy = 06.03%
Epoch: 003 | Train Loss 3.97 | Train Accuracy = 05.94% | Valid Loss 3.89 | Valid Accuracy = 07.76%
Epoch: 004 | Train Loss 3.88 | Train Accuracy = 08.44% | Valid Loss 3.88 | Valid Accuracy = 07.76%
Epoch: 005 | Train Loss 3.87 | Train Accuracy = 06.56% | Valid Loss 3.85 | Valid Accuracy = 07.76%
Epoch: 006 | Train Loss 3.85 | Train Accuracy = 08.75% | Valid Loss 3.81 | Valid Accuracy = 07.76%
Epoch: 007 | Train Loss 3.74 | Train Accuracy = 10.00% | Valid Loss 3.78 | Valid Accuracy = 12.93%
Epoch: 008 | Train Loss 3.77 | Train Accuracy = 09.06% | Valid Loss 3.78 | Valid Accuracy = 09.48%
Epoch: 009 | Train Loss 3.77 | Train Accuracy = 07.81% | Valid Loss 3.79 | Valid Accuracy = 09.48%
Epoch: 010 | Train Loss 3.68 | Train Accuracy = 06.56% | Valid Loss 3.70 | Valid Accuracy = 09.48%
Epoch: 011 | Train Loss 3.65 | Train Accuracy = 10.00% | Valid Loss 3.67 | Valid Accuracy = 13.79%
Epoch: 012 | Train Loss 3.59 | Train Accuracy = 10.94% | Valid Loss 3.63 | Valid Accuracy = 09.48%
Epoch: 013 | Train Loss 3.59 | Train Accuracy = 10.94% | Valid Loss 3.65 | Valid Accuracy = 08.62%
Epoch: 014 | Train Loss 3.54 | Train Accuracy = 11.56% | Valid Loss 3.61 | Valid Accuracy = 09.48%
Epoch: 015 | Train Loss 3.52 | Train Accuracy = 11.56% | Valid Loss 3.61 | Valid Accuracy = 11.21%
Epoch: 016 | Train Loss 3.48 | Train Accuracy = 12.50% | Valid Loss 3.65 | Valid Accuracy = 13.79%
Epoch: 017 | Train Loss 3.42 | Train Accuracy = 12.19% | Valid Loss 3.61 | Valid Accuracy = 11.21%
Epoch: 018 | Train Loss 3.43 | Train Accuracy = 12.19% | Valid Loss 3.52 | Valid Accuracy = 13.79%
Epoch: 019 | Train Loss 3.34 | Train Accuracy = 15.94% | Valid Loss 3.51 | Valid Accuracy = 13.79%
