Epoch: 001 | Train Loss 2.78 | Train Accuracy = 28.12% | Valid Loss 2.98 | Valid Accuracy = 17.24%
Epoch: 002 | Train Loss 2.30 | Train Accuracy = 35.00% | Valid Loss 3.01 | Valid Accuracy = 13.79%
Epoch: 003 | Train Loss 2.22 | Train Accuracy = 37.50% | Valid Loss 3.07 | Valid Accuracy = 15.52%
Epoch: 004 | Train Loss 2.27 | Train Accuracy = 35.94% | Valid Loss 2.90 | Valid Accuracy = 18.97%
Epoch: 005 | Train Loss 2.24 | Train Accuracy = 38.75% | Valid Loss 2.92 | Valid Accuracy = 18.10%
Epoch: 006 | Train Loss 2.26 | Train Accuracy = 36.25% | Valid Loss 2.85 | Valid Accuracy = 23.28%
Epoch: 007 | Train Loss 2.09 | Train Accuracy = 40.00% | Valid Loss 2.82 | Valid Accuracy = 19.83%
Epoch: 008 | Train Loss 2.12 | Train Accuracy = 36.88% | Valid Loss 2.93 | Valid Accuracy = 20.69%
Epoch: 009 | Train Loss 2.07 | Train Accuracy = 45.00% | Valid Loss 2.86 | Valid Accuracy = 20.69%
Epoch: 010 | Train Loss 1.99 | Train Accuracy = 44.38% | Valid Loss 2.92 | Valid Accuracy = 18.97%
Epoch: 011 | Train Loss 2.06 | Train Accuracy = 42.81% | Valid Loss 2.83 | Valid Accuracy = 18.10%
Epoch: 012 | Train Loss 1.94 | Train Accuracy = 43.12% | Valid Loss 3.14 | Valid Accuracy = 16.38%
Epoch: 013 | Train Loss 1.97 | Train Accuracy = 43.44% | Valid Loss 2.82 | Valid Accuracy = 25.00%
Epoch: 014 | Train Loss 2.06 | Train Accuracy = 42.50% | Valid Loss 3.07 | Valid Accuracy = 20.69%
Epoch: 015 | Train Loss 2.10 | Train Accuracy = 38.75% | Valid Loss 2.93 | Valid Accuracy = 20.69%
Epoch: 016 | Train Loss 1.99 | Train Accuracy = 44.69% | Valid Loss 3.09 | Valid Accuracy = 17.24%
Epoch: 017 | Train Loss 1.96 | Train Accuracy = 44.38% | Valid Loss 3.10 | Valid Accuracy = 15.52%
Epoch: 018 | Train Loss 1.94 | Train Accuracy = 44.06% | Valid Loss 3.02 | Valid Accuracy = 18.97%
Epoch: 019 | Train Loss 1.86 | Train Accuracy = 47.81% | Valid Loss 2.87 | Valid Accuracy = 21.55%
Epoch: 020 | Train Loss 1.87 | Train Accuracy = 50.94% | Valid Loss 2.79 | Valid Accuracy = 19.83%
Epoch: 021 | Train Loss 1.81 | Train Accuracy = 50.94% | Valid Loss 2.79 | Valid Accuracy = 25.00%
Epoch: 022 | Train Loss 1.77 | Train Accuracy = 51.56% | Valid Loss 2.82 | Valid Accuracy = 18.97%
Epoch: 023 | Train Loss 1.90 | Train Accuracy = 44.06% | Valid Loss 2.87 | Valid Accuracy = 24.14%
Epoch: 024 | Train Loss 1.89 | Train Accuracy = 45.31% | Valid Loss 2.76 | Valid Accuracy = 22.41%
Epoch: 025 | Train Loss 1.82 | Train Accuracy = 49.38% | Valid Loss 2.85 | Valid Accuracy = 15.52%
Epoch: 026 | Train Loss 1.75 | Train Accuracy = 48.44% | Valid Loss 2.98 | Valid Accuracy = 22.41%
Epoch: 027 | Train Loss 1.82 | Train Accuracy = 49.06% | Valid Loss 2.80 | Valid Accuracy = 21.55%
Epoch: 028 | Train Loss 1.81 | Train Accuracy = 51.56% | Valid Loss 2.85 | Valid Accuracy = 20.69%
Epoch: 029 | Train Loss 1.78 | Train Accuracy = 47.50% | Valid Loss 2.91 | Valid Accuracy = 22.41%
Epoch: 030 | Train Loss 1.84 | Train Accuracy = 49.06% | Valid Loss 3.46 | Valid Accuracy = 12.93%
Epoch: 031 | Train Loss 1.75 | Train Accuracy = 52.50% | Valid Loss 2.73 | Valid Accuracy = 24.14%
Epoch: 032 | Train Loss 1.68 | Train Accuracy = 51.25% | Valid Loss 2.99 | Valid Accuracy = 18.10%
Epoch: 033 | Train Loss 1.65 | Train Accuracy = 56.88% | Valid Loss 2.70 | Valid Accuracy = 25.00%
Epoch: 034 | Train Loss 1.56 | Train Accuracy = 55.62% | Valid Loss 2.84 | Valid Accuracy = 20.69%
Epoch: 035 | Train Loss 1.50 | Train Accuracy = 58.44% | Valid Loss 2.77 | Valid Accuracy = 21.55%
Epoch: 036 | Train Loss 1.56 | Train Accuracy = 56.56% | Valid Loss 2.75 | Valid Accuracy = 22.41%
Epoch: 037 | Train Loss 1.55 | Train Accuracy = 56.56% | Valid Loss 2.78 | Valid Accuracy = 21.55%
Epoch: 038 | Train Loss 1.54 | Train Accuracy = 58.75% | Valid Loss 2.75 | Valid Accuracy = 21.55%
Epoch: 039 | Train Loss 1.56 | Train Accuracy = 57.50% | Valid Loss 2.81 | Valid Accuracy = 21.55%
Epoch: 040 | Train Loss 1.48 | Train Accuracy = 60.31% | Valid Loss 2.76 | Valid Accuracy = 24.14%
Epoch: 041 | Train Loss 1.47 | Train Accuracy = 58.44% | Valid Loss 2.75 | Valid Accuracy = 24.14%
Epoch: 042 | Train Loss 1.61 | Train Accuracy = 54.06% | Valid Loss 2.78 | Valid Accuracy = 22.41%
