Epoch: 001 | Train Loss 2.57 | Train Accuracy = 33.44% | Valid Loss 2.99 | Valid Accuracy = 18.10%
Epoch: 002 | Train Loss 2.27 | Train Accuracy = 37.50% | Valid Loss 2.90 | Valid Accuracy = 18.10%
Epoch: 003 | Train Loss 2.26 | Train Accuracy = 37.81% | Valid Loss 2.93 | Valid Accuracy = 20.69%
Epoch: 004 | Train Loss 2.26 | Train Accuracy = 36.88% | Valid Loss 2.91 | Valid Accuracy = 20.69%
Epoch: 005 | Train Loss 2.17 | Train Accuracy = 39.06% | Valid Loss 2.97 | Valid Accuracy = 16.38%
Epoch: 006 | Train Loss 2.15 | Train Accuracy = 40.00% | Valid Loss 2.96 | Valid Accuracy = 18.97%
Epoch: 007 | Train Loss 2.12 | Train Accuracy = 40.31% | Valid Loss 2.91 | Valid Accuracy = 22.41%
Epoch: 008 | Train Loss 2.10 | Train Accuracy = 43.75% | Valid Loss 3.35 | Valid Accuracy = 12.93%
Epoch: 009 | Train Loss 1.98 | Train Accuracy = 46.25% | Valid Loss 3.00 | Valid Accuracy = 17.24%
Epoch: 010 | Train Loss 2.06 | Train Accuracy = 41.56% | Valid Loss 2.93 | Valid Accuracy = 16.38%
Epoch: 011 | Train Loss 1.95 | Train Accuracy = 44.38% | Valid Loss 2.93 | Valid Accuracy = 16.38%
Epoch: 012 | Train Loss 2.01 | Train Accuracy = 43.75% | Valid Loss 2.92 | Valid Accuracy = 20.69%
Epoch: 013 | Train Loss 1.94 | Train Accuracy = 44.69% | Valid Loss 2.95 | Valid Accuracy = 21.55%
Epoch: 014 | Train Loss 2.02 | Train Accuracy = 43.12% | Valid Loss 2.93 | Valid Accuracy = 18.97%
Epoch: 015 | Train Loss 1.95 | Train Accuracy = 43.44% | Valid Loss 2.89 | Valid Accuracy = 18.97%
Epoch: 016 | Train Loss 1.96 | Train Accuracy = 44.38% | Valid Loss 3.11 | Valid Accuracy = 17.24%
Epoch: 017 | Train Loss 1.87 | Train Accuracy = 46.25% | Valid Loss 2.96 | Valid Accuracy = 18.10%
Epoch: 018 | Train Loss 1.80 | Train Accuracy = 51.56% | Valid Loss 3.01 | Valid Accuracy = 14.66%
Epoch: 019 | Train Loss 1.83 | Train Accuracy = 47.19% | Valid Loss 2.98 | Valid Accuracy = 18.97%
Epoch: 020 | Train Loss 1.84 | Train Accuracy = 45.62% | Valid Loss 2.79 | Valid Accuracy = 25.00%
Epoch: 021 | Train Loss 1.85 | Train Accuracy = 48.44% | Valid Loss 2.81 | Valid Accuracy = 25.86%
Epoch: 022 | Train Loss 1.84 | Train Accuracy = 46.88% | Valid Loss 2.88 | Valid Accuracy = 19.83%
Epoch: 023 | Train Loss 1.78 | Train Accuracy = 49.38% | Valid Loss 2.87 | Valid Accuracy = 22.41%
Epoch: 024 | Train Loss 1.83 | Train Accuracy = 50.00% | Valid Loss 3.06 | Valid Accuracy = 16.38%
Epoch: 025 | Train Loss 1.89 | Train Accuracy = 44.69% | Valid Loss 3.08 | Valid Accuracy = 17.24%
Epoch: 026 | Train Loss 1.77 | Train Accuracy = 52.81% | Valid Loss 2.98 | Valid Accuracy = 20.69%
Epoch: 027 | Train Loss 1.80 | Train Accuracy = 49.06% | Valid Loss 3.28 | Valid Accuracy = 16.38%
Epoch: 028 | Train Loss 1.76 | Train Accuracy = 50.00% | Valid Loss 2.89 | Valid Accuracy = 19.83%
Epoch: 029 | Train Loss 1.67 | Train Accuracy = 52.50% | Valid Loss 3.07 | Valid Accuracy = 19.83%
Epoch: 030 | Train Loss 1.69 | Train Accuracy = 53.44% | Valid Loss 2.97 | Valid Accuracy = 21.55%
Epoch: 031 | Train Loss 1.59 | Train Accuracy = 60.31% | Valid Loss 2.80 | Valid Accuracy = 21.55%
Epoch: 032 | Train Loss 1.54 | Train Accuracy = 60.00% | Valid Loss 2.91 | Valid Accuracy = 20.69%
Epoch: 033 | Train Loss 1.58 | Train Accuracy = 54.37% | Valid Loss 2.73 | Valid Accuracy = 25.86%
Epoch: 034 | Train Loss 1.57 | Train Accuracy = 58.13% | Valid Loss 2.91 | Valid Accuracy = 21.55%
Epoch: 035 | Train Loss 1.51 | Train Accuracy = 60.00% | Valid Loss 2.83 | Valid Accuracy = 20.69%
Epoch: 036 | Train Loss 1.53 | Train Accuracy = 60.00% | Valid Loss 2.85 | Valid Accuracy = 23.28%
Epoch: 037 | Train Loss 1.53 | Train Accuracy = 61.88% | Valid Loss 2.76 | Valid Accuracy = 24.14%
Epoch: 038 | Train Loss 1.47 | Train Accuracy = 57.19% | Valid Loss 2.88 | Valid Accuracy = 22.41%
Epoch: 039 | Train Loss 1.44 | Train Accuracy = 60.94% | Valid Loss 2.75 | Valid Accuracy = 25.00%
Epoch: 040 | Train Loss 1.50 | Train Accuracy = 60.31% | Valid Loss 2.81 | Valid Accuracy = 24.14%
Epoch: 041 | Train Loss 1.47 | Train Accuracy = 59.69% | Valid Loss 2.80 | Valid Accuracy = 22.41%
Epoch: 042 | Train Loss 1.47 | Train Accuracy = 60.31% | Valid Loss 2.87 | Valid Accuracy = 24.14%
Epoch: 043 | Train Loss 1.46 | Train Accuracy = 57.50% | Valid Loss 2.85 | Valid Accuracy = 19.83%
Epoch: 044 | Train Loss 1.43 | Train Accuracy = 64.06% | Valid Loss 2.70 | Valid Accuracy = 25.86%
Epoch: 045 | Train Loss 1.41 | Train Accuracy = 62.19% | Valid Loss 2.70 | Valid Accuracy = 27.59%
Epoch: 046 | Train Loss 1.48 | Train Accuracy = 59.69% | Valid Loss 2.91 | Valid Accuracy = 19.83%
Epoch: 047 | Train Loss 1.55 | Train Accuracy = 56.56% | Valid Loss 2.86 | Valid Accuracy = 21.55%
Epoch: 048 | Train Loss 1.42 | Train Accuracy = 61.56% | Valid Loss 2.90 | Valid Accuracy = 21.55%
Epoch: 049 | Train Loss 1.39 | Train Accuracy = 59.69% | Valid Loss 2.78 | Valid Accuracy = 25.86%
Epoch: 050 | Train Loss 1.30 | Train Accuracy = 64.38% | Valid Loss 2.86 | Valid Accuracy = 22.41%
Epoch: 051 | Train Loss 1.41 | Train Accuracy = 59.69% | Valid Loss 2.77 | Valid Accuracy = 25.00%
Epoch: 052 | Train Loss 1.40 | Train Accuracy = 61.88% | Valid Loss 2.76 | Valid Accuracy = 25.00%
Epoch: 053 | Train Loss 1.36 | Train Accuracy = 64.06% | Valid Loss 2.77 | Valid Accuracy = 24.14%
Epoch: 054 | Train Loss 1.33 | Train Accuracy = 62.19% | Valid Loss 2.75 | Valid Accuracy = 25.00%
Epoch: 055 | Train Loss 1.40 | Train Accuracy = 62.81% | Valid Loss 2.83 | Valid Accuracy = 21.55%
Epoch: 056 | Train Loss 1.38 | Train Accuracy = 61.88% | Valid Loss 2.77 | Valid Accuracy = 22.41%
Epoch: 057 | Train Loss 1.41 | Train Accuracy = 61.25% | Valid Loss 2.75 | Valid Accuracy = 25.00%
Epoch: 058 | Train Loss 1.39 | Train Accuracy = 62.81% | Valid Loss 2.85 | Valid Accuracy = 22.41%
Epoch: 059 | Train Loss 1.35 | Train Accuracy = 60.62% | Valid Loss 2.75 | Valid Accuracy = 25.86%
Epoch: 060 | Train Loss 1.36 | Train Accuracy = 63.75% | Valid Loss 2.80 | Valid Accuracy = 23.28%
