Epoch: 001 | Train Loss 2.59 | Train Accuracy = 29.38% | Valid Loss 3.06 | Valid Accuracy = 17.24%
Epoch: 002 | Train Loss 2.28 | Train Accuracy = 37.19% | Valid Loss 2.99 | Valid Accuracy = 17.24%
Epoch: 003 | Train Loss 2.19 | Train Accuracy = 38.75% | Valid Loss 3.13 | Valid Accuracy = 13.79%
Epoch: 004 | Train Loss 2.26 | Train Accuracy = 37.19% | Valid Loss 2.97 | Valid Accuracy = 21.55%
Epoch: 005 | Train Loss 2.11 | Train Accuracy = 41.56% | Valid Loss 3.12 | Valid Accuracy = 18.10%
Epoch: 006 | Train Loss 2.16 | Train Accuracy = 36.25% | Valid Loss 2.98 | Valid Accuracy = 18.97%
Epoch: 007 | Train Loss 2.10 | Train Accuracy = 42.19% | Valid Loss 2.96 | Valid Accuracy = 16.38%
Epoch: 008 | Train Loss 2.15 | Train Accuracy = 38.75% | Valid Loss 2.93 | Valid Accuracy = 23.28%
Epoch: 009 | Train Loss 2.09 | Train Accuracy = 45.31% | Valid Loss 2.86 | Valid Accuracy = 19.83%
Epoch: 010 | Train Loss 1.95 | Train Accuracy = 41.88% | Valid Loss 2.92 | Valid Accuracy = 18.97%
Epoch: 011 | Train Loss 2.00 | Train Accuracy = 41.88% | Valid Loss 2.91 | Valid Accuracy = 25.86%
Epoch: 012 | Train Loss 1.93 | Train Accuracy = 44.38% | Valid Loss 2.98 | Valid Accuracy = 17.24%
Epoch: 013 | Train Loss 1.85 | Train Accuracy = 47.50% | Valid Loss 2.95 | Valid Accuracy = 19.83%
Epoch: 014 | Train Loss 2.04 | Train Accuracy = 40.62% | Valid Loss 2.77 | Valid Accuracy = 20.69%
Epoch: 015 | Train Loss 2.01 | Train Accuracy = 44.69% | Valid Loss 2.88 | Valid Accuracy = 24.14%
Epoch: 016 | Train Loss 1.95 | Train Accuracy = 44.06% | Valid Loss 2.91 | Valid Accuracy = 18.97%
Epoch: 017 | Train Loss 1.95 | Train Accuracy = 44.38% | Valid Loss 2.87 | Valid Accuracy = 25.00%
Epoch: 018 | Train Loss 1.95 | Train Accuracy = 45.00% | Valid Loss 2.98 | Valid Accuracy = 17.24%
Epoch: 019 | Train Loss 1.88 | Train Accuracy = 46.25% | Valid Loss 2.96 | Valid Accuracy = 22.41%
Epoch: 020 | Train Loss 1.91 | Train Accuracy = 45.94% | Valid Loss 3.05 | Valid Accuracy = 22.41%
Epoch: 021 | Train Loss 1.85 | Train Accuracy = 49.69% | Valid Loss 2.94 | Valid Accuracy = 21.55%
Epoch: 022 | Train Loss 1.86 | Train Accuracy = 49.38% | Valid Loss 3.18 | Valid Accuracy = 18.97%
Epoch: 023 | Train Loss 1.97 | Train Accuracy = 43.75% | Valid Loss 2.94 | Valid Accuracy = 24.14%
Epoch: 024 | Train Loss 1.77 | Train Accuracy = 48.44% | Valid Loss 2.95 | Valid Accuracy = 18.97%
Epoch: 025 | Train Loss 1.77 | Train Accuracy = 50.00% | Valid Loss 2.88 | Valid Accuracy = 24.14%
Epoch: 026 | Train Loss 1.77 | Train Accuracy = 50.94% | Valid Loss 2.83 | Valid Accuracy = 20.69%
Epoch: 027 | Train Loss 1.77 | Train Accuracy = 48.75% | Valid Loss 2.92 | Valid Accuracy = 21.55%
Epoch: 028 | Train Loss 1.79 | Train Accuracy = 50.00% | Valid Loss 3.22 | Valid Accuracy = 18.97%
Epoch: 029 | Train Loss 1.70 | Train Accuracy = 51.88% | Valid Loss 2.95 | Valid Accuracy = 18.10%
Epoch: 030 | Train Loss 1.86 | Train Accuracy = 47.81% | Valid Loss 3.66 | Valid Accuracy = 14.66%
Epoch: 031 | Train Loss 1.79 | Train Accuracy = 48.75% | Valid Loss 2.82 | Valid Accuracy = 27.59%
Epoch: 032 | Train Loss 1.70 | Train Accuracy = 48.12% | Valid Loss 3.09 | Valid Accuracy = 20.69%
Epoch: 033 | Train Loss 1.68 | Train Accuracy = 52.19% | Valid Loss 2.80 | Valid Accuracy = 23.28%
Epoch: 034 | Train Loss 1.61 | Train Accuracy = 58.44% | Valid Loss 2.89 | Valid Accuracy = 22.41%
Epoch: 035 | Train Loss 1.54 | Train Accuracy = 56.56% | Valid Loss 2.81 | Valid Accuracy = 25.86%
Epoch: 036 | Train Loss 1.57 | Train Accuracy = 57.50% | Valid Loss 2.89 | Valid Accuracy = 21.55%
Epoch: 037 | Train Loss 1.60 | Train Accuracy = 56.56% | Valid Loss 2.88 | Valid Accuracy = 20.69%
Epoch: 038 | Train Loss 1.57 | Train Accuracy = 56.56% | Valid Loss 2.82 | Valid Accuracy = 23.28%
Epoch: 039 | Train Loss 1.56 | Train Accuracy = 58.13% | Valid Loss 2.82 | Valid Accuracy = 24.14%
Epoch: 040 | Train Loss 1.59 | Train Accuracy = 56.88% | Valid Loss 2.77 | Valid Accuracy = 25.00%
Epoch: 041 | Train Loss 1.49 | Train Accuracy = 60.00% | Valid Loss 2.92 | Valid Accuracy = 23.28%
Epoch: 042 | Train Loss 1.53 | Train Accuracy = 56.25% | Valid Loss 2.86 | Valid Accuracy = 25.00%
Epoch: 043 | Train Loss 1.51 | Train Accuracy = 58.44% | Valid Loss 2.82 | Valid Accuracy = 26.72%
Epoch: 044 | Train Loss 1.54 | Train Accuracy = 56.56% | Valid Loss 2.84 | Valid Accuracy = 23.28%
Epoch: 045 | Train Loss 1.50 | Train Accuracy = 55.31% | Valid Loss 2.88 | Valid Accuracy = 25.00%
Epoch: 046 | Train Loss 1.46 | Train Accuracy = 60.94% | Valid Loss 2.78 | Valid Accuracy = 26.72%
Epoch: 047 | Train Loss 1.55 | Train Accuracy = 55.62% | Valid Loss 2.88 | Valid Accuracy = 23.28%
Epoch: 048 | Train Loss 1.45 | Train Accuracy = 59.69% | Valid Loss 2.86 | Valid Accuracy = 28.45%
Epoch: 049 | Train Loss 1.41 | Train Accuracy = 60.31% | Valid Loss 2.83 | Valid Accuracy = 25.86%
Epoch: 050 | Train Loss 1.38 | Train Accuracy = 64.06% | Valid Loss 2.90 | Valid Accuracy = 25.00%
Epoch: 051 | Train Loss 1.43 | Train Accuracy = 59.69% | Valid Loss 2.81 | Valid Accuracy = 27.59%
Epoch: 052 | Train Loss 1.40 | Train Accuracy = 65.31% | Valid Loss 2.77 | Valid Accuracy = 25.00%
Epoch: 053 | Train Loss 1.43 | Train Accuracy = 59.06% | Valid Loss 2.84 | Valid Accuracy = 24.14%
Epoch: 054 | Train Loss 1.48 | Train Accuracy = 60.94% | Valid Loss 2.79 | Valid Accuracy = 26.72%
Epoch: 055 | Train Loss 1.37 | Train Accuracy = 63.75% | Valid Loss 2.79 | Valid Accuracy = 25.00%
Epoch: 056 | Train Loss 1.48 | Train Accuracy = 59.38% | Valid Loss 2.86 | Valid Accuracy = 24.14%
Epoch: 057 | Train Loss 1.43 | Train Accuracy = 63.75% | Valid Loss 2.84 | Valid Accuracy = 23.28%
Epoch: 058 | Train Loss 1.49 | Train Accuracy = 59.06% | Valid Loss 2.83 | Valid Accuracy = 25.86%
Epoch: 059 | Train Loss 1.37 | Train Accuracy = 62.81% | Valid Loss 2.81 | Valid Accuracy = 27.59%
Epoch: 060 | Train Loss 1.30 | Train Accuracy = 65.00% | Valid Loss 2.83 | Valid Accuracy = 27.59%
Epoch: 061 | Train Loss 1.45 | Train Accuracy = 58.44% | Valid Loss 2.83 | Valid Accuracy = 25.86%
Epoch: 062 | Train Loss 1.44 | Train Accuracy = 61.25% | Valid Loss 2.82 | Valid Accuracy = 25.86%
Epoch: 063 | Train Loss 1.36 | Train Accuracy = 65.00% | Valid Loss 2.85 | Valid Accuracy = 25.00%
Epoch: 064 | Train Loss 1.47 | Train Accuracy = 56.88% | Valid Loss 2.83 | Valid Accuracy = 26.72%
Epoch: 065 | Train Loss 1.42 | Train Accuracy = 63.75% | Valid Loss 2.84 | Valid Accuracy = 24.14%
Epoch: 066 | Train Loss 1.29 | Train Accuracy = 62.50% | Valid Loss 2.83 | Valid Accuracy = 26.72%
Epoch: 067 | Train Loss 1.41 | Train Accuracy = 60.62% | Valid Loss 2.89 | Valid Accuracy = 25.00%
Epoch: 068 | Train Loss 1.39 | Train Accuracy = 62.50% | Valid Loss 2.82 | Valid Accuracy = 27.59%
Epoch: 069 | Train Loss 1.37 | Train Accuracy = 65.94% | Valid Loss 2.82 | Valid Accuracy = 26.72%
Epoch: 070 | Train Loss 1.37 | Train Accuracy = 61.88% | Valid Loss 2.87 | Valid Accuracy = 24.14%
Epoch: 071 | Train Loss 1.34 | Train Accuracy = 63.75% | Valid Loss 2.83 | Valid Accuracy = 25.86%
Epoch: 072 | Train Loss 1.33 | Train Accuracy = 65.00% | Valid Loss 2.85 | Valid Accuracy = 25.86%
Epoch: 073 | Train Loss 1.28 | Train Accuracy = 65.62% | Valid Loss 2.91 | Valid Accuracy = 24.14%
Epoch: 074 | Train Loss 1.38 | Train Accuracy = 65.62% | Valid Loss 2.88 | Valid Accuracy = 25.86%
Epoch: 075 | Train Loss 1.30 | Train Accuracy = 66.25% | Valid Loss 2.91 | Valid Accuracy = 23.28%
Epoch: 076 | Train Loss 1.25 | Train Accuracy = 67.81% | Valid Loss 2.87 | Valid Accuracy = 24.14%
Epoch: 077 | Train Loss 1.32 | Train Accuracy = 65.62% | Valid Loss 2.86 | Valid Accuracy = 25.00%
Epoch: 078 | Train Loss 1.40 | Train Accuracy = 61.88% | Valid Loss 2.86 | Valid Accuracy = 25.00%
Epoch: 079 | Train Loss 1.33 | Train Accuracy = 62.50% | Valid Loss 2.86 | Valid Accuracy = 25.00%
Epoch: 080 | Train Loss 1.27 | Train Accuracy = 66.25% | Valid Loss 2.86 | Valid Accuracy = 25.86%
Epoch: 081 | Train Loss 1.41 | Train Accuracy = 57.50% | Valid Loss 2.88 | Valid Accuracy = 25.00%
Epoch: 082 | Train Loss 1.35 | Train Accuracy = 63.12% | Valid Loss 2.87 | Valid Accuracy = 25.00%
Epoch: 083 | Train Loss 1.31 | Train Accuracy = 62.81% | Valid Loss 2.84 | Valid Accuracy = 26.72%
Epoch: 084 | Train Loss 1.34 | Train Accuracy = 64.38% | Valid Loss 2.85 | Valid Accuracy = 26.72%
Epoch: 085 | Train Loss 1.44 | Train Accuracy = 61.25% | Valid Loss 2.86 | Valid Accuracy = 25.00%
Epoch: 086 | Train Loss 1.38 | Train Accuracy = 61.88% | Valid Loss 2.86 | Valid Accuracy = 24.14%
Epoch: 087 | Train Loss 1.34 | Train Accuracy = 63.75% | Valid Loss 2.84 | Valid Accuracy = 25.86%
Epoch: 088 | Train Loss 1.24 | Train Accuracy = 67.19% | Valid Loss 2.82 | Valid Accuracy = 27.59%
Epoch: 089 | Train Loss 1.35 | Train Accuracy = 60.62% | Valid Loss 2.84 | Valid Accuracy = 26.72%
Epoch: 090 | Train Loss 1.27 | Train Accuracy = 67.50% | Valid Loss 2.85 | Valid Accuracy = 26.72%
Epoch: 091 | Train Loss 1.34 | Train Accuracy = 62.81% | Valid Loss 2.83 | Valid Accuracy = 25.00%
Epoch: 092 | Train Loss 1.38 | Train Accuracy = 60.94% | Valid Loss 2.82 | Valid Accuracy = 25.86%
Epoch: 093 | Train Loss 1.37 | Train Accuracy = 63.12% | Valid Loss 2.83 | Valid Accuracy = 25.86%
Epoch: 094 | Train Loss 1.30 | Train Accuracy = 65.31% | Valid Loss 2.83 | Valid Accuracy = 27.59%
Epoch: 095 | Train Loss 1.30 | Train Accuracy = 66.56% | Valid Loss 2.84 | Valid Accuracy = 25.86%
Epoch: 096 | Train Loss 1.37 | Train Accuracy = 60.62% | Valid Loss 2.82 | Valid Accuracy = 26.72%
Epoch: 097 | Train Loss 1.32 | Train Accuracy = 63.44% | Valid Loss 2.83 | Valid Accuracy = 26.72%
Epoch: 098 | Train Loss 1.36 | Train Accuracy = 60.00% | Valid Loss 2.84 | Valid Accuracy = 26.72%
Epoch: 099 | Train Loss 1.36 | Train Accuracy = 63.12% | Valid Loss 2.85 | Valid Accuracy = 25.86%
Epoch: 100 | Train Loss 1.42 | Train Accuracy = 59.69% | Valid Loss 2.85 | Valid Accuracy = 25.00%
Max valid accuracy = 28.45%
