Epoch: 001 | Train Loss 4.94 | Train Accuracy = 02.68% | Valid Loss 4.41 | Valid Accuracy = 03.45%
Epoch: 002 | Train Loss 4.38 | Train Accuracy = 04.17% | Valid Loss 4.15 | Valid Accuracy = 05.17%
Epoch: 003 | Train Loss 4.31 | Train Accuracy = 03.27% | Valid Loss 4.05 | Valid Accuracy = 03.45%
Epoch: 004 | Train Loss 4.27 | Train Accuracy = 04.76% | Valid Loss 4.13 | Valid Accuracy = 08.62%
Epoch: 005 | Train Loss 4.19 | Train Accuracy = 05.95% | Valid Loss 3.95 | Valid Accuracy = 05.17%
Epoch: 006 | Train Loss 4.16 | Train Accuracy = 06.55% | Valid Loss 4.09 | Valid Accuracy = 06.03%
Epoch: 007 | Train Loss 4.12 | Train Accuracy = 05.95% | Valid Loss 3.93 | Valid Accuracy = 08.62%
Epoch: 008 | Train Loss 4.06 | Train Accuracy = 06.55% | Valid Loss 4.09 | Valid Accuracy = 07.76%
Epoch: 009 | Train Loss 4.10 | Train Accuracy = 05.95% | Valid Loss 4.12 | Valid Accuracy = 06.90%
Epoch: 010 | Train Loss 4.12 | Train Accuracy = 09.52% | Valid Loss 4.12 | Valid Accuracy = 07.76%
Epoch: 011 | Train Loss 4.07 | Train Accuracy = 08.04% | Valid Loss 3.93 | Valid Accuracy = 10.34%
Epoch: 012 | Train Loss 3.96 | Train Accuracy = 09.52% | Valid Loss 3.95 | Valid Accuracy = 11.21%
Epoch: 013 | Train Loss 3.88 | Train Accuracy = 11.01% | Valid Loss 3.90 | Valid Accuracy = 10.34%
Epoch: 014 | Train Loss 3.92 | Train Accuracy = 08.93% | Valid Loss 3.87 | Valid Accuracy = 08.62%
Epoch: 015 | Train Loss 3.88 | Train Accuracy = 09.82% | Valid Loss 3.81 | Valid Accuracy = 08.62%
Epoch: 016 | Train Loss 3.71 | Train Accuracy = 10.71% | Valid Loss 3.69 | Valid Accuracy = 13.79%
Epoch: 017 | Train Loss 3.70 | Train Accuracy = 11.31% | Valid Loss 3.72 | Valid Accuracy = 12.07%
Epoch: 018 | Train Loss 3.60 | Train Accuracy = 16.07% | Valid Loss 3.71 | Valid Accuracy = 11.21%
Epoch: 019 | Train Loss 3.51 | Train Accuracy = 15.77% | Valid Loss 3.73 | Valid Accuracy = 12.07%
Epoch: 020 | Train Loss 3.66 | Train Accuracy = 13.69% | Valid Loss 3.53 | Valid Accuracy = 14.66%
Epoch: 021 | Train Loss 3.58 | Train Accuracy = 14.29% | Valid Loss 3.81 | Valid Accuracy = 11.21%
Epoch: 022 | Train Loss 3.56 | Train Accuracy = 15.77% | Valid Loss 3.70 | Valid Accuracy = 08.62%
Epoch: 023 | Train Loss 3.46 | Train Accuracy = 17.56% | Valid Loss 3.71 | Valid Accuracy = 12.07%
Epoch: 024 | Train Loss 3.55 | Train Accuracy = 14.29% | Valid Loss 3.68 | Valid Accuracy = 11.21%
Epoch: 025 | Train Loss 3.41 | Train Accuracy = 19.05% | Valid Loss 3.75 | Valid Accuracy = 09.48%
Epoch: 026 | Train Loss 3.44 | Train Accuracy = 19.35% | Valid Loss 3.68 | Valid Accuracy = 11.21%
Epoch: 027 | Train Loss 3.46 | Train Accuracy = 16.96% | Valid Loss 3.79 | Valid Accuracy = 12.07%
Epoch: 028 | Train Loss 3.37 | Train Accuracy = 18.15% | Valid Loss 3.56 | Valid Accuracy = 15.52%
Epoch: 029 | Train Loss 3.46 | Train Accuracy = 16.96% | Valid Loss 3.49 | Valid Accuracy = 18.10%
Epoch: 030 | Train Loss 3.24 | Train Accuracy = 18.75% | Valid Loss 3.65 | Valid Accuracy = 17.24%
Epoch: 031 | Train Loss 3.27 | Train Accuracy = 21.13% | Valid Loss 3.69 | Valid Accuracy = 13.79%
Epoch: 032 | Train Loss 3.37 | Train Accuracy = 16.96% | Valid Loss 3.44 | Valid Accuracy = 19.83%
Epoch: 033 | Train Loss 3.20 | Train Accuracy = 21.43% | Valid Loss 3.47 | Valid Accuracy = 14.66%
Epoch: 034 | Train Loss 3.22 | Train Accuracy = 22.92% | Valid Loss 3.87 | Valid Accuracy = 14.66%
Epoch: 035 | Train Loss 3.34 | Train Accuracy = 18.75% | Valid Loss 3.59 | Valid Accuracy = 14.66%
Epoch: 036 | Train Loss 3.27 | Train Accuracy = 19.94% | Valid Loss 3.54 | Valid Accuracy = 16.38%
Epoch: 037 | Train Loss 3.13 | Train Accuracy = 20.54% | Valid Loss 3.42 | Valid Accuracy = 16.38%
Epoch: 038 | Train Loss 3.04 | Train Accuracy = 25.60% | Valid Loss 3.51 | Valid Accuracy = 15.52%
Epoch: 039 | Train Loss 2.97 | Train Accuracy = 24.40% | Valid Loss 3.36 | Valid Accuracy = 21.55%
Epoch: 040 | Train Loss 3.00 | Train Accuracy = 27.68% | Valid Loss 3.57 | Valid Accuracy = 14.66%
Epoch: 041 | Train Loss 3.09 | Train Accuracy = 23.21% | Valid Loss 3.54 | Valid Accuracy = 12.07%
Epoch: 042 | Train Loss 2.89 | Train Accuracy = 22.62% | Valid Loss 3.37 | Valid Accuracy = 18.10%
Epoch: 043 | Train Loss 2.94 | Train Accuracy = 24.11% | Valid Loss 3.47 | Valid Accuracy = 20.69%
Epoch: 044 | Train Loss 2.93 | Train Accuracy = 28.27% | Valid Loss 3.56 | Valid Accuracy = 17.24%
Epoch: 045 | Train Loss 2.96 | Train Accuracy = 25.30% | Valid Loss 3.55 | Valid Accuracy = 17.24%
Epoch: 046 | Train Loss 2.99 | Train Accuracy = 26.49% | Valid Loss 3.39 | Valid Accuracy = 21.55%
Epoch: 047 | Train Loss 2.88 | Train Accuracy = 27.68% | Valid Loss 3.33 | Valid Accuracy = 21.55%
