Epoch: 001 | Train Loss 5.00 | Train Accuracy = 05.06% | Valid Loss 4.24 | Valid Accuracy = 07.76%
Epoch: 002 | Train Loss 4.34 | Train Accuracy = 06.25% | Valid Loss 4.09 | Valid Accuracy = 04.31%
Epoch: 003 | Train Loss 4.25 | Train Accuracy = 03.27% | Valid Loss 4.03 | Valid Accuracy = 03.45%
Epoch: 004 | Train Loss 4.14 | Train Accuracy = 07.14% | Valid Loss 4.09 | Valid Accuracy = 05.17%
Epoch: 005 | Train Loss 4.11 | Train Accuracy = 07.14% | Valid Loss 3.98 | Valid Accuracy = 07.76%
Epoch: 006 | Train Loss 4.18 | Train Accuracy = 05.95% | Valid Loss 4.04 | Valid Accuracy = 06.90%
Epoch: 007 | Train Loss 4.07 | Train Accuracy = 07.74% | Valid Loss 4.04 | Valid Accuracy = 03.45%
Epoch: 008 | Train Loss 4.03 | Train Accuracy = 09.23% | Valid Loss 3.89 | Valid Accuracy = 08.62%
Epoch: 009 | Train Loss 4.05 | Train Accuracy = 06.55% | Valid Loss 3.90 | Valid Accuracy = 08.62%
Epoch: 010 | Train Loss 3.99 | Train Accuracy = 08.04% | Valid Loss 3.95 | Valid Accuracy = 08.62%
Epoch: 011 | Train Loss 3.85 | Train Accuracy = 12.20% | Valid Loss 3.78 | Valid Accuracy = 07.76%
Epoch: 012 | Train Loss 3.87 | Train Accuracy = 09.82% | Valid Loss 3.74 | Valid Accuracy = 11.21%
Epoch: 013 | Train Loss 3.86 | Train Accuracy = 11.01% | Valid Loss 3.81 | Valid Accuracy = 10.34%
Epoch: 014 | Train Loss 3.81 | Train Accuracy = 11.31% | Valid Loss 3.73 | Valid Accuracy = 12.93%
Epoch: 015 | Train Loss 3.78 | Train Accuracy = 11.31% | Valid Loss 3.78 | Valid Accuracy = 12.07%
Epoch: 016 | Train Loss 3.75 | Train Accuracy = 13.39% | Valid Loss 3.76 | Valid Accuracy = 12.07%
Epoch: 017 | Train Loss 3.70 | Train Accuracy = 13.39% | Valid Loss 3.95 | Valid Accuracy = 06.90%
Epoch: 018 | Train Loss 3.75 | Train Accuracy = 09.52% | Valid Loss 3.73 | Valid Accuracy = 13.79%
Epoch: 019 | Train Loss 3.68 | Train Accuracy = 13.39% | Valid Loss 3.82 | Valid Accuracy = 06.03%
Epoch: 020 | Train Loss 3.65 | Train Accuracy = 13.99% | Valid Loss 3.63 | Valid Accuracy = 12.07%
Epoch: 021 | Train Loss 3.60 | Train Accuracy = 12.50% | Valid Loss 3.55 | Valid Accuracy = 14.66%
Epoch: 022 | Train Loss 3.57 | Train Accuracy = 16.96% | Valid Loss 3.86 | Valid Accuracy = 10.34%
Epoch: 023 | Train Loss 3.59 | Train Accuracy = 16.37% | Valid Loss 3.96 | Valid Accuracy = 09.48%
Epoch: 024 | Train Loss 3.63 | Train Accuracy = 13.99% | Valid Loss 3.81 | Valid Accuracy = 12.93%
Epoch: 025 | Train Loss 3.48 | Train Accuracy = 14.29% | Valid Loss 3.70 | Valid Accuracy = 09.48%
Epoch: 026 | Train Loss 3.56 | Train Accuracy = 16.37% | Valid Loss 3.81 | Valid Accuracy = 12.07%
Epoch: 027 | Train Loss 3.59 | Train Accuracy = 16.67% | Valid Loss 3.79 | Valid Accuracy = 08.62%
Epoch: 028 | Train Loss 3.46 | Train Accuracy = 16.07% | Valid Loss 3.65 | Valid Accuracy = 14.66%
Epoch: 029 | Train Loss 3.43 | Train Accuracy = 18.45% | Valid Loss 3.46 | Valid Accuracy = 16.38%
Epoch: 030 | Train Loss 3.34 | Train Accuracy = 13.99% | Valid Loss 3.82 | Valid Accuracy = 11.21%
Epoch: 031 | Train Loss 3.33 | Train Accuracy = 16.67% | Valid Loss 3.85 | Valid Accuracy = 12.93%
Epoch: 032 | Train Loss 3.30 | Train Accuracy = 20.54% | Valid Loss 3.65 | Valid Accuracy = 10.34%
Epoch: 033 | Train Loss 3.27 | Train Accuracy = 17.26% | Valid Loss 3.45 | Valid Accuracy = 15.52%
Epoch: 034 | Train Loss 3.26 | Train Accuracy = 22.02% | Valid Loss 3.54 | Valid Accuracy = 17.24%
Epoch: 035 | Train Loss 3.21 | Train Accuracy = 18.75% | Valid Loss 3.50 | Valid Accuracy = 14.66%
Epoch: 036 | Train Loss 3.18 | Train Accuracy = 21.13% | Valid Loss 3.70 | Valid Accuracy = 11.21%
Epoch: 037 | Train Loss 3.15 | Train Accuracy = 21.13% | Valid Loss 3.64 | Valid Accuracy = 12.93%
Epoch: 038 | Train Loss 3.11 | Train Accuracy = 24.40% | Valid Loss 3.57 | Valid Accuracy = 12.07%
Epoch: 039 | Train Loss 3.22 | Train Accuracy = 22.62% | Valid Loss 3.42 | Valid Accuracy = 12.93%
Epoch: 040 | Train Loss 3.13 | Train Accuracy = 23.81% | Valid Loss 3.50 | Valid Accuracy = 19.83%
Epoch: 041 | Train Loss 3.17 | Train Accuracy = 22.02% | Valid Loss 3.48 | Valid Accuracy = 18.10%
Epoch: 042 | Train Loss 3.14 | Train Accuracy = 23.51% | Valid Loss 3.44 | Valid Accuracy = 16.38%
Epoch: 043 | Train Loss 3.15 | Train Accuracy = 19.35% | Valid Loss 3.46 | Valid Accuracy = 18.97%
Epoch: 044 | Train Loss 3.22 | Train Accuracy = 19.64% | Valid Loss 3.73 | Valid Accuracy = 18.10%
Epoch: 045 | Train Loss 3.15 | Train Accuracy = 20.54% | Valid Loss 3.59 | Valid Accuracy = 15.52%
