Epoch: 001 | Train Loss 5.00 | Train Accuracy = 04.17% | Valid Loss 4.28 | Valid Accuracy = 03.45%
Epoch: 002 | Train Loss 4.39 | Train Accuracy = 05.36% | Valid Loss 4.18 | Valid Accuracy = 04.31%
Epoch: 003 | Train Loss 4.27 | Train Accuracy = 05.06% | Valid Loss 4.01 | Valid Accuracy = 07.76%
Epoch: 004 | Train Loss 4.20 | Train Accuracy = 06.85% | Valid Loss 4.14 | Valid Accuracy = 09.48%
Epoch: 005 | Train Loss 4.26 | Train Accuracy = 07.74% | Valid Loss 4.00 | Valid Accuracy = 08.62%
Epoch: 006 | Train Loss 4.14 | Train Accuracy = 05.95% | Valid Loss 4.04 | Valid Accuracy = 06.90%
Epoch: 007 | Train Loss 4.24 | Train Accuracy = 06.55% | Valid Loss 4.07 | Valid Accuracy = 04.31%
Epoch: 008 | Train Loss 4.20 | Train Accuracy = 08.04% | Valid Loss 4.04 | Valid Accuracy = 08.62%
Epoch: 009 | Train Loss 4.02 | Train Accuracy = 07.44% | Valid Loss 3.82 | Valid Accuracy = 13.79%
Epoch: 010 | Train Loss 3.99 | Train Accuracy = 08.33% | Valid Loss 3.79 | Valid Accuracy = 10.34%
Epoch: 011 | Train Loss 3.98 | Train Accuracy = 11.01% | Valid Loss 3.87 | Valid Accuracy = 08.62%
Epoch: 012 | Train Loss 3.91 | Train Accuracy = 10.12% | Valid Loss 3.86 | Valid Accuracy = 06.90%
Epoch: 013 | Train Loss 3.99 | Train Accuracy = 11.31% | Valid Loss 3.86 | Valid Accuracy = 10.34%
Epoch: 014 | Train Loss 3.90 | Train Accuracy = 10.42% | Valid Loss 3.78 | Valid Accuracy = 07.76%
Epoch: 015 | Train Loss 3.80 | Train Accuracy = 11.31% | Valid Loss 3.81 | Valid Accuracy = 12.07%
Epoch: 016 | Train Loss 3.80 | Train Accuracy = 11.90% | Valid Loss 3.70 | Valid Accuracy = 12.93%
Epoch: 017 | Train Loss 3.85 | Train Accuracy = 12.80% | Valid Loss 3.63 | Valid Accuracy = 12.07%
Epoch: 018 | Train Loss 3.72 | Train Accuracy = 15.18% | Valid Loss 3.71 | Valid Accuracy = 08.62%
Epoch: 019 | Train Loss 3.66 | Train Accuracy = 15.18% | Valid Loss 3.70 | Valid Accuracy = 11.21%
Epoch: 020 | Train Loss 3.62 | Train Accuracy = 14.29% | Valid Loss 3.88 | Valid Accuracy = 09.48%
