Epoch: 001 | Train Loss 2.45 | Train Accuracy = 36.31% | Valid Loss 2.98 | Valid Accuracy = 26.72%
Epoch: 002 | Train Loss 2.18 | Train Accuracy = 44.35% | Valid Loss 3.06 | Valid Accuracy = 27.59%
Epoch: 003 | Train Loss 2.22 | Train Accuracy = 41.37% | Valid Loss 3.52 | Valid Accuracy = 22.41%
Epoch: 004 | Train Loss 2.07 | Train Accuracy = 43.75% | Valid Loss 3.14 | Valid Accuracy = 25.00%
Epoch: 005 | Train Loss 1.98 | Train Accuracy = 44.35% | Valid Loss 3.03 | Valid Accuracy = 27.59%
Epoch: 006 | Train Loss 2.01 | Train Accuracy = 44.35% | Valid Loss 3.06 | Valid Accuracy = 27.59%
Epoch: 007 | Train Loss 1.94 | Train Accuracy = 44.94% | Valid Loss 3.28 | Valid Accuracy = 23.28%
Epoch: 008 | Train Loss 2.08 | Train Accuracy = 42.56% | Valid Loss 3.33 | Valid Accuracy = 26.72%
Epoch: 009 | Train Loss 1.83 | Train Accuracy = 50.30% | Valid Loss 3.13 | Valid Accuracy = 27.59%
Epoch: 010 | Train Loss 1.85 | Train Accuracy = 49.11% | Valid Loss 3.14 | Valid Accuracy = 26.72%
Epoch: 011 | Train Loss 1.82 | Train Accuracy = 47.62% | Valid Loss 2.87 | Valid Accuracy = 29.31%
Epoch: 012 | Train Loss 1.91 | Train Accuracy = 47.62% | Valid Loss 3.01 | Valid Accuracy = 25.86%
Epoch: 013 | Train Loss 1.95 | Train Accuracy = 44.35% | Valid Loss 2.88 | Valid Accuracy = 35.34%
Epoch: 014 | Train Loss 2.02 | Train Accuracy = 42.86% | Valid Loss 2.84 | Valid Accuracy = 35.34%
Epoch: 015 | Train Loss 1.90 | Train Accuracy = 47.02% | Valid Loss 2.92 | Valid Accuracy = 30.17%
Epoch: 016 | Train Loss 1.70 | Train Accuracy = 51.49% | Valid Loss 3.11 | Valid Accuracy = 28.45%
Epoch: 017 | Train Loss 1.65 | Train Accuracy = 56.25% | Valid Loss 3.51 | Valid Accuracy = 26.72%
Epoch: 018 | Train Loss 1.84 | Train Accuracy = 48.81% | Valid Loss 3.35 | Valid Accuracy = 25.86%
Epoch: 019 | Train Loss 1.74 | Train Accuracy = 53.27% | Valid Loss 3.17 | Valid Accuracy = 31.03%
Epoch: 020 | Train Loss 1.69 | Train Accuracy = 51.19% | Valid Loss 3.16 | Valid Accuracy = 29.31%
Epoch: 021 | Train Loss 1.59 | Train Accuracy = 54.17% | Valid Loss 3.22 | Valid Accuracy = 29.31%
Epoch: 022 | Train Loss 1.75 | Train Accuracy = 51.19% | Valid Loss 3.11 | Valid Accuracy = 31.03%
Epoch: 023 | Train Loss 1.63 | Train Accuracy = 51.79% | Valid Loss 3.36 | Valid Accuracy = 27.59%
Epoch: 024 | Train Loss 1.63 | Train Accuracy = 54.46% | Valid Loss 3.04 | Valid Accuracy = 30.17%
Epoch: 025 | Train Loss 1.58 | Train Accuracy = 55.06% | Valid Loss 3.16 | Valid Accuracy = 29.31%
Epoch: 026 | Train Loss 1.54 | Train Accuracy = 60.12% | Valid Loss 3.74 | Valid Accuracy = 23.28%
Epoch: 027 | Train Loss 1.65 | Train Accuracy = 55.65% | Valid Loss 3.77 | Valid Accuracy = 26.72%
Epoch: 028 | Train Loss 1.66 | Train Accuracy = 52.98% | Valid Loss 3.22 | Valid Accuracy = 31.90%
Epoch: 029 | Train Loss 1.63 | Train Accuracy = 54.76% | Valid Loss 3.05 | Valid Accuracy = 31.03%
Epoch: 030 | Train Loss 1.60 | Train Accuracy = 55.06% | Valid Loss 2.92 | Valid Accuracy = 32.76%
Epoch: 031 | Train Loss 1.68 | Train Accuracy = 50.60% | Valid Loss 3.30 | Valid Accuracy = 29.31%
Epoch: 032 | Train Loss 1.62 | Train Accuracy = 55.36% | Valid Loss 3.41 | Valid Accuracy = 29.31%
Epoch: 033 | Train Loss 1.65 | Train Accuracy = 51.49% | Valid Loss 3.09 | Valid Accuracy = 31.90%
Epoch: 034 | Train Loss 1.65 | Train Accuracy = 54.17% | Valid Loss 3.25 | Valid Accuracy = 27.59%
Epoch: 035 | Train Loss 1.54 | Train Accuracy = 56.85% | Valid Loss 2.96 | Valid Accuracy = 33.62%
Epoch: 036 | Train Loss 1.42 | Train Accuracy = 59.23% | Valid Loss 3.15 | Valid Accuracy = 30.17%
Epoch: 037 | Train Loss 1.42 | Train Accuracy = 60.71% | Valid Loss 3.28 | Valid Accuracy = 27.59%
Epoch: 038 | Train Loss 1.40 | Train Accuracy = 60.12% | Valid Loss 3.24 | Valid Accuracy = 32.76%
Epoch: 039 | Train Loss 1.39 | Train Accuracy = 60.71% | Valid Loss 3.85 | Valid Accuracy = 25.00%
Epoch: 040 | Train Loss 1.47 | Train Accuracy = 58.93% | Valid Loss 3.71 | Valid Accuracy = 31.03%
Epoch: 041 | Train Loss 1.37 | Train Accuracy = 60.71% | Valid Loss 3.17 | Valid Accuracy = 33.62%
Epoch: 042 | Train Loss 1.43 | Train Accuracy = 55.95% | Valid Loss 3.93 | Valid Accuracy = 25.00%
Epoch: 043 | Train Loss 1.27 | Train Accuracy = 61.31% | Valid Loss 3.24 | Valid Accuracy = 30.17%
Epoch: 044 | Train Loss 1.54 | Train Accuracy = 54.76% | Valid Loss 3.11 | Valid Accuracy = 29.31%
