Epoch: 001 | Train Loss 4.10 | Train Accuracy = 03.75% | Valid Loss 4.06 | Valid Accuracy = 03.45%
Epoch: 002 | Train Loss 4.14 | Train Accuracy = 04.06% | Valid Loss 4.00 | Valid Accuracy = 03.45%
Epoch: 003 | Train Loss 4.13 | Train Accuracy = 03.12% | Valid Loss 3.98 | Valid Accuracy = 06.90%
Epoch: 004 | Train Loss 4.02 | Train Accuracy = 05.62% | Valid Loss 3.96 | Valid Accuracy = 06.03%
Epoch: 005 | Train Loss 3.97 | Train Accuracy = 06.88% | Valid Loss 3.91 | Valid Accuracy = 10.34%
Epoch: 006 | Train Loss 3.99 | Train Accuracy = 05.94% | Valid Loss 3.91 | Valid Accuracy = 09.48%
Epoch: 007 | Train Loss 3.98 | Train Accuracy = 05.94% | Valid Loss 3.87 | Valid Accuracy = 06.03%
Epoch: 008 | Train Loss 3.93 | Train Accuracy = 05.62% | Valid Loss 3.81 | Valid Accuracy = 12.07%
Epoch: 009 | Train Loss 3.91 | Train Accuracy = 08.75% | Valid Loss 3.81 | Valid Accuracy = 08.62%
Epoch: 010 | Train Loss 3.86 | Train Accuracy = 09.38% | Valid Loss 3.83 | Valid Accuracy = 06.03%
Epoch: 011 | Train Loss 3.85 | Train Accuracy = 08.75% | Valid Loss 3.73 | Valid Accuracy = 12.07%
Epoch: 012 | Train Loss 3.81 | Train Accuracy = 09.69% | Valid Loss 3.62 | Valid Accuracy = 16.38%
Epoch: 013 | Train Loss 3.70 | Train Accuracy = 13.12% | Valid Loss 3.67 | Valid Accuracy = 09.48%
Epoch: 014 | Train Loss 3.72 | Train Accuracy = 08.12% | Valid Loss 3.68 | Valid Accuracy = 07.76%
Epoch: 015 | Train Loss 3.74 | Train Accuracy = 10.00% | Valid Loss 3.53 | Valid Accuracy = 15.52%
Epoch: 016 | Train Loss 3.63 | Train Accuracy = 10.31% | Valid Loss 3.54 | Valid Accuracy = 13.79%
Epoch: 017 | Train Loss 3.54 | Train Accuracy = 15.00% | Valid Loss 3.49 | Valid Accuracy = 14.66%
Epoch: 018 | Train Loss 3.53 | Train Accuracy = 14.37% | Valid Loss 3.46 | Valid Accuracy = 13.79%
Epoch: 019 | Train Loss 3.47 | Train Accuracy = 13.12% | Valid Loss 3.34 | Valid Accuracy = 15.52%
Epoch: 020 | Train Loss 3.38 | Train Accuracy = 16.25% | Valid Loss 3.27 | Valid Accuracy = 18.10%
Epoch: 021 | Train Loss 3.29 | Train Accuracy = 16.88% | Valid Loss 3.19 | Valid Accuracy = 18.10%
Epoch: 022 | Train Loss 3.24 | Train Accuracy = 17.19% | Valid Loss 3.27 | Valid Accuracy = 18.97%
Epoch: 023 | Train Loss 3.22 | Train Accuracy = 18.12% | Valid Loss 3.30 | Valid Accuracy = 20.69%
Epoch: 024 | Train Loss 3.22 | Train Accuracy = 20.31% | Valid Loss 3.12 | Valid Accuracy = 24.14%
Epoch: 025 | Train Loss 3.12 | Train Accuracy = 17.19% | Valid Loss 3.05 | Valid Accuracy = 25.00%
Epoch: 026 | Train Loss 3.07 | Train Accuracy = 19.06% | Valid Loss 3.10 | Valid Accuracy = 15.52%
Epoch: 027 | Train Loss 3.13 | Train Accuracy = 20.62% | Valid Loss 3.07 | Valid Accuracy = 21.55%
Epoch: 028 | Train Loss 3.02 | Train Accuracy = 24.38% | Valid Loss 3.06 | Valid Accuracy = 20.69%
Epoch: 029 | Train Loss 2.89 | Train Accuracy = 24.38% | Valid Loss 3.14 | Valid Accuracy = 18.97%
Epoch: 030 | Train Loss 2.83 | Train Accuracy = 22.81% | Valid Loss 3.04 | Valid Accuracy = 20.69%
Epoch: 031 | Train Loss 2.90 | Train Accuracy = 25.00% | Valid Loss 3.14 | Valid Accuracy = 16.38%
Epoch: 032 | Train Loss 2.81 | Train Accuracy = 25.31% | Valid Loss 3.05 | Valid Accuracy = 21.55%
Epoch: 033 | Train Loss 2.73 | Train Accuracy = 28.44% | Valid Loss 3.10 | Valid Accuracy = 25.86%
Epoch: 034 | Train Loss 2.75 | Train Accuracy = 24.69% | Valid Loss 2.90 | Valid Accuracy = 23.28%
Epoch: 035 | Train Loss 2.63 | Train Accuracy = 30.94% | Valid Loss 3.04 | Valid Accuracy = 21.55%
Epoch: 036 | Train Loss 2.53 | Train Accuracy = 34.06% | Valid Loss 3.09 | Valid Accuracy = 19.83%
Epoch: 037 | Train Loss 2.68 | Train Accuracy = 30.00% | Valid Loss 3.21 | Valid Accuracy = 18.10%
Epoch: 038 | Train Loss 2.45 | Train Accuracy = 31.56% | Valid Loss 3.02 | Valid Accuracy = 15.52%
Epoch: 039 | Train Loss 2.49 | Train Accuracy = 31.56% | Valid Loss 2.94 | Valid Accuracy = 24.14%
Epoch: 040 | Train Loss 2.43 | Train Accuracy = 36.25% | Valid Loss 2.83 | Valid Accuracy = 26.72%
Epoch: 041 | Train Loss 2.48 | Train Accuracy = 31.87% | Valid Loss 2.80 | Valid Accuracy = 22.41%
Epoch: 042 | Train Loss 2.34 | Train Accuracy = 33.12% | Valid Loss 3.07 | Valid Accuracy = 17.24%
Epoch: 043 | Train Loss 2.42 | Train Accuracy = 35.31% | Valid Loss 2.91 | Valid Accuracy = 26.72%
Epoch: 044 | Train Loss 2.43 | Train Accuracy = 33.44% | Valid Loss 2.82 | Valid Accuracy = 21.55%
Epoch: 045 | Train Loss 2.33 | Train Accuracy = 32.19% | Valid Loss 2.81 | Valid Accuracy = 24.14%
Epoch: 046 | Train Loss 2.22 | Train Accuracy = 38.75% | Valid Loss 2.78 | Valid Accuracy = 25.86%
Epoch: 047 | Train Loss 2.25 | Train Accuracy = 38.12% | Valid Loss 2.91 | Valid Accuracy = 25.00%
Epoch: 048 | Train Loss 2.12 | Train Accuracy = 39.38% | Valid Loss 2.82 | Valid Accuracy = 23.28%
Epoch: 049 | Train Loss 2.28 | Train Accuracy = 36.25% | Valid Loss 2.84 | Valid Accuracy = 23.28%
Epoch: 050 | Train Loss 2.25 | Train Accuracy = 38.12% | Valid Loss 2.96 | Valid Accuracy = 23.28%
Epoch: 051 | Train Loss 2.15 | Train Accuracy = 41.88% | Valid Loss 2.81 | Valid Accuracy = 25.86%
Epoch: 052 | Train Loss 1.97 | Train Accuracy = 46.25% | Valid Loss 2.81 | Valid Accuracy = 25.00%
Epoch: 053 | Train Loss 1.98 | Train Accuracy = 41.25% | Valid Loss 2.84 | Valid Accuracy = 26.72%
Epoch: 054 | Train Loss 1.98 | Train Accuracy = 42.81% | Valid Loss 2.84 | Valid Accuracy = 25.00%
Epoch: 055 | Train Loss 1.92 | Train Accuracy = 45.00% | Valid Loss 2.84 | Valid Accuracy = 25.00%
Epoch: 056 | Train Loss 2.09 | Train Accuracy = 42.50% | Valid Loss 2.83 | Valid Accuracy = 24.14%
Epoch: 057 | Train Loss 1.90 | Train Accuracy = 49.06% | Valid Loss 2.83 | Valid Accuracy = 25.00%
Epoch: 058 | Train Loss 1.80 | Train Accuracy = 45.94% | Valid Loss 2.83 | Valid Accuracy = 24.14%
Epoch: 059 | Train Loss 1.75 | Train Accuracy = 52.19% | Valid Loss 2.88 | Valid Accuracy = 24.14%
Epoch: 060 | Train Loss 1.87 | Train Accuracy = 45.00% | Valid Loss 2.89 | Valid Accuracy = 23.28%
Epoch: 061 | Train Loss 1.78 | Train Accuracy = 50.31% | Valid Loss 2.86 | Valid Accuracy = 24.14%
Epoch: 062 | Train Loss 1.87 | Train Accuracy = 48.44% | Valid Loss 2.91 | Valid Accuracy = 24.14%
Epoch: 063 | Train Loss 1.75 | Train Accuracy = 53.12% | Valid Loss 2.88 | Valid Accuracy = 25.00%
Epoch: 064 | Train Loss 1.92 | Train Accuracy = 48.44% | Valid Loss 2.86 | Valid Accuracy = 25.00%
Epoch: 065 | Train Loss 1.74 | Train Accuracy = 50.00% | Valid Loss 2.90 | Valid Accuracy = 24.14%
Epoch: 066 | Train Loss 1.76 | Train Accuracy = 48.12% | Valid Loss 2.87 | Valid Accuracy = 25.00%
Epoch: 067 | Train Loss 1.66 | Train Accuracy = 52.81% | Valid Loss 2.94 | Valid Accuracy = 26.72%
Epoch: 068 | Train Loss 1.79 | Train Accuracy = 52.19% | Valid Loss 2.99 | Valid Accuracy = 25.86%
Epoch: 069 | Train Loss 1.80 | Train Accuracy = 49.69% | Valid Loss 2.96 | Valid Accuracy = 25.86%
Epoch: 070 | Train Loss 1.65 | Train Accuracy = 54.37% | Valid Loss 2.95 | Valid Accuracy = 23.28%
Epoch: 071 | Train Loss 1.75 | Train Accuracy = 48.75% | Valid Loss 2.97 | Valid Accuracy = 26.72%
Epoch: 072 | Train Loss 1.79 | Train Accuracy = 50.62% | Valid Loss 3.01 | Valid Accuracy = 24.14%
Epoch: 073 | Train Loss 1.66 | Train Accuracy = 53.75% | Valid Loss 2.99 | Valid Accuracy = 23.28%
Epoch: 074 | Train Loss 1.78 | Train Accuracy = 48.75% | Valid Loss 2.97 | Valid Accuracy = 25.86%
Epoch: 075 | Train Loss 1.72 | Train Accuracy = 50.31% | Valid Loss 2.99 | Valid Accuracy = 26.72%
Epoch: 076 | Train Loss 1.69 | Train Accuracy = 53.12% | Valid Loss 3.02 | Valid Accuracy = 25.86%
Epoch: 077 | Train Loss 1.80 | Train Accuracy = 44.06% | Valid Loss 3.01 | Valid Accuracy = 25.86%
Epoch: 078 | Train Loss 1.65 | Train Accuracy = 54.06% | Valid Loss 3.01 | Valid Accuracy = 24.14%
Epoch: 079 | Train Loss 1.51 | Train Accuracy = 58.13% | Valid Loss 2.99 | Valid Accuracy = 25.00%
Epoch: 080 | Train Loss 1.70 | Train Accuracy = 51.88% | Valid Loss 3.02 | Valid Accuracy = 24.14%
Epoch: 081 | Train Loss 1.72 | Train Accuracy = 51.56% | Valid Loss 3.03 | Valid Accuracy = 24.14%
Epoch: 082 | Train Loss 1.54 | Train Accuracy = 55.94% | Valid Loss 3.14 | Valid Accuracy = 24.14%
Epoch: 083 | Train Loss 1.58 | Train Accuracy = 54.37% | Valid Loss 3.04 | Valid Accuracy = 23.28%
Epoch: 084 | Train Loss 1.52 | Train Accuracy = 56.56% | Valid Loss 3.01 | Valid Accuracy = 24.14%
Epoch: 085 | Train Loss 1.65 | Train Accuracy = 53.12% | Valid Loss 3.22 | Valid Accuracy = 24.14%
Epoch: 086 | Train Loss 1.54 | Train Accuracy = 55.62% | Valid Loss 3.10 | Valid Accuracy = 27.59%
Epoch: 087 | Train Loss 1.59 | Train Accuracy = 50.31% | Valid Loss 3.03 | Valid Accuracy = 27.59%
Epoch: 088 | Train Loss 1.44 | Train Accuracy = 60.94% | Valid Loss 3.09 | Valid Accuracy = 25.00%
Epoch: 089 | Train Loss 1.53 | Train Accuracy = 53.12% | Valid Loss 3.10 | Valid Accuracy = 23.28%
Epoch: 090 | Train Loss 1.57 | Train Accuracy = 55.62% | Valid Loss 3.16 | Valid Accuracy = 25.86%
Epoch: 091 | Train Loss 1.48 | Train Accuracy = 56.88% | Valid Loss 3.12 | Valid Accuracy = 25.86%
Epoch: 092 | Train Loss 1.59 | Train Accuracy = 54.69% | Valid Loss 3.09 | Valid Accuracy = 25.86%
Epoch: 093 | Train Loss 1.45 | Train Accuracy = 57.81% | Valid Loss 3.23 | Valid Accuracy = 28.45%
Epoch: 094 | Train Loss 1.42 | Train Accuracy = 60.31% | Valid Loss 3.16 | Valid Accuracy = 26.72%
Epoch: 095 | Train Loss 1.40 | Train Accuracy = 59.38% | Valid Loss 3.09 | Valid Accuracy = 25.86%
Epoch: 096 | Train Loss 1.42 | Train Accuracy = 58.44% | Valid Loss 3.18 | Valid Accuracy = 25.86%
Epoch: 097 | Train Loss 1.51 | Train Accuracy = 58.13% | Valid Loss 3.19 | Valid Accuracy = 25.86%
Epoch: 098 | Train Loss 1.49 | Train Accuracy = 56.25% | Valid Loss 3.06 | Valid Accuracy = 27.59%
Epoch: 099 | Train Loss 1.51 | Train Accuracy = 55.31% | Valid Loss 3.06 | Valid Accuracy = 28.45%
Epoch: 100 | Train Loss 1.54 | Train Accuracy = 57.19% | Valid Loss 3.07 | Valid Accuracy = 25.86%
Epoch: 101 | Train Loss 1.44 | Train Accuracy = 58.75% | Valid Loss 3.07 | Valid Accuracy = 25.86%
Epoch: 102 | Train Loss 1.45 | Train Accuracy = 57.81% | Valid Loss 3.08 | Valid Accuracy = 25.86%
Epoch: 103 | Train Loss 1.38 | Train Accuracy = 63.12% | Valid Loss 3.08 | Valid Accuracy = 25.86%
Epoch: 104 | Train Loss 1.48 | Train Accuracy = 60.62% | Valid Loss 3.09 | Valid Accuracy = 26.72%
Epoch: 105 | Train Loss 1.40 | Train Accuracy = 58.75% | Valid Loss 3.10 | Valid Accuracy = 26.72%
Epoch: 106 | Train Loss 1.35 | Train Accuracy = 57.19% | Valid Loss 3.10 | Valid Accuracy = 26.72%
Epoch: 107 | Train Loss 1.52 | Train Accuracy = 56.88% | Valid Loss 3.11 | Valid Accuracy = 26.72%
Epoch: 108 | Train Loss 1.39 | Train Accuracy = 59.69% | Valid Loss 3.12 | Valid Accuracy = 26.72%
Epoch: 109 | Train Loss 1.42 | Train Accuracy = 58.75% | Valid Loss 3.12 | Valid Accuracy = 26.72%
Epoch: 110 | Train Loss 1.50 | Train Accuracy = 60.62% | Valid Loss 3.12 | Valid Accuracy = 27.59%
Epoch: 111 | Train Loss 1.38 | Train Accuracy = 63.44% | Valid Loss 3.12 | Valid Accuracy = 27.59%
Epoch: 112 | Train Loss 1.48 | Train Accuracy = 58.75% | Valid Loss 3.13 | Valid Accuracy = 27.59%
Epoch: 113 | Train Loss 1.33 | Train Accuracy = 61.25% | Valid Loss 3.14 | Valid Accuracy = 27.59%
Epoch: 114 | Train Loss 1.46 | Train Accuracy = 57.81% | Valid Loss 3.14 | Valid Accuracy = 27.59%
Epoch: 115 | Train Loss 1.40 | Train Accuracy = 59.06% | Valid Loss 3.14 | Valid Accuracy = 27.59%
Epoch: 116 | Train Loss 1.39 | Train Accuracy = 61.25% | Valid Loss 3.14 | Valid Accuracy = 27.59%
Epoch: 117 | Train Loss 1.33 | Train Accuracy = 64.06% | Valid Loss 3.13 | Valid Accuracy = 27.59%
Epoch: 118 | Train Loss 1.36 | Train Accuracy = 58.44% | Valid Loss 3.13 | Valid Accuracy = 27.59%
Epoch: 119 | Train Loss 1.34 | Train Accuracy = 63.44% | Valid Loss 3.13 | Valid Accuracy = 27.59%
Epoch: 120 | Train Loss 1.38 | Train Accuracy = 59.06% | Valid Loss 3.13 | Valid Accuracy = 27.59%
Max valid accuracy = 28.45%
