Epoch: 001 | Train Loss 4.10 | Train Accuracy = 03.75% | Valid Loss 4.03 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.11 | Train Accuracy = 04.06% | Valid Loss 3.97 | Valid Accuracy = 06.03%
Epoch: 003 | Train Loss 4.09 | Train Accuracy = 04.69% | Valid Loss 3.97 | Valid Accuracy = 06.03%
Epoch: 004 | Train Loss 4.02 | Train Accuracy = 05.94% | Valid Loss 3.93 | Valid Accuracy = 06.03%
Epoch: 005 | Train Loss 3.99 | Train Accuracy = 05.94% | Valid Loss 3.95 | Valid Accuracy = 06.03%
Epoch: 006 | Train Loss 3.98 | Train Accuracy = 04.69% | Valid Loss 3.93 | Valid Accuracy = 09.48%
Epoch: 007 | Train Loss 3.99 | Train Accuracy = 04.06% | Valid Loss 3.96 | Valid Accuracy = 05.17%
Epoch: 008 | Train Loss 4.01 | Train Accuracy = 03.44% | Valid Loss 3.90 | Valid Accuracy = 07.76%
Epoch: 009 | Train Loss 3.97 | Train Accuracy = 06.88% | Valid Loss 3.87 | Valid Accuracy = 05.17%
Epoch: 010 | Train Loss 3.89 | Train Accuracy = 06.56% | Valid Loss 3.83 | Valid Accuracy = 05.17%
Epoch: 011 | Train Loss 3.83 | Train Accuracy = 09.69% | Valid Loss 3.69 | Valid Accuracy = 09.48%
Epoch: 012 | Train Loss 3.80 | Train Accuracy = 08.12% | Valid Loss 3.68 | Valid Accuracy = 14.66%
Epoch: 013 | Train Loss 3.72 | Train Accuracy = 09.38% | Valid Loss 3.65 | Valid Accuracy = 12.93%
Epoch: 014 | Train Loss 3.76 | Train Accuracy = 11.56% | Valid Loss 3.56 | Valid Accuracy = 12.07%
Epoch: 015 | Train Loss 3.69 | Train Accuracy = 11.88% | Valid Loss 3.50 | Valid Accuracy = 13.79%
Epoch: 016 | Train Loss 3.59 | Train Accuracy = 13.44% | Valid Loss 3.47 | Valid Accuracy = 11.21%
Epoch: 017 | Train Loss 3.51 | Train Accuracy = 11.25% | Valid Loss 3.43 | Valid Accuracy = 18.10%
Epoch: 018 | Train Loss 3.53 | Train Accuracy = 14.06% | Valid Loss 3.48 | Valid Accuracy = 12.93%
Epoch: 019 | Train Loss 3.49 | Train Accuracy = 16.56% | Valid Loss 3.49 | Valid Accuracy = 15.52%
Epoch: 020 | Train Loss 3.43 | Train Accuracy = 15.62% | Valid Loss 3.31 | Valid Accuracy = 14.66%
Epoch: 021 | Train Loss 3.34 | Train Accuracy = 18.12% | Valid Loss 3.30 | Valid Accuracy = 14.66%
Epoch: 022 | Train Loss 3.27 | Train Accuracy = 16.56% | Valid Loss 3.19 | Valid Accuracy = 14.66%
Epoch: 023 | Train Loss 3.33 | Train Accuracy = 17.81% | Valid Loss 3.32 | Valid Accuracy = 17.24%
Epoch: 024 | Train Loss 3.25 | Train Accuracy = 20.31% | Valid Loss 3.22 | Valid Accuracy = 16.38%
Epoch: 025 | Train Loss 3.23 | Train Accuracy = 19.38% | Valid Loss 3.10 | Valid Accuracy = 17.24%
Epoch: 026 | Train Loss 3.17 | Train Accuracy = 18.12% | Valid Loss 3.08 | Valid Accuracy = 16.38%
Epoch: 027 | Train Loss 3.08 | Train Accuracy = 22.50% | Valid Loss 3.09 | Valid Accuracy = 18.97%
Epoch: 028 | Train Loss 3.01 | Train Accuracy = 25.94% | Valid Loss 2.96 | Valid Accuracy = 18.97%
Epoch: 029 | Train Loss 2.94 | Train Accuracy = 22.19% | Valid Loss 2.96 | Valid Accuracy = 18.10%
Epoch: 030 | Train Loss 2.98 | Train Accuracy = 21.25% | Valid Loss 3.01 | Valid Accuracy = 21.55%
Epoch: 031 | Train Loss 2.87 | Train Accuracy = 23.12% | Valid Loss 3.11 | Valid Accuracy = 23.28%
Epoch: 032 | Train Loss 2.84 | Train Accuracy = 26.88% | Valid Loss 3.22 | Valid Accuracy = 20.69%
Epoch: 033 | Train Loss 2.81 | Train Accuracy = 24.06% | Valid Loss 3.03 | Valid Accuracy = 19.83%
Epoch: 034 | Train Loss 2.89 | Train Accuracy = 23.12% | Valid Loss 3.00 | Valid Accuracy = 18.10%
Epoch: 035 | Train Loss 2.77 | Train Accuracy = 27.50% | Valid Loss 2.93 | Valid Accuracy = 22.41%
Epoch: 036 | Train Loss 2.80 | Train Accuracy = 30.00% | Valid Loss 2.81 | Valid Accuracy = 25.00%
Epoch: 037 | Train Loss 2.65 | Train Accuracy = 29.38% | Valid Loss 3.03 | Valid Accuracy = 25.86%
Epoch: 038 | Train Loss 2.63 | Train Accuracy = 30.31% | Valid Loss 2.93 | Valid Accuracy = 18.97%
Epoch: 039 | Train Loss 2.75 | Train Accuracy = 25.00% | Valid Loss 2.94 | Valid Accuracy = 18.10%
Epoch: 040 | Train Loss 2.42 | Train Accuracy = 36.25% | Valid Loss 3.09 | Valid Accuracy = 19.83%
