Epoch: 001 | Train Loss 2.42 | Train Accuracy = 31.87% | Valid Loss 2.94 | Valid Accuracy = 30.17%
Epoch: 002 | Train Loss 2.18 | Train Accuracy = 38.44% | Valid Loss 2.84 | Valid Accuracy = 29.31%
Epoch: 003 | Train Loss 2.09 | Train Accuracy = 43.75% | Valid Loss 2.92 | Valid Accuracy = 24.14%
Epoch: 004 | Train Loss 2.08 | Train Accuracy = 40.94% | Valid Loss 2.90 | Valid Accuracy = 19.83%
Epoch: 005 | Train Loss 1.93 | Train Accuracy = 46.25% | Valid Loss 2.68 | Valid Accuracy = 25.00%
Epoch: 006 | Train Loss 1.94 | Train Accuracy = 46.25% | Valid Loss 2.71 | Valid Accuracy = 31.90%
Epoch: 007 | Train Loss 1.92 | Train Accuracy = 46.56% | Valid Loss 2.59 | Valid Accuracy = 26.72%
Epoch: 008 | Train Loss 2.00 | Train Accuracy = 42.81% | Valid Loss 2.71 | Valid Accuracy = 29.31%
Epoch: 009 | Train Loss 1.92 | Train Accuracy = 48.75% | Valid Loss 2.59 | Valid Accuracy = 31.90%
Epoch: 010 | Train Loss 1.89 | Train Accuracy = 47.81% | Valid Loss 2.69 | Valid Accuracy = 25.86%
Epoch: 011 | Train Loss 2.00 | Train Accuracy = 43.75% | Valid Loss 2.68 | Valid Accuracy = 24.14%
Epoch: 012 | Train Loss 1.82 | Train Accuracy = 51.88% | Valid Loss 2.81 | Valid Accuracy = 23.28%
Epoch: 013 | Train Loss 1.85 | Train Accuracy = 49.06% | Valid Loss 2.85 | Valid Accuracy = 23.28%
Epoch: 014 | Train Loss 1.92 | Train Accuracy = 49.06% | Valid Loss 2.92 | Valid Accuracy = 27.59%
Epoch: 015 | Train Loss 1.85 | Train Accuracy = 46.88% | Valid Loss 2.68 | Valid Accuracy = 26.72%
Epoch: 016 | Train Loss 1.85 | Train Accuracy = 47.19% | Valid Loss 2.55 | Valid Accuracy = 29.31%
Epoch: 017 | Train Loss 1.66 | Train Accuracy = 52.19% | Valid Loss 2.93 | Valid Accuracy = 25.86%
Epoch: 018 | Train Loss 1.71 | Train Accuracy = 52.81% | Valid Loss 2.75 | Valid Accuracy = 26.72%
Epoch: 019 | Train Loss 1.69 | Train Accuracy = 51.56% | Valid Loss 2.75 | Valid Accuracy = 30.17%
Epoch: 020 | Train Loss 1.80 | Train Accuracy = 47.50% | Valid Loss 2.73 | Valid Accuracy = 27.59%
Epoch: 021 | Train Loss 1.75 | Train Accuracy = 50.62% | Valid Loss 2.66 | Valid Accuracy = 30.17%
Epoch: 022 | Train Loss 1.64 | Train Accuracy = 55.62% | Valid Loss 2.73 | Valid Accuracy = 26.72%
Epoch: 023 | Train Loss 1.55 | Train Accuracy = 55.94% | Valid Loss 2.99 | Valid Accuracy = 19.83%
Epoch: 024 | Train Loss 1.61 | Train Accuracy = 54.06% | Valid Loss 2.74 | Valid Accuracy = 25.00%
Epoch: 025 | Train Loss 1.55 | Train Accuracy = 57.19% | Valid Loss 2.87 | Valid Accuracy = 26.72%
Epoch: 026 | Train Loss 1.61 | Train Accuracy = 51.88% | Valid Loss 2.73 | Valid Accuracy = 26.72%
Epoch: 027 | Train Loss 1.65 | Train Accuracy = 54.06% | Valid Loss 2.76 | Valid Accuracy = 27.59%
Epoch: 028 | Train Loss 1.70 | Train Accuracy = 54.37% | Valid Loss 2.66 | Valid Accuracy = 31.90%
Epoch: 029 | Train Loss 1.62 | Train Accuracy = 53.75% | Valid Loss 2.81 | Valid Accuracy = 25.86%
Epoch: 030 | Train Loss 1.56 | Train Accuracy = 56.56% | Valid Loss 2.68 | Valid Accuracy = 31.03%
Epoch: 031 | Train Loss 1.46 | Train Accuracy = 61.25% | Valid Loss 2.75 | Valid Accuracy = 27.59%
Epoch: 032 | Train Loss 1.49 | Train Accuracy = 55.31% | Valid Loss 2.64 | Valid Accuracy = 31.03%
Epoch: 033 | Train Loss 1.43 | Train Accuracy = 58.75% | Valid Loss 2.62 | Valid Accuracy = 30.17%
Epoch: 034 | Train Loss 1.38 | Train Accuracy = 64.38% | Valid Loss 2.62 | Valid Accuracy = 31.03%
Epoch: 035 | Train Loss 1.43 | Train Accuracy = 60.00% | Valid Loss 2.64 | Valid Accuracy = 29.31%
Epoch: 036 | Train Loss 1.34 | Train Accuracy = 61.88% | Valid Loss 2.69 | Valid Accuracy = 26.72%
Epoch: 037 | Train Loss 1.34 | Train Accuracy = 60.62% | Valid Loss 2.67 | Valid Accuracy = 26.72%
Epoch: 038 | Train Loss 1.22 | Train Accuracy = 64.38% | Valid Loss 2.66 | Valid Accuracy = 29.31%
Epoch: 039 | Train Loss 1.32 | Train Accuracy = 57.50% | Valid Loss 2.71 | Valid Accuracy = 28.45%
Epoch: 040 | Train Loss 1.34 | Train Accuracy = 61.88% | Valid Loss 2.68 | Valid Accuracy = 29.31%
Epoch: 041 | Train Loss 1.34 | Train Accuracy = 57.50% | Valid Loss 2.71 | Valid Accuracy = 26.72%
Epoch: 042 | Train Loss 1.29 | Train Accuracy = 64.06% | Valid Loss 2.80 | Valid Accuracy = 25.86%
Epoch: 043 | Train Loss 1.30 | Train Accuracy = 62.50% | Valid Loss 2.65 | Valid Accuracy = 29.31%
Epoch: 044 | Train Loss 1.19 | Train Accuracy = 64.69% | Valid Loss 2.69 | Valid Accuracy = 28.45%
Epoch: 045 | Train Loss 1.32 | Train Accuracy = 60.31% | Valid Loss 2.71 | Valid Accuracy = 29.31%
Epoch: 046 | Train Loss 1.22 | Train Accuracy = 65.31% | Valid Loss 2.75 | Valid Accuracy = 28.45%
Epoch: 047 | Train Loss 1.31 | Train Accuracy = 61.56% | Valid Loss 2.72 | Valid Accuracy = 30.17%
Epoch: 048 | Train Loss 1.28 | Train Accuracy = 62.81% | Valid Loss 2.73 | Valid Accuracy = 29.31%
Epoch: 049 | Train Loss 1.38 | Train Accuracy = 61.56% | Valid Loss 2.64 | Valid Accuracy = 28.45%
Epoch: 050 | Train Loss 1.30 | Train Accuracy = 62.81% | Valid Loss 2.69 | Valid Accuracy = 27.59%
Epoch: 051 | Train Loss 1.28 | Train Accuracy = 64.06% | Valid Loss 2.67 | Valid Accuracy = 27.59%
Epoch: 052 | Train Loss 1.24 | Train Accuracy = 66.56% | Valid Loss 2.64 | Valid Accuracy = 29.31%
Epoch: 053 | Train Loss 1.20 | Train Accuracy = 65.31% | Valid Loss 2.68 | Valid Accuracy = 25.86%
Epoch: 054 | Train Loss 1.25 | Train Accuracy = 61.88% | Valid Loss 2.70 | Valid Accuracy = 26.72%
Epoch: 055 | Train Loss 1.29 | Train Accuracy = 65.00% | Valid Loss 2.67 | Valid Accuracy = 28.45%
Epoch: 056 | Train Loss 1.17 | Train Accuracy = 68.12% | Valid Loss 2.64 | Valid Accuracy = 28.45%
Epoch: 057 | Train Loss 1.22 | Train Accuracy = 66.56% | Valid Loss 2.67 | Valid Accuracy = 27.59%
Epoch: 058 | Train Loss 1.28 | Train Accuracy = 63.44% | Valid Loss 2.68 | Valid Accuracy = 27.59%
Epoch: 059 | Train Loss 1.20 | Train Accuracy = 63.44% | Valid Loss 2.69 | Valid Accuracy = 28.45%
Epoch: 060 | Train Loss 1.25 | Train Accuracy = 65.00% | Valid Loss 2.73 | Valid Accuracy = 28.45%
Epoch: 061 | Train Loss 1.21 | Train Accuracy = 64.06% | Valid Loss 2.76 | Valid Accuracy = 27.59%
Epoch: 062 | Train Loss 1.21 | Train Accuracy = 63.44% | Valid Loss 2.71 | Valid Accuracy = 26.72%
Epoch: 063 | Train Loss 1.24 | Train Accuracy = 66.88% | Valid Loss 2.67 | Valid Accuracy = 28.45%
Epoch: 064 | Train Loss 1.13 | Train Accuracy = 66.88% | Valid Loss 2.74 | Valid Accuracy = 28.45%
Epoch: 065 | Train Loss 1.13 | Train Accuracy = 70.94% | Valid Loss 2.75 | Valid Accuracy = 27.59%
Epoch: 066 | Train Loss 1.17 | Train Accuracy = 67.50% | Valid Loss 2.76 | Valid Accuracy = 26.72%
Epoch: 067 | Train Loss 1.18 | Train Accuracy = 66.56% | Valid Loss 2.76 | Valid Accuracy = 28.45%
Epoch: 068 | Train Loss 1.15 | Train Accuracy = 67.19% | Valid Loss 2.76 | Valid Accuracy = 27.59%
Epoch: 069 | Train Loss 1.27 | Train Accuracy = 63.75% | Valid Loss 2.78 | Valid Accuracy = 26.72%
Epoch: 070 | Train Loss 1.11 | Train Accuracy = 71.25% | Valid Loss 2.80 | Valid Accuracy = 25.86%
Epoch: 071 | Train Loss 1.30 | Train Accuracy = 64.38% | Valid Loss 2.76 | Valid Accuracy = 26.72%
Epoch: 072 | Train Loss 1.23 | Train Accuracy = 65.62% | Valid Loss 2.72 | Valid Accuracy = 26.72%
Epoch: 073 | Train Loss 1.23 | Train Accuracy = 65.62% | Valid Loss 2.73 | Valid Accuracy = 28.45%
Epoch: 074 | Train Loss 1.25 | Train Accuracy = 65.00% | Valid Loss 2.71 | Valid Accuracy = 30.17%
Epoch: 075 | Train Loss 1.21 | Train Accuracy = 63.75% | Valid Loss 2.75 | Valid Accuracy = 27.59%
Epoch: 076 | Train Loss 1.34 | Train Accuracy = 61.56% | Valid Loss 2.76 | Valid Accuracy = 26.72%
Epoch: 077 | Train Loss 1.18 | Train Accuracy = 64.69% | Valid Loss 2.77 | Valid Accuracy = 25.86%
Epoch: 078 | Train Loss 1.12 | Train Accuracy = 68.75% | Valid Loss 2.78 | Valid Accuracy = 25.86%
Epoch: 079 | Train Loss 1.14 | Train Accuracy = 67.19% | Valid Loss 2.77 | Valid Accuracy = 25.86%
Epoch: 080 | Train Loss 1.21 | Train Accuracy = 64.69% | Valid Loss 2.76 | Valid Accuracy = 25.86%
Epoch: 081 | Train Loss 1.22 | Train Accuracy = 65.31% | Valid Loss 2.75 | Valid Accuracy = 29.31%
Epoch: 082 | Train Loss 1.24 | Train Accuracy = 66.88% | Valid Loss 2.74 | Valid Accuracy = 29.31%
Epoch: 083 | Train Loss 1.12 | Train Accuracy = 65.31% | Valid Loss 2.74 | Valid Accuracy = 29.31%
Epoch: 084 | Train Loss 1.18 | Train Accuracy = 66.25% | Valid Loss 2.75 | Valid Accuracy = 30.17%
Epoch: 085 | Train Loss 1.21 | Train Accuracy = 65.31% | Valid Loss 2.77 | Valid Accuracy = 28.45%
