Epoch: 001 | Train Loss 2.32 | Train Accuracy = 37.50% | Valid Loss 2.94 | Valid Accuracy = 24.14%
Epoch: 002 | Train Loss 2.33 | Train Accuracy = 35.00% | Valid Loss 2.70 | Valid Accuracy = 31.90%
Epoch: 003 | Train Loss 2.17 | Train Accuracy = 40.62% | Valid Loss 3.16 | Valid Accuracy = 25.00%
Epoch: 004 | Train Loss 2.11 | Train Accuracy = 42.50% | Valid Loss 2.74 | Valid Accuracy = 31.03%
Epoch: 005 | Train Loss 2.15 | Train Accuracy = 40.94% | Valid Loss 2.86 | Valid Accuracy = 25.86%
Epoch: 006 | Train Loss 2.00 | Train Accuracy = 40.31% | Valid Loss 2.81 | Valid Accuracy = 30.17%
Epoch: 007 | Train Loss 2.14 | Train Accuracy = 41.88% | Valid Loss 2.78 | Valid Accuracy = 27.59%
Epoch: 008 | Train Loss 2.04 | Train Accuracy = 43.75% | Valid Loss 3.02 | Valid Accuracy = 22.41%
Epoch: 009 | Train Loss 1.90 | Train Accuracy = 48.12% | Valid Loss 2.81 | Valid Accuracy = 28.45%
Epoch: 010 | Train Loss 1.97 | Train Accuracy = 45.31% | Valid Loss 2.77 | Valid Accuracy = 30.17%
Epoch: 011 | Train Loss 1.98 | Train Accuracy = 42.19% | Valid Loss 2.76 | Valid Accuracy = 28.45%
Epoch: 012 | Train Loss 1.88 | Train Accuracy = 45.94% | Valid Loss 2.68 | Valid Accuracy = 28.45%
Epoch: 013 | Train Loss 1.93 | Train Accuracy = 45.31% | Valid Loss 2.64 | Valid Accuracy = 33.62%
Epoch: 014 | Train Loss 1.69 | Train Accuracy = 53.44% | Valid Loss 2.74 | Valid Accuracy = 23.28%
Epoch: 015 | Train Loss 1.81 | Train Accuracy = 47.50% | Valid Loss 2.75 | Valid Accuracy = 31.03%
Epoch: 016 | Train Loss 1.87 | Train Accuracy = 46.25% | Valid Loss 2.96 | Valid Accuracy = 25.00%
Epoch: 017 | Train Loss 1.83 | Train Accuracy = 45.94% | Valid Loss 2.78 | Valid Accuracy = 25.00%
Epoch: 018 | Train Loss 1.83 | Train Accuracy = 51.88% | Valid Loss 3.10 | Valid Accuracy = 24.14%
Epoch: 019 | Train Loss 1.82 | Train Accuracy = 49.38% | Valid Loss 2.77 | Valid Accuracy = 21.55%
Epoch: 020 | Train Loss 1.70 | Train Accuracy = 51.25% | Valid Loss 2.53 | Valid Accuracy = 29.31%
Epoch: 021 | Train Loss 1.65 | Train Accuracy = 53.75% | Valid Loss 2.51 | Valid Accuracy = 31.90%
Epoch: 022 | Train Loss 1.66 | Train Accuracy = 50.31% | Valid Loss 2.68 | Valid Accuracy = 26.72%
Epoch: 023 | Train Loss 1.58 | Train Accuracy = 56.56% | Valid Loss 3.02 | Valid Accuracy = 29.31%
Epoch: 024 | Train Loss 1.59 | Train Accuracy = 54.69% | Valid Loss 2.67 | Valid Accuracy = 27.59%
Epoch: 025 | Train Loss 1.71 | Train Accuracy = 53.12% | Valid Loss 2.57 | Valid Accuracy = 31.90%
Epoch: 026 | Train Loss 1.58 | Train Accuracy = 56.88% | Valid Loss 2.63 | Valid Accuracy = 26.72%
