Epoch: 001 | Train Loss 4.10 | Train Accuracy = 03.44% | Valid Loss 4.01 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.07 | Train Accuracy = 04.69% | Valid Loss 3.99 | Valid Accuracy = 06.03%
Epoch: 003 | Train Loss 4.02 | Train Accuracy = 05.31% | Valid Loss 4.03 | Valid Accuracy = 06.90%
Epoch: 004 | Train Loss 4.05 | Train Accuracy = 04.69% | Valid Loss 3.94 | Valid Accuracy = 06.03%
Epoch: 005 | Train Loss 3.99 | Train Accuracy = 05.00% | Valid Loss 3.92 | Valid Accuracy = 04.31%
Epoch: 006 | Train Loss 3.99 | Train Accuracy = 04.69% | Valid Loss 3.89 | Valid Accuracy = 06.03%
Epoch: 007 | Train Loss 3.91 | Train Accuracy = 05.31% | Valid Loss 3.96 | Valid Accuracy = 06.90%
Epoch: 008 | Train Loss 3.84 | Train Accuracy = 08.75% | Valid Loss 3.79 | Valid Accuracy = 08.62%
Epoch: 009 | Train Loss 3.81 | Train Accuracy = 08.75% | Valid Loss 3.83 | Valid Accuracy = 09.48%
Epoch: 010 | Train Loss 3.79 | Train Accuracy = 05.94% | Valid Loss 3.77 | Valid Accuracy = 11.21%
Epoch: 011 | Train Loss 3.78 | Train Accuracy = 07.19% | Valid Loss 3.89 | Valid Accuracy = 02.59%
Epoch: 012 | Train Loss 3.74 | Train Accuracy = 06.25% | Valid Loss 3.88 | Valid Accuracy = 09.48%
Epoch: 013 | Train Loss 3.67 | Train Accuracy = 06.56% | Valid Loss 3.79 | Valid Accuracy = 10.34%
Epoch: 014 | Train Loss 3.76 | Train Accuracy = 09.06% | Valid Loss 3.72 | Valid Accuracy = 12.07%
Epoch: 015 | Train Loss 3.63 | Train Accuracy = 10.62% | Valid Loss 3.79 | Valid Accuracy = 07.76%
Epoch: 016 | Train Loss 3.58 | Train Accuracy = 11.56% | Valid Loss 3.67 | Valid Accuracy = 10.34%
Epoch: 017 | Train Loss 3.67 | Train Accuracy = 08.44% | Valid Loss 3.62 | Valid Accuracy = 12.07%
Epoch: 018 | Train Loss 3.65 | Train Accuracy = 10.31% | Valid Loss 3.72 | Valid Accuracy = 07.76%
Epoch: 019 | Train Loss 3.52 | Train Accuracy = 11.25% | Valid Loss 3.62 | Valid Accuracy = 10.34%
Epoch: 020 | Train Loss 3.41 | Train Accuracy = 12.81% | Valid Loss 3.74 | Valid Accuracy = 12.07%
Epoch: 021 | Train Loss 3.51 | Train Accuracy = 09.38% | Valid Loss 3.55 | Valid Accuracy = 13.79%
Epoch: 022 | Train Loss 3.42 | Train Accuracy = 12.50% | Valid Loss 3.58 | Valid Accuracy = 11.21%
Epoch: 023 | Train Loss 3.37 | Train Accuracy = 13.75% | Valid Loss 3.56 | Valid Accuracy = 09.48%
Epoch: 024 | Train Loss 3.28 | Train Accuracy = 15.62% | Valid Loss 3.49 | Valid Accuracy = 14.66%
Epoch: 025 | Train Loss 3.31 | Train Accuracy = 17.19% | Valid Loss 3.50 | Valid Accuracy = 12.07%
Epoch: 026 | Train Loss 3.23 | Train Accuracy = 16.56% | Valid Loss 3.50 | Valid Accuracy = 12.07%
Epoch: 027 | Train Loss 3.24 | Train Accuracy = 17.50% | Valid Loss 3.48 | Valid Accuracy = 12.07%
Epoch: 028 | Train Loss 3.19 | Train Accuracy = 20.31% | Valid Loss 3.41 | Valid Accuracy = 13.79%
