Epoch: 001 | Train Loss 4.09 | Train Accuracy = 03.12% | Valid Loss 3.99 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.09 | Train Accuracy = 04.38% | Valid Loss 4.02 | Valid Accuracy = 06.03%
Epoch: 003 | Train Loss 4.02 | Train Accuracy = 04.38% | Valid Loss 4.02 | Valid Accuracy = 06.03%
Epoch: 004 | Train Loss 4.00 | Train Accuracy = 05.31% | Valid Loss 4.01 | Valid Accuracy = 04.31%
Epoch: 005 | Train Loss 4.00 | Train Accuracy = 06.25% | Valid Loss 3.93 | Valid Accuracy = 05.17%
Epoch: 006 | Train Loss 3.90 | Train Accuracy = 07.81% | Valid Loss 3.88 | Valid Accuracy = 07.76%
Epoch: 007 | Train Loss 3.91 | Train Accuracy = 10.31% | Valid Loss 3.92 | Valid Accuracy = 08.62%
Epoch: 008 | Train Loss 3.81 | Train Accuracy = 08.12% | Valid Loss 3.90 | Valid Accuracy = 06.03%
Epoch: 009 | Train Loss 3.84 | Train Accuracy = 07.19% | Valid Loss 3.94 | Valid Accuracy = 04.31%
Epoch: 010 | Train Loss 3.86 | Train Accuracy = 06.88% | Valid Loss 3.87 | Valid Accuracy = 07.76%
Epoch: 011 | Train Loss 3.76 | Train Accuracy = 07.81% | Valid Loss 3.87 | Valid Accuracy = 08.62%
Epoch: 012 | Train Loss 3.75 | Train Accuracy = 09.69% | Valid Loss 3.80 | Valid Accuracy = 06.03%
Epoch: 013 | Train Loss 3.64 | Train Accuracy = 08.75% | Valid Loss 3.80 | Valid Accuracy = 12.07%
Epoch: 014 | Train Loss 3.63 | Train Accuracy = 09.69% | Valid Loss 4.00 | Valid Accuracy = 07.76%
Epoch: 015 | Train Loss 3.61 | Train Accuracy = 11.88% | Valid Loss 3.94 | Valid Accuracy = 07.76%
Epoch: 016 | Train Loss 3.66 | Train Accuracy = 07.81% | Valid Loss 3.87 | Valid Accuracy = 06.90%
Epoch: 017 | Train Loss 3.69 | Train Accuracy = 08.75% | Valid Loss 3.81 | Valid Accuracy = 07.76%
