Epoch: 001 | Train Loss 2.92 | Train Accuracy = 24.06% | Valid Loss 2.95 | Valid Accuracy = 26.72%
Epoch: 002 | Train Loss 2.51 | Train Accuracy = 33.75% | Valid Loss 2.84 | Valid Accuracy = 29.31%
Epoch: 003 | Train Loss 2.42 | Train Accuracy = 35.00% | Valid Loss 2.89 | Valid Accuracy = 27.59%
Epoch: 004 | Train Loss 2.40 | Train Accuracy = 34.38% | Valid Loss 2.87 | Valid Accuracy = 27.59%
Epoch: 005 | Train Loss 2.31 | Train Accuracy = 35.62% | Valid Loss 2.88 | Valid Accuracy = 26.72%
Epoch: 006 | Train Loss 2.25 | Train Accuracy = 35.62% | Valid Loss 2.85 | Valid Accuracy = 29.31%
Epoch: 007 | Train Loss 2.23 | Train Accuracy = 38.75% | Valid Loss 2.86 | Valid Accuracy = 26.72%
Epoch: 008 | Train Loss 2.24 | Train Accuracy = 36.56% | Valid Loss 2.86 | Valid Accuracy = 32.76%
Epoch: 009 | Train Loss 2.22 | Train Accuracy = 40.62% | Valid Loss 2.76 | Valid Accuracy = 30.17%
Epoch: 010 | Train Loss 2.16 | Train Accuracy = 41.25% | Valid Loss 2.71 | Valid Accuracy = 27.59%
Epoch: 011 | Train Loss 2.18 | Train Accuracy = 39.69% | Valid Loss 2.84 | Valid Accuracy = 31.03%
Epoch: 012 | Train Loss 2.08 | Train Accuracy = 46.25% | Valid Loss 2.78 | Valid Accuracy = 31.03%
Epoch: 013 | Train Loss 2.01 | Train Accuracy = 42.50% | Valid Loss 2.79 | Valid Accuracy = 29.31%
Epoch: 014 | Train Loss 2.15 | Train Accuracy = 38.75% | Valid Loss 2.92 | Valid Accuracy = 29.31%
Epoch: 015 | Train Loss 2.05 | Train Accuracy = 44.06% | Valid Loss 2.98 | Valid Accuracy = 29.31%
Epoch: 016 | Train Loss 1.95 | Train Accuracy = 45.31% | Valid Loss 3.05 | Valid Accuracy = 25.86%
Epoch: 017 | Train Loss 1.96 | Train Accuracy = 44.38% | Valid Loss 2.91 | Valid Accuracy = 25.00%
Epoch: 018 | Train Loss 2.04 | Train Accuracy = 43.75% | Valid Loss 3.00 | Valid Accuracy = 31.03%
Epoch: 019 | Train Loss 2.02 | Train Accuracy = 46.25% | Valid Loss 2.91 | Valid Accuracy = 29.31%
Epoch: 020 | Train Loss 2.03 | Train Accuracy = 43.75% | Valid Loss 3.00 | Valid Accuracy = 31.03%
Epoch: 021 | Train Loss 1.94 | Train Accuracy = 49.06% | Valid Loss 2.88 | Valid Accuracy = 28.45%
Epoch: 022 | Train Loss 1.92 | Train Accuracy = 45.94% | Valid Loss 2.88 | Valid Accuracy = 29.31%
Epoch: 023 | Train Loss 1.94 | Train Accuracy = 42.50% | Valid Loss 2.89 | Valid Accuracy = 31.03%
Epoch: 024 | Train Loss 1.97 | Train Accuracy = 43.44% | Valid Loss 2.81 | Valid Accuracy = 31.03%
Epoch: 025 | Train Loss 1.87 | Train Accuracy = 49.69% | Valid Loss 2.81 | Valid Accuracy = 28.45%
Epoch: 026 | Train Loss 1.83 | Train Accuracy = 49.38% | Valid Loss 3.04 | Valid Accuracy = 29.31%
Epoch: 027 | Train Loss 1.73 | Train Accuracy = 50.00% | Valid Loss 2.87 | Valid Accuracy = 26.72%
Epoch: 028 | Train Loss 1.72 | Train Accuracy = 51.25% | Valid Loss 2.75 | Valid Accuracy = 28.45%
Epoch: 029 | Train Loss 1.80 | Train Accuracy = 47.19% | Valid Loss 3.04 | Valid Accuracy = 32.76%
Epoch: 030 | Train Loss 1.68 | Train Accuracy = 53.44% | Valid Loss 2.61 | Valid Accuracy = 31.03%
Epoch: 031 | Train Loss 1.72 | Train Accuracy = 51.56% | Valid Loss 2.77 | Valid Accuracy = 31.03%
Epoch: 032 | Train Loss 1.75 | Train Accuracy = 48.44% | Valid Loss 2.77 | Valid Accuracy = 31.03%
