Epoch: 001 | Train Loss 4.11 | Train Accuracy = 05.00% | Valid Loss 4.01 | Valid Accuracy = 03.45%
Epoch: 002 | Train Loss 4.21 | Train Accuracy = 03.12% | Valid Loss 3.97 | Valid Accuracy = 04.31%
Epoch: 003 | Train Loss 4.03 | Train Accuracy = 06.25% | Valid Loss 4.04 | Valid Accuracy = 01.72%
Epoch: 004 | Train Loss 4.02 | Train Accuracy = 05.62% | Valid Loss 3.94 | Valid Accuracy = 06.03%
Epoch: 005 | Train Loss 4.02 | Train Accuracy = 05.62% | Valid Loss 3.93 | Valid Accuracy = 06.03%
Epoch: 006 | Train Loss 3.97 | Train Accuracy = 05.00% | Valid Loss 3.92 | Valid Accuracy = 10.34%
Epoch: 007 | Train Loss 3.94 | Train Accuracy = 07.50% | Valid Loss 3.91 | Valid Accuracy = 05.17%
Epoch: 008 | Train Loss 3.80 | Train Accuracy = 08.44% | Valid Loss 3.69 | Valid Accuracy = 06.90%
Epoch: 009 | Train Loss 3.91 | Train Accuracy = 07.19% | Valid Loss 3.90 | Valid Accuracy = 05.17%
Epoch: 010 | Train Loss 3.91 | Train Accuracy = 06.88% | Valid Loss 3.71 | Valid Accuracy = 12.07%
Epoch: 011 | Train Loss 3.76 | Train Accuracy = 07.50% | Valid Loss 3.60 | Valid Accuracy = 09.48%
Epoch: 012 | Train Loss 3.68 | Train Accuracy = 11.56% | Valid Loss 3.62 | Valid Accuracy = 12.93%
Epoch: 013 | Train Loss 3.59 | Train Accuracy = 10.31% | Valid Loss 3.49 | Valid Accuracy = 19.83%
Epoch: 014 | Train Loss 3.49 | Train Accuracy = 12.50% | Valid Loss 3.51 | Valid Accuracy = 11.21%
Epoch: 015 | Train Loss 3.47 | Train Accuracy = 14.37% | Valid Loss 3.56 | Valid Accuracy = 11.21%
Epoch: 016 | Train Loss 3.53 | Train Accuracy = 11.88% | Valid Loss 3.45 | Valid Accuracy = 13.79%
Epoch: 017 | Train Loss 3.37 | Train Accuracy = 13.75% | Valid Loss 3.29 | Valid Accuracy = 16.38%
Epoch: 018 | Train Loss 3.36 | Train Accuracy = 12.50% | Valid Loss 3.32 | Valid Accuracy = 14.66%
Epoch: 019 | Train Loss 3.18 | Train Accuracy = 15.62% | Valid Loss 3.23 | Valid Accuracy = 18.97%
Epoch: 020 | Train Loss 3.11 | Train Accuracy = 17.19% | Valid Loss 3.17 | Valid Accuracy = 18.10%
Epoch: 021 | Train Loss 3.05 | Train Accuracy = 20.94% | Valid Loss 3.20 | Valid Accuracy = 18.97%
Epoch: 022 | Train Loss 3.04 | Train Accuracy = 19.38% | Valid Loss 3.19 | Valid Accuracy = 17.24%
Epoch: 023 | Train Loss 3.10 | Train Accuracy = 20.62% | Valid Loss 3.15 | Valid Accuracy = 19.83%
Epoch: 024 | Train Loss 3.04 | Train Accuracy = 18.44% | Valid Loss 3.01 | Valid Accuracy = 22.41%
Epoch: 025 | Train Loss 2.97 | Train Accuracy = 23.44% | Valid Loss 3.17 | Valid Accuracy = 19.83%
Epoch: 026 | Train Loss 2.79 | Train Accuracy = 25.62% | Valid Loss 3.02 | Valid Accuracy = 18.97%
Epoch: 027 | Train Loss 2.71 | Train Accuracy = 25.00% | Valid Loss 2.87 | Valid Accuracy = 25.00%
Epoch: 028 | Train Loss 2.76 | Train Accuracy = 25.94% | Valid Loss 2.91 | Valid Accuracy = 26.72%
Epoch: 029 | Train Loss 2.70 | Train Accuracy = 26.25% | Valid Loss 2.80 | Valid Accuracy = 27.59%
Epoch: 030 | Train Loss 2.65 | Train Accuracy = 29.69% | Valid Loss 2.90 | Valid Accuracy = 24.14%
Epoch: 031 | Train Loss 2.56 | Train Accuracy = 29.38% | Valid Loss 2.61 | Valid Accuracy = 33.62%
Epoch: 032 | Train Loss 2.41 | Train Accuracy = 35.62% | Valid Loss 2.83 | Valid Accuracy = 24.14%
