Epoch: 001 | Train Loss 4.12 | Train Accuracy = 01.25% | Valid Loss 4.05 | Valid Accuracy = 01.72%
Epoch: 002 | Train Loss 4.07 | Train Accuracy = 04.69% | Valid Loss 4.07 | Valid Accuracy = 00.86%
Epoch: 003 | Train Loss 4.10 | Train Accuracy = 03.44% | Valid Loss 3.93 | Valid Accuracy = 06.03%
Epoch: 004 | Train Loss 3.99 | Train Accuracy = 07.81% | Valid Loss 3.90 | Valid Accuracy = 06.03%
Epoch: 005 | Train Loss 3.98 | Train Accuracy = 06.88% | Valid Loss 3.91 | Valid Accuracy = 06.90%
Epoch: 006 | Train Loss 3.88 | Train Accuracy = 09.38% | Valid Loss 3.81 | Valid Accuracy = 06.03%
Epoch: 007 | Train Loss 3.84 | Train Accuracy = 10.00% | Valid Loss 3.67 | Valid Accuracy = 12.07%
Epoch: 008 | Train Loss 3.69 | Train Accuracy = 13.12% | Valid Loss 3.60 | Valid Accuracy = 10.34%
Epoch: 009 | Train Loss 3.65 | Train Accuracy = 12.50% | Valid Loss 3.70 | Valid Accuracy = 15.52%
Epoch: 010 | Train Loss 3.68 | Train Accuracy = 13.44% | Valid Loss 3.41 | Valid Accuracy = 20.69%
Epoch: 011 | Train Loss 3.55 | Train Accuracy = 12.81% | Valid Loss 3.30 | Valid Accuracy = 25.00%
Epoch: 012 | Train Loss 3.38 | Train Accuracy = 16.25% | Valid Loss 3.08 | Valid Accuracy = 27.59%
Epoch: 013 | Train Loss 3.24 | Train Accuracy = 19.06% | Valid Loss 3.04 | Valid Accuracy = 21.55%
Epoch: 014 | Train Loss 3.09 | Train Accuracy = 23.75% | Valid Loss 3.03 | Valid Accuracy = 18.10%
Epoch: 015 | Train Loss 3.02 | Train Accuracy = 21.88% | Valid Loss 2.73 | Valid Accuracy = 31.03%
Epoch: 016 | Train Loss 2.85 | Train Accuracy = 27.19% | Valid Loss 2.71 | Valid Accuracy = 31.90%
