Epoch: 001 | Train Loss 4.12 | Train Accuracy = 02.81% | Valid Loss 4.03 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.17 | Train Accuracy = 04.69% | Valid Loss 4.07 | Valid Accuracy = 04.31%
Epoch: 003 | Train Loss 4.11 | Train Accuracy = 05.31% | Valid Loss 3.96 | Valid Accuracy = 06.03%
Epoch: 004 | Train Loss 4.06 | Train Accuracy = 04.69% | Valid Loss 3.93 | Valid Accuracy = 06.03%
Epoch: 005 | Train Loss 3.98 | Train Accuracy = 07.19% | Valid Loss 3.93 | Valid Accuracy = 06.03%
Epoch: 006 | Train Loss 3.94 | Train Accuracy = 05.31% | Valid Loss 3.90 | Valid Accuracy = 06.90%
Epoch: 007 | Train Loss 3.94 | Train Accuracy = 07.81% | Valid Loss 3.89 | Valid Accuracy = 08.62%
Epoch: 008 | Train Loss 3.89 | Train Accuracy = 07.81% | Valid Loss 3.80 | Valid Accuracy = 12.93%
Epoch: 009 | Train Loss 3.82 | Train Accuracy = 07.50% | Valid Loss 3.73 | Valid Accuracy = 06.90%
Epoch: 010 | Train Loss 3.74 | Train Accuracy = 09.38% | Valid Loss 3.72 | Valid Accuracy = 09.48%
Epoch: 011 | Train Loss 3.64 | Train Accuracy = 11.88% | Valid Loss 3.43 | Valid Accuracy = 12.07%
Epoch: 012 | Train Loss 3.57 | Train Accuracy = 11.56% | Valid Loss 3.52 | Valid Accuracy = 11.21%
Epoch: 013 | Train Loss 3.50 | Train Accuracy = 09.06% | Valid Loss 3.53 | Valid Accuracy = 10.34%
Epoch: 014 | Train Loss 3.48 | Train Accuracy = 12.19% | Valid Loss 3.26 | Valid Accuracy = 14.66%
Epoch: 015 | Train Loss 3.32 | Train Accuracy = 15.94% | Valid Loss 3.40 | Valid Accuracy = 11.21%
Epoch: 016 | Train Loss 3.24 | Train Accuracy = 17.50% | Valid Loss 3.16 | Valid Accuracy = 12.93%
Epoch: 017 | Train Loss 3.24 | Train Accuracy = 17.81% | Valid Loss 3.06 | Valid Accuracy = 21.55%
Epoch: 018 | Train Loss 3.16 | Train Accuracy = 17.19% | Valid Loss 2.98 | Valid Accuracy = 25.00%
Epoch: 019 | Train Loss 3.05 | Train Accuracy = 21.25% | Valid Loss 2.94 | Valid Accuracy = 25.86%
Epoch: 020 | Train Loss 2.91 | Train Accuracy = 24.69% | Valid Loss 2.74 | Valid Accuracy = 28.45%
Epoch: 021 | Train Loss 2.91 | Train Accuracy = 18.44% | Valid Loss 2.65 | Valid Accuracy = 31.90%
Epoch: 022 | Train Loss 2.71 | Train Accuracy = 28.75% | Valid Loss 2.60 | Valid Accuracy = 31.90%
Epoch: 023 | Train Loss 2.72 | Train Accuracy = 23.12% | Valid Loss 2.73 | Valid Accuracy = 28.45%
Epoch: 024 | Train Loss 2.65 | Train Accuracy = 25.62% | Valid Loss 2.34 | Valid Accuracy = 38.79%
Epoch: 025 | Train Loss 2.58 | Train Accuracy = 29.06% | Valid Loss 2.27 | Valid Accuracy = 37.93%
Epoch: 026 | Train Loss 2.38 | Train Accuracy = 32.81% | Valid Loss 2.42 | Valid Accuracy = 33.62%
Epoch: 027 | Train Loss 2.29 | Train Accuracy = 34.06% | Valid Loss 2.32 | Valid Accuracy = 38.79%
Epoch: 028 | Train Loss 2.52 | Train Accuracy = 31.87% | Valid Loss 2.33 | Valid Accuracy = 40.52%
Epoch: 029 | Train Loss 2.32 | Train Accuracy = 39.06% | Valid Loss 2.29 | Valid Accuracy = 41.38%
Epoch: 030 | Train Loss 2.32 | Train Accuracy = 36.56% | Valid Loss 2.25 | Valid Accuracy = 42.24%
Epoch: 031 | Train Loss 2.05 | Train Accuracy = 41.25% | Valid Loss 2.11 | Valid Accuracy = 47.41%
Epoch: 032 | Train Loss 1.89 | Train Accuracy = 46.56% | Valid Loss 2.06 | Valid Accuracy = 43.97%
Epoch: 033 | Train Loss 2.05 | Train Accuracy = 42.19% | Valid Loss 2.23 | Valid Accuracy = 41.38%
Epoch: 034 | Train Loss 2.16 | Train Accuracy = 39.69% | Valid Loss 2.16 | Valid Accuracy = 47.41%
Epoch: 035 | Train Loss 2.03 | Train Accuracy = 40.31% | Valid Loss 2.41 | Valid Accuracy = 39.66%
Epoch: 036 | Train Loss 2.16 | Train Accuracy = 36.88% | Valid Loss 1.98 | Valid Accuracy = 44.83%
Epoch: 037 | Train Loss 1.97 | Train Accuracy = 43.44% | Valid Loss 2.11 | Valid Accuracy = 44.83%
Epoch: 038 | Train Loss 1.85 | Train Accuracy = 47.19% | Valid Loss 1.98 | Valid Accuracy = 48.28%
Epoch: 039 | Train Loss 1.81 | Train Accuracy = 46.25% | Valid Loss 2.11 | Valid Accuracy = 47.41%
Epoch: 040 | Train Loss 1.89 | Train Accuracy = 44.38% | Valid Loss 1.97 | Valid Accuracy = 50.86%
Epoch: 041 | Train Loss 1.71 | Train Accuracy = 47.50% | Valid Loss 1.86 | Valid Accuracy = 50.00%
Epoch: 042 | Train Loss 1.59 | Train Accuracy = 55.62% | Valid Loss 1.96 | Valid Accuracy = 48.28%
Epoch: 043 | Train Loss 1.77 | Train Accuracy = 52.50% | Valid Loss 2.11 | Valid Accuracy = 46.55%
Epoch: 044 | Train Loss 1.73 | Train Accuracy = 47.50% | Valid Loss 1.93 | Valid Accuracy = 46.55%
Epoch: 045 | Train Loss 1.59 | Train Accuracy = 53.44% | Valid Loss 1.97 | Valid Accuracy = 50.86%
Epoch: 046 | Train Loss 1.62 | Train Accuracy = 52.19% | Valid Loss 1.82 | Valid Accuracy = 50.00%
Epoch: 047 | Train Loss 1.45 | Train Accuracy = 58.75% | Valid Loss 2.01 | Valid Accuracy = 53.45%
Epoch: 048 | Train Loss 1.56 | Train Accuracy = 54.37% | Valid Loss 1.91 | Valid Accuracy = 46.55%
Epoch: 049 | Train Loss 1.55 | Train Accuracy = 57.19% | Valid Loss 1.81 | Valid Accuracy = 48.28%
Epoch: 050 | Train Loss 1.41 | Train Accuracy = 60.31% | Valid Loss 1.83 | Valid Accuracy = 52.59%
Epoch: 051 | Train Loss 1.35 | Train Accuracy = 60.62% | Valid Loss 1.93 | Valid Accuracy = 45.69%
Epoch: 052 | Train Loss 1.35 | Train Accuracy = 63.44% | Valid Loss 1.78 | Valid Accuracy = 52.59%
Epoch: 053 | Train Loss 1.29 | Train Accuracy = 62.50% | Valid Loss 1.87 | Valid Accuracy = 50.86%
Epoch: 054 | Train Loss 1.15 | Train Accuracy = 62.81% | Valid Loss 1.69 | Valid Accuracy = 60.34%
Epoch: 055 | Train Loss 1.02 | Train Accuracy = 68.44% | Valid Loss 1.72 | Valid Accuracy = 54.31%
Epoch: 056 | Train Loss 1.40 | Train Accuracy = 60.00% | Valid Loss 1.84 | Valid Accuracy = 50.00%
Epoch: 057 | Train Loss 1.20 | Train Accuracy = 65.00% | Valid Loss 1.63 | Valid Accuracy = 57.76%
Epoch: 058 | Train Loss 1.08 | Train Accuracy = 65.31% | Valid Loss 1.73 | Valid Accuracy = 51.72%
Epoch: 059 | Train Loss 1.06 | Train Accuracy = 70.00% | Valid Loss 1.77 | Valid Accuracy = 52.59%
Epoch: 060 | Train Loss 1.15 | Train Accuracy = 66.56% | Valid Loss 1.77 | Valid Accuracy = 54.31%
Epoch: 061 | Train Loss 1.03 | Train Accuracy = 68.12% | Valid Loss 1.81 | Valid Accuracy = 51.72%
Epoch: 062 | Train Loss 0.95 | Train Accuracy = 69.38% | Valid Loss 1.85 | Valid Accuracy = 56.90%
Epoch: 063 | Train Loss 1.08 | Train Accuracy = 67.81% | Valid Loss 2.03 | Valid Accuracy = 53.45%
Epoch: 064 | Train Loss 1.02 | Train Accuracy = 71.25% | Valid Loss 1.73 | Valid Accuracy = 56.90%
Epoch: 065 | Train Loss 0.96 | Train Accuracy = 72.50% | Valid Loss 1.82 | Valid Accuracy = 56.03%
Epoch: 066 | Train Loss 0.94 | Train Accuracy = 74.06% | Valid Loss 1.82 | Valid Accuracy = 56.90%
Epoch: 067 | Train Loss 1.03 | Train Accuracy = 70.31% | Valid Loss 1.83 | Valid Accuracy = 54.31%
Epoch: 068 | Train Loss 0.84 | Train Accuracy = 75.62% | Valid Loss 1.79 | Valid Accuracy = 54.31%
Epoch: 069 | Train Loss 0.83 | Train Accuracy = 75.00% | Valid Loss 1.79 | Valid Accuracy = 50.86%
Epoch: 070 | Train Loss 0.88 | Train Accuracy = 74.06% | Valid Loss 1.83 | Valid Accuracy = 56.03%
Epoch: 071 | Train Loss 0.81 | Train Accuracy = 76.88% | Valid Loss 1.95 | Valid Accuracy = 52.59%
Epoch: 072 | Train Loss 0.97 | Train Accuracy = 73.12% | Valid Loss 1.79 | Valid Accuracy = 53.45%
Epoch: 073 | Train Loss 0.89 | Train Accuracy = 73.12% | Valid Loss 1.97 | Valid Accuracy = 50.86%
Epoch: 074 | Train Loss 0.80 | Train Accuracy = 78.44% | Valid Loss 2.22 | Valid Accuracy = 50.86%
Epoch: 075 | Train Loss 0.85 | Train Accuracy = 72.81% | Valid Loss 2.07 | Valid Accuracy = 52.59%
Epoch: 076 | Train Loss 0.90 | Train Accuracy = 72.81% | Valid Loss 1.77 | Valid Accuracy = 56.03%
Epoch: 077 | Train Loss 0.87 | Train Accuracy = 72.81% | Valid Loss 1.80 | Valid Accuracy = 56.90%
Epoch: 078 | Train Loss 0.82 | Train Accuracy = 73.12% | Valid Loss 1.96 | Valid Accuracy = 60.34%
Epoch: 079 | Train Loss 0.84 | Train Accuracy = 75.94% | Valid Loss 1.85 | Valid Accuracy = 57.76%
Epoch: 080 | Train Loss 0.80 | Train Accuracy = 76.88% | Valid Loss 1.78 | Valid Accuracy = 58.62%
Epoch: 081 | Train Loss 0.64 | Train Accuracy = 81.25% | Valid Loss 1.80 | Valid Accuracy = 56.90%
Epoch: 082 | Train Loss 0.62 | Train Accuracy = 82.19% | Valid Loss 2.01 | Valid Accuracy = 52.59%
Epoch: 083 | Train Loss 0.77 | Train Accuracy = 74.69% | Valid Loss 1.88 | Valid Accuracy = 55.17%
Epoch: 084 | Train Loss 0.79 | Train Accuracy = 75.62% | Valid Loss 1.96 | Valid Accuracy = 56.90%
Epoch: 085 | Train Loss 0.65 | Train Accuracy = 80.62% | Valid Loss 1.99 | Valid Accuracy = 52.59%
Epoch: 086 | Train Loss 0.75 | Train Accuracy = 80.31% | Valid Loss 1.88 | Valid Accuracy = 56.03%
