Epoch: 001 | Train Loss 1.30 | Train Accuracy = 60.62% | Valid Loss 1.84 | Valid Accuracy = 50.00%
Epoch: 002 | Train Loss 1.08 | Train Accuracy = 67.81% | Valid Loss 1.62 | Valid Accuracy = 56.03%
Epoch: 003 | Train Loss 1.01 | Train Accuracy = 69.69% | Valid Loss 1.72 | Valid Accuracy = 56.03%
Epoch: 004 | Train Loss 0.87 | Train Accuracy = 73.75% | Valid Loss 1.89 | Valid Accuracy = 50.86%
Epoch: 005 | Train Loss 0.76 | Train Accuracy = 79.38% | Valid Loss 1.51 | Valid Accuracy = 60.34%
Epoch: 006 | Train Loss 0.66 | Train Accuracy = 80.31% | Valid Loss 1.55 | Valid Accuracy = 58.62%
Epoch: 007 | Train Loss 0.77 | Train Accuracy = 76.56% | Valid Loss 1.90 | Valid Accuracy = 52.59%
Epoch: 008 | Train Loss 0.72 | Train Accuracy = 77.50% | Valid Loss 1.78 | Valid Accuracy = 56.03%
Epoch: 009 | Train Loss 0.72 | Train Accuracy = 78.12% | Valid Loss 1.61 | Valid Accuracy = 53.45%
Epoch: 010 | Train Loss 0.62 | Train Accuracy = 80.31% | Valid Loss 1.80 | Valid Accuracy = 56.03%
Epoch: 011 | Train Loss 0.69 | Train Accuracy = 77.81% | Valid Loss 1.67 | Valid Accuracy = 57.76%
Epoch: 012 | Train Loss 0.67 | Train Accuracy = 79.38% | Valid Loss 1.61 | Valid Accuracy = 56.03%
Epoch: 013 | Train Loss 0.77 | Train Accuracy = 75.62% | Valid Loss 1.58 | Valid Accuracy = 59.48%
Epoch: 014 | Train Loss 0.64 | Train Accuracy = 81.25% | Valid Loss 1.53 | Valid Accuracy = 62.07%
Epoch: 015 | Train Loss 0.68 | Train Accuracy = 81.56% | Valid Loss 1.89 | Valid Accuracy = 57.76%
Epoch: 016 | Train Loss 0.61 | Train Accuracy = 83.12% | Valid Loss 1.55 | Valid Accuracy = 56.90%
Epoch: 017 | Train Loss 0.58 | Train Accuracy = 84.06% | Valid Loss 1.49 | Valid Accuracy = 68.97%
Epoch: 018 | Train Loss 0.54 | Train Accuracy = 86.56% | Valid Loss 1.65 | Valid Accuracy = 58.62%
Epoch: 019 | Train Loss 0.62 | Train Accuracy = 82.19% | Valid Loss 1.71 | Valid Accuracy = 59.48%
Epoch: 020 | Train Loss 0.57 | Train Accuracy = 82.81% | Valid Loss 1.61 | Valid Accuracy = 60.34%
Epoch: 021 | Train Loss 0.55 | Train Accuracy = 81.56% | Valid Loss 1.56 | Valid Accuracy = 59.48%
Epoch: 022 | Train Loss 0.60 | Train Accuracy = 81.56% | Valid Loss 1.44 | Valid Accuracy = 61.21%
Epoch: 023 | Train Loss 0.54 | Train Accuracy = 84.38% | Valid Loss 1.35 | Valid Accuracy = 58.62%
Epoch: 024 | Train Loss 0.62 | Train Accuracy = 79.69% | Valid Loss 1.40 | Valid Accuracy = 61.21%
Epoch: 025 | Train Loss 0.66 | Train Accuracy = 77.81% | Valid Loss 1.41 | Valid Accuracy = 64.66%
