Epoch: 001 | Train Loss 4.12 | Train Accuracy = 04.38% | Valid Loss 4.03 | Valid Accuracy = 03.45%
Epoch: 002 | Train Loss 4.05 | Train Accuracy = 04.69% | Valid Loss 3.95 | Valid Accuracy = 06.03%
Epoch: 003 | Train Loss 4.04 | Train Accuracy = 03.44% | Valid Loss 3.98 | Valid Accuracy = 07.76%
Epoch: 004 | Train Loss 4.01 | Train Accuracy = 05.31% | Valid Loss 3.94 | Valid Accuracy = 06.90%
Epoch: 005 | Train Loss 4.01 | Train Accuracy = 05.62% | Valid Loss 3.91 | Valid Accuracy = 05.17%
Epoch: 006 | Train Loss 3.91 | Train Accuracy = 07.81% | Valid Loss 3.74 | Valid Accuracy = 08.62%
Epoch: 007 | Train Loss 3.83 | Train Accuracy = 07.81% | Valid Loss 3.67 | Valid Accuracy = 06.90%
Epoch: 008 | Train Loss 3.73 | Train Accuracy = 09.38% | Valid Loss 3.81 | Valid Accuracy = 03.45%
Epoch: 009 | Train Loss 3.66 | Train Accuracy = 11.25% | Valid Loss 3.61 | Valid Accuracy = 05.17%
Epoch: 010 | Train Loss 3.66 | Train Accuracy = 07.19% | Valid Loss 3.58 | Valid Accuracy = 06.03%
Epoch: 011 | Train Loss 3.59 | Train Accuracy = 09.38% | Valid Loss 3.53 | Valid Accuracy = 08.62%
Epoch: 012 | Train Loss 3.40 | Train Accuracy = 10.62% | Valid Loss 3.56 | Valid Accuracy = 06.90%
Epoch: 013 | Train Loss 3.39 | Train Accuracy = 10.31% | Valid Loss 3.52 | Valid Accuracy = 05.17%
Epoch: 014 | Train Loss 3.35 | Train Accuracy = 11.25% | Valid Loss 3.39 | Valid Accuracy = 12.07%
Epoch: 015 | Train Loss 3.37 | Train Accuracy = 11.56% | Valid Loss 3.29 | Valid Accuracy = 13.79%
Epoch: 016 | Train Loss 3.30 | Train Accuracy = 13.44% | Valid Loss 3.41 | Valid Accuracy = 07.76%
Epoch: 017 | Train Loss 3.21 | Train Accuracy = 15.00% | Valid Loss 3.34 | Valid Accuracy = 10.34%
Epoch: 018 | Train Loss 3.34 | Train Accuracy = 12.50% | Valid Loss 3.35 | Valid Accuracy = 11.21%
Epoch: 019 | Train Loss 3.20 | Train Accuracy = 11.56% | Valid Loss 3.34 | Valid Accuracy = 12.07%
Epoch: 020 | Train Loss 3.11 | Train Accuracy = 15.94% | Valid Loss 3.12 | Valid Accuracy = 14.66%
Epoch: 021 | Train Loss 3.12 | Train Accuracy = 15.62% | Valid Loss 3.22 | Valid Accuracy = 12.07%
Epoch: 022 | Train Loss 3.02 | Train Accuracy = 15.00% | Valid Loss 3.05 | Valid Accuracy = 18.97%
Epoch: 023 | Train Loss 2.92 | Train Accuracy = 19.06% | Valid Loss 3.26 | Valid Accuracy = 14.66%
