Epoch: 001 | Train Loss 4.11 | Train Accuracy = 03.44% | Valid Loss 4.02 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.08 | Train Accuracy = 06.25% | Valid Loss 3.95 | Valid Accuracy = 06.03%
Epoch: 003 | Train Loss 4.01 | Train Accuracy = 05.62% | Valid Loss 3.91 | Valid Accuracy = 06.03%
Epoch: 004 | Train Loss 3.95 | Train Accuracy = 06.88% | Valid Loss 3.84 | Valid Accuracy = 09.48%
Epoch: 005 | Train Loss 3.89 | Train Accuracy = 08.12% | Valid Loss 3.74 | Valid Accuracy = 11.21%
Epoch: 006 | Train Loss 3.73 | Train Accuracy = 06.88% | Valid Loss 3.59 | Valid Accuracy = 10.34%
Epoch: 007 | Train Loss 3.65 | Train Accuracy = 10.31% | Valid Loss 3.58 | Valid Accuracy = 09.48%
Epoch: 008 | Train Loss 3.59 | Train Accuracy = 08.44% | Valid Loss 3.69 | Valid Accuracy = 07.76%
Epoch: 009 | Train Loss 3.47 | Train Accuracy = 11.88% | Valid Loss 3.28 | Valid Accuracy = 16.38%
Epoch: 010 | Train Loss 3.40 | Train Accuracy = 12.81% | Valid Loss 3.12 | Valid Accuracy = 18.97%
Epoch: 011 | Train Loss 3.17 | Train Accuracy = 15.94% | Valid Loss 3.17 | Valid Accuracy = 18.97%
Epoch: 012 | Train Loss 3.18 | Train Accuracy = 16.56% | Valid Loss 2.93 | Valid Accuracy = 19.83%
Epoch: 013 | Train Loss 3.03 | Train Accuracy = 21.25% | Valid Loss 2.88 | Valid Accuracy = 24.14%
Epoch: 014 | Train Loss 2.92 | Train Accuracy = 22.81% | Valid Loss 2.90 | Valid Accuracy = 21.55%
Epoch: 015 | Train Loss 2.88 | Train Accuracy = 20.31% | Valid Loss 2.82 | Valid Accuracy = 29.31%
Epoch: 016 | Train Loss 2.86 | Train Accuracy = 22.19% | Valid Loss 2.71 | Valid Accuracy = 31.03%
Epoch: 017 | Train Loss 2.62 | Train Accuracy = 30.94% | Valid Loss 2.55 | Valid Accuracy = 34.48%
Epoch: 018 | Train Loss 2.79 | Train Accuracy = 27.50% | Valid Loss 2.77 | Valid Accuracy = 27.59%
Epoch: 019 | Train Loss 2.72 | Train Accuracy = 28.44% | Valid Loss 2.67 | Valid Accuracy = 31.90%
Epoch: 020 | Train Loss 2.61 | Train Accuracy = 26.88% | Valid Loss 2.64 | Valid Accuracy = 27.59%
Epoch: 021 | Train Loss 2.37 | Train Accuracy = 31.87% | Valid Loss 2.51 | Valid Accuracy = 31.03%
Epoch: 022 | Train Loss 2.45 | Train Accuracy = 33.12% | Valid Loss 2.32 | Valid Accuracy = 43.10%
Epoch: 023 | Train Loss 2.46 | Train Accuracy = 35.62% | Valid Loss 2.44 | Valid Accuracy = 33.62%
Epoch: 024 | Train Loss 2.24 | Train Accuracy = 36.88% | Valid Loss 2.18 | Valid Accuracy = 38.79%
Epoch: 025 | Train Loss 2.23 | Train Accuracy = 38.44% | Valid Loss 2.15 | Valid Accuracy = 43.10%
Epoch: 026 | Train Loss 2.16 | Train Accuracy = 38.44% | Valid Loss 2.20 | Valid Accuracy = 37.07%
Epoch: 027 | Train Loss 2.13 | Train Accuracy = 39.69% | Valid Loss 2.38 | Valid Accuracy = 43.10%
Epoch: 028 | Train Loss 1.94 | Train Accuracy = 44.38% | Valid Loss 2.26 | Valid Accuracy = 37.93%
Epoch: 029 | Train Loss 2.10 | Train Accuracy = 40.00% | Valid Loss 2.35 | Valid Accuracy = 42.24%
Epoch: 030 | Train Loss 2.01 | Train Accuracy = 41.25% | Valid Loss 2.06 | Valid Accuracy = 43.97%
Epoch: 031 | Train Loss 1.95 | Train Accuracy = 45.31% | Valid Loss 2.09 | Valid Accuracy = 49.14%
Epoch: 032 | Train Loss 1.98 | Train Accuracy = 40.62% | Valid Loss 2.01 | Valid Accuracy = 46.55%
Epoch: 033 | Train Loss 1.83 | Train Accuracy = 49.38% | Valid Loss 2.21 | Valid Accuracy = 48.28%
Epoch: 034 | Train Loss 1.78 | Train Accuracy = 49.69% | Valid Loss 2.10 | Valid Accuracy = 41.38%
Epoch: 035 | Train Loss 1.70 | Train Accuracy = 47.50% | Valid Loss 2.17 | Valid Accuracy = 42.24%
Epoch: 036 | Train Loss 1.78 | Train Accuracy = 51.56% | Valid Loss 2.08 | Valid Accuracy = 45.69%
Epoch: 037 | Train Loss 1.74 | Train Accuracy = 52.50% | Valid Loss 2.13 | Valid Accuracy = 50.86%
Epoch: 038 | Train Loss 1.69 | Train Accuracy = 49.38% | Valid Loss 2.16 | Valid Accuracy = 44.83%
Epoch: 039 | Train Loss 1.65 | Train Accuracy = 52.81% | Valid Loss 1.88 | Valid Accuracy = 43.10%
Epoch: 040 | Train Loss 1.52 | Train Accuracy = 59.69% | Valid Loss 1.94 | Valid Accuracy = 49.14%
Epoch: 041 | Train Loss 1.49 | Train Accuracy = 53.75% | Valid Loss 1.88 | Valid Accuracy = 43.97%
Epoch: 042 | Train Loss 1.52 | Train Accuracy = 57.81% | Valid Loss 1.94 | Valid Accuracy = 50.00%
Epoch: 043 | Train Loss 1.52 | Train Accuracy = 52.19% | Valid Loss 2.21 | Valid Accuracy = 38.79%
Epoch: 044 | Train Loss 1.47 | Train Accuracy = 54.37% | Valid Loss 2.09 | Valid Accuracy = 46.55%
Epoch: 045 | Train Loss 1.34 | Train Accuracy = 61.25% | Valid Loss 2.17 | Valid Accuracy = 44.83%
Epoch: 046 | Train Loss 1.46 | Train Accuracy = 56.88% | Valid Loss 1.97 | Valid Accuracy = 43.97%
Epoch: 047 | Train Loss 1.39 | Train Accuracy = 60.94% | Valid Loss 1.88 | Valid Accuracy = 51.72%
Epoch: 048 | Train Loss 1.37 | Train Accuracy = 61.88% | Valid Loss 1.98 | Valid Accuracy = 49.14%
Epoch: 049 | Train Loss 1.20 | Train Accuracy = 65.00% | Valid Loss 2.03 | Valid Accuracy = 47.41%
Epoch: 050 | Train Loss 1.20 | Train Accuracy = 63.75% | Valid Loss 1.79 | Valid Accuracy = 57.76%
Epoch: 051 | Train Loss 1.28 | Train Accuracy = 65.00% | Valid Loss 1.83 | Valid Accuracy = 49.14%
Epoch: 052 | Train Loss 1.09 | Train Accuracy = 70.00% | Valid Loss 1.81 | Valid Accuracy = 52.59%
Epoch: 053 | Train Loss 1.14 | Train Accuracy = 67.81% | Valid Loss 1.83 | Valid Accuracy = 55.17%
Epoch: 054 | Train Loss 1.03 | Train Accuracy = 69.69% | Valid Loss 1.77 | Valid Accuracy = 51.72%
Epoch: 055 | Train Loss 1.05 | Train Accuracy = 71.25% | Valid Loss 1.72 | Valid Accuracy = 59.48%
Epoch: 056 | Train Loss 1.03 | Train Accuracy = 72.19% | Valid Loss 1.79 | Valid Accuracy = 51.72%
Epoch: 057 | Train Loss 1.00 | Train Accuracy = 70.62% | Valid Loss 1.90 | Valid Accuracy = 56.03%
Epoch: 058 | Train Loss 0.96 | Train Accuracy = 71.56% | Valid Loss 1.85 | Valid Accuracy = 56.03%
Epoch: 059 | Train Loss 0.89 | Train Accuracy = 75.62% | Valid Loss 1.81 | Valid Accuracy = 51.72%
Epoch: 060 | Train Loss 0.92 | Train Accuracy = 73.12% | Valid Loss 1.79 | Valid Accuracy = 56.03%
Epoch: 061 | Train Loss 0.89 | Train Accuracy = 74.38% | Valid Loss 1.79 | Valid Accuracy = 55.17%
Epoch: 062 | Train Loss 0.89 | Train Accuracy = 71.88% | Valid Loss 1.94 | Valid Accuracy = 54.31%
Epoch: 063 | Train Loss 0.86 | Train Accuracy = 75.62% | Valid Loss 1.85 | Valid Accuracy = 56.90%
Epoch: 064 | Train Loss 0.82 | Train Accuracy = 76.88% | Valid Loss 1.76 | Valid Accuracy = 53.45%
Epoch: 065 | Train Loss 0.80 | Train Accuracy = 74.69% | Valid Loss 1.88 | Valid Accuracy = 55.17%
Epoch: 066 | Train Loss 0.84 | Train Accuracy = 74.69% | Valid Loss 2.01 | Valid Accuracy = 50.86%
Epoch: 067 | Train Loss 0.75 | Train Accuracy = 80.31% | Valid Loss 2.00 | Valid Accuracy = 52.59%
Epoch: 068 | Train Loss 0.85 | Train Accuracy = 75.62% | Valid Loss 2.07 | Valid Accuracy = 50.86%
Epoch: 069 | Train Loss 0.86 | Train Accuracy = 73.75% | Valid Loss 1.91 | Valid Accuracy = 50.86%
Epoch: 070 | Train Loss 0.85 | Train Accuracy = 74.38% | Valid Loss 1.77 | Valid Accuracy = 50.00%
Epoch: 071 | Train Loss 0.72 | Train Accuracy = 78.44% | Valid Loss 1.85 | Valid Accuracy = 56.03%
Epoch: 072 | Train Loss 0.64 | Train Accuracy = 81.56% | Valid Loss 1.92 | Valid Accuracy = 49.14%
Epoch: 073 | Train Loss 0.73 | Train Accuracy = 78.75% | Valid Loss 1.93 | Valid Accuracy = 52.59%
Epoch: 074 | Train Loss 0.68 | Train Accuracy = 80.31% | Valid Loss 1.95 | Valid Accuracy = 55.17%
Epoch: 075 | Train Loss 0.74 | Train Accuracy = 78.75% | Valid Loss 1.95 | Valid Accuracy = 52.59%
Epoch: 076 | Train Loss 0.77 | Train Accuracy = 77.81% | Valid Loss 1.88 | Valid Accuracy = 50.86%
Epoch: 077 | Train Loss 0.79 | Train Accuracy = 77.50% | Valid Loss 1.85 | Valid Accuracy = 54.31%
Epoch: 078 | Train Loss 0.71 | Train Accuracy = 79.06% | Valid Loss 1.89 | Valid Accuracy = 55.17%
