Epoch: 001 | Train Loss 4.10 | Train Accuracy = 03.75% | Valid Loss 4.00 | Valid Accuracy = 06.03%
Epoch: 002 | Train Loss 4.04 | Train Accuracy = 05.31% | Valid Loss 3.93 | Valid Accuracy = 06.03%
Epoch: 003 | Train Loss 4.00 | Train Accuracy = 04.38% | Valid Loss 3.88 | Valid Accuracy = 06.03%
Epoch: 004 | Train Loss 3.94 | Train Accuracy = 03.75% | Valid Loss 3.79 | Valid Accuracy = 09.48%
Epoch: 005 | Train Loss 3.84 | Train Accuracy = 06.88% | Valid Loss 3.68 | Valid Accuracy = 12.07%
Epoch: 006 | Train Loss 3.89 | Train Accuracy = 05.94% | Valid Loss 3.78 | Valid Accuracy = 05.17%
Epoch: 007 | Train Loss 3.78 | Train Accuracy = 07.50% | Valid Loss 3.59 | Valid Accuracy = 12.07%
Epoch: 008 | Train Loss 3.64 | Train Accuracy = 10.31% | Valid Loss 3.60 | Valid Accuracy = 06.90%
Epoch: 009 | Train Loss 3.55 | Train Accuracy = 10.00% | Valid Loss 3.65 | Valid Accuracy = 07.76%
Epoch: 010 | Train Loss 3.46 | Train Accuracy = 11.88% | Valid Loss 3.47 | Valid Accuracy = 11.21%
Epoch: 011 | Train Loss 3.43 | Train Accuracy = 12.19% | Valid Loss 3.27 | Valid Accuracy = 15.52%
Epoch: 012 | Train Loss 3.30 | Train Accuracy = 16.56% | Valid Loss 3.23 | Valid Accuracy = 15.52%
Epoch: 013 | Train Loss 3.21 | Train Accuracy = 14.69% | Valid Loss 3.22 | Valid Accuracy = 18.97%
Epoch: 014 | Train Loss 3.09 | Train Accuracy = 20.31% | Valid Loss 3.07 | Valid Accuracy = 17.24%
Epoch: 015 | Train Loss 3.17 | Train Accuracy = 14.37% | Valid Loss 3.19 | Valid Accuracy = 13.79%
Epoch: 016 | Train Loss 2.94 | Train Accuracy = 20.94% | Valid Loss 3.10 | Valid Accuracy = 17.24%
Epoch: 017 | Train Loss 3.03 | Train Accuracy = 22.19% | Valid Loss 2.94 | Valid Accuracy = 20.69%
Epoch: 018 | Train Loss 2.90 | Train Accuracy = 22.50% | Valid Loss 3.11 | Valid Accuracy = 17.24%
Epoch: 019 | Train Loss 2.79 | Train Accuracy = 27.50% | Valid Loss 3.14 | Valid Accuracy = 21.55%
Epoch: 020 | Train Loss 2.85 | Train Accuracy = 25.31% | Valid Loss 2.76 | Valid Accuracy = 24.14%
Epoch: 021 | Train Loss 2.75 | Train Accuracy = 27.19% | Valid Loss 2.78 | Valid Accuracy = 26.72%
Epoch: 022 | Train Loss 2.66 | Train Accuracy = 27.81% | Valid Loss 2.72 | Valid Accuracy = 25.86%
Epoch: 023 | Train Loss 2.51 | Train Accuracy = 32.50% | Valid Loss 2.67 | Valid Accuracy = 31.90%
Epoch: 024 | Train Loss 2.65 | Train Accuracy = 27.50% | Valid Loss 2.74 | Valid Accuracy = 29.31%
Epoch: 025 | Train Loss 2.52 | Train Accuracy = 30.63% | Valid Loss 2.86 | Valid Accuracy = 28.45%
Epoch: 026 | Train Loss 2.50 | Train Accuracy = 30.31% | Valid Loss 2.58 | Valid Accuracy = 30.17%
Epoch: 027 | Train Loss 2.44 | Train Accuracy = 30.31% | Valid Loss 2.63 | Valid Accuracy = 31.03%
Epoch: 028 | Train Loss 2.18 | Train Accuracy = 40.62% | Valid Loss 2.55 | Valid Accuracy = 34.48%
Epoch: 029 | Train Loss 2.32 | Train Accuracy = 35.00% | Valid Loss 2.54 | Valid Accuracy = 30.17%
Epoch: 030 | Train Loss 2.18 | Train Accuracy = 37.81% | Valid Loss 2.52 | Valid Accuracy = 33.62%
Epoch: 031 | Train Loss 2.18 | Train Accuracy = 40.00% | Valid Loss 2.65 | Valid Accuracy = 31.90%
Epoch: 032 | Train Loss 2.06 | Train Accuracy = 40.62% | Valid Loss 2.55 | Valid Accuracy = 30.17%
Epoch: 033 | Train Loss 2.18 | Train Accuracy = 38.44% | Valid Loss 2.49 | Valid Accuracy = 33.62%
Epoch: 034 | Train Loss 2.00 | Train Accuracy = 44.69% | Valid Loss 2.61 | Valid Accuracy = 29.31%
Epoch: 035 | Train Loss 2.04 | Train Accuracy = 42.50% | Valid Loss 2.45 | Valid Accuracy = 32.76%
Epoch: 036 | Train Loss 1.93 | Train Accuracy = 47.19% | Valid Loss 2.31 | Valid Accuracy = 37.07%
Epoch: 037 | Train Loss 2.10 | Train Accuracy = 40.62% | Valid Loss 2.26 | Valid Accuracy = 37.93%
Epoch: 038 | Train Loss 1.83 | Train Accuracy = 50.94% | Valid Loss 2.42 | Valid Accuracy = 37.07%
Epoch: 039 | Train Loss 2.03 | Train Accuracy = 41.56% | Valid Loss 2.21 | Valid Accuracy = 42.24%
