Epoch: 001 | Train Loss 1.72 | Train Accuracy = 54.69% | Valid Loss 2.22 | Valid Accuracy = 45.69%
Epoch: 002 | Train Loss 1.42 | Train Accuracy = 62.50% | Valid Loss 2.55 | Valid Accuracy = 37.93%
Epoch: 003 | Train Loss 1.32 | Train Accuracy = 61.56% | Valid Loss 2.22 | Valid Accuracy = 42.24%
Epoch: 004 | Train Loss 1.14 | Train Accuracy = 66.25% | Valid Loss 2.07 | Valid Accuracy = 48.28%
Epoch: 005 | Train Loss 1.31 | Train Accuracy = 65.00% | Valid Loss 1.73 | Valid Accuracy = 51.72%
Epoch: 006 | Train Loss 1.12 | Train Accuracy = 66.56% | Valid Loss 1.90 | Valid Accuracy = 52.59%
Epoch: 007 | Train Loss 1.00 | Train Accuracy = 70.94% | Valid Loss 1.82 | Valid Accuracy = 47.41%
Epoch: 008 | Train Loss 1.04 | Train Accuracy = 70.94% | Valid Loss 1.78 | Valid Accuracy = 52.59%
Epoch: 009 | Train Loss 0.95 | Train Accuracy = 71.25% | Valid Loss 1.69 | Valid Accuracy = 50.86%
Epoch: 010 | Train Loss 0.97 | Train Accuracy = 70.31% | Valid Loss 1.93 | Valid Accuracy = 50.86%
Epoch: 011 | Train Loss 0.92 | Train Accuracy = 73.75% | Valid Loss 1.77 | Valid Accuracy = 56.03%
Epoch: 012 | Train Loss 0.83 | Train Accuracy = 78.44% | Valid Loss 1.88 | Valid Accuracy = 52.59%
Epoch: 013 | Train Loss 0.92 | Train Accuracy = 72.81% | Valid Loss 2.03 | Valid Accuracy = 46.55%
Epoch: 014 | Train Loss 0.93 | Train Accuracy = 73.75% | Valid Loss 1.87 | Valid Accuracy = 54.31%
Epoch: 015 | Train Loss 0.93 | Train Accuracy = 74.06% | Valid Loss 1.79 | Valid Accuracy = 53.45%
Epoch: 016 | Train Loss 1.00 | Train Accuracy = 70.94% | Valid Loss 1.54 | Valid Accuracy = 60.34%
Epoch: 017 | Train Loss 0.92 | Train Accuracy = 72.81% | Valid Loss 1.59 | Valid Accuracy = 58.62%
